GENE	TEST_STAT	META_PVAL	-log10	GNE_PVAL	UKB_ALL_PVAL	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	49.37503741360101	4.876059643705971e-10	9.311930990753828	0.0882048525585825	2.15206e-10	19.0	99.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
LRRK2	39.948370758222694	4.436153972886104e-08	7.3529933884889935	1.69712117903398e-06	0.00124626	197.0	433.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
TREML1	34.566773414429	5.701342999623498e-07	6.244022830533703	0.0095624034259589	3.26102e-06	38.0	73.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
ZNF274	27.600471688991682	1.5028040603287128e-05	4.823097640215006	0.310266930720787	3.27264e-06	55.0	115.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
PHC2-AS1	20.2300672309096	4.0466600000000044e-05	4.392903283457919	NA	4.04666e-05	NA	33.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RAP1A	24.7472114830712	5.6553543397800835e-05	4.247540178892347	0.0973563941555602	4.34357e-05	9.0	29.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
P2RY10	19.521422056295847	5.7673600000000064e-05	4.239022938976859	NA	5.76736e-05	NA	22.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SEPT5-GP1BB	19.425869927637827	6.049590000000005e-05	4.2182740578717155	NA	6.04959e-05	NA	112.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
RNF114	23.794314822176396	8.782621902651452e-05	4.056375813493644	0.000189392352175	0.0359557	23.0	41.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
SEPTIN5	17.95403362643239	0.0001262789999999999	3.898668865932509	NA	0.000126279	NA	68.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
TUBA1B	22.315982590159752	0.00017338350556877694	3.760992220476821	0.647432569298679	2.20268e-05	8.0	18.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
AGAP7P	17.28645409332706	0.00017631699999999997	3.7537058122029108	NA	0.000176317	NA	3.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	META-GROUP1
