GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
B3GNT3	52.13957002905981	1.2897960139775548e-10	9.889478969552675	NA	4.39913883099052e-09	0.0010831	NA	3.0	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
TOX2	20.2540079624492	3.9985087685434615e-05	4.398101947258106	NA	3.99850876854346e-05	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
LOC105371046	18.24981214250235	0.0001089189999999998	3.962896354629866	NA	NA	0.000108919	NA	NA	12.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
ENTPD1-AS1	18.186608563761716	0.00011241599999999998	3.9491718718880686	NA	NA	0.000112416	NA	NA	30.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
TRAPPC3L	27.507435766828824	0.00011630537317189531	3.934400220912134	0.630289	0.0004271199831334	0.00395136	3.0	4.0	12.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
LY6K	17.26741502025824	0.00017800347059650017	3.7495715300157406	NA	0.0001780034705965	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
CDK5RAP2	22.06384788504034	0.0001946396813531186	3.710768615065193	NA	0.0577298299094907	0.000280218	NA	13.0	34.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
RSPRY1	16.955521924345046	0.0002080440000000001	3.6818448047663295	NA	NA	0.000208044	NA	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
MRPL20	16.80610019121838	0.00022418250225779998	3.6493982876796642	NA	0.0002241825022578	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
TMEM252	21.693625463150784	0.00023061662274454306	3.6371093921582074	NA	0.39288274504175	4.9548e-05	NA	3.0	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
FMNL1	16.163569999510834	0.00030911876574339967	3.509874629322251	NA	0.0003091187657434	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
ACER3	16.12063825788546	0.00031582599999999974	3.500552120079053	NA	NA	0.000315826	NA	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
RHOT1	20.98232749293683	0.00031923425712757536	3.495890510544432	NA	0.0424667355346666	0.000654179	NA	3.0	7.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
ING1	20.82378381218436	0.0003431866997522484	3.4644695516395743	NA	0.0456285473708788	0.000659077	NA	7.0	11.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
SLC16A12	15.860380333626644	0.00035971800000000003	3.444037829890454	NA	NA	0.000359718	NA	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
SOAT2	20.621440185238562	0.000376358227338901	3.4243985856777206	NA	0.0014311231093866	0.0232506	NA	8.0	15.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
USP13	15.719063607985262	0.00038605457827780004	3.4133512928171097	NA	0.0003860545782778	NA	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
ZDHHC18	15.489780525528271	0.0004329491545821001	3.3635631040646903	NA	0.0004329491545821	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
SLC6A12	14.94506351972606	0.0005684872003157997	3.2452793091553094	NA	0.0005684872003158	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
ZNF587B	14.86253550373046	0.0005924359738153	3.227358578180653	NA	0.0005924359738153	NA	NA	7.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
CC2D2B	19.062449398279977	0.0007640479002920334	3.116879413439488	NA	0.586424798215578	0.000123717	NA	12.0	29.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
SLC17A1	14.071495857064463	0.0008798598464866005	3.055586501423783	NA	0.0008798598464866	NA	NA	12.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
CAPN10	18.741761001767934	0.0008832709314648227	3.053906062002985	NA	0.0051155550562002	0.0166489	NA	6.0	19.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
RP11-400G3.5	14.047205865049218	0.0008906108943775006	3.0503119966749352	NA	0.0008906108943775	NA	NA	10.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP1
