COHORT: META-GROUP3; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	7.478804268045932	7.500188127986744e-14	13.124927843018721	0.013579	0.0214830395852572	0.000258426	0.0112797	8.03039e-09	15.0	16.0	30.0	22.0	74.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
SEPTIN5	3.9649256668540374	7.341882234676517e-05	4.134192585950301	0.71969	NA	0.239243	0.000220466	0.00693884	5.0	NA	20.0	8.0	53.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
STK38L	3.926713229551995	8.611455107326427e-05	4.064923458106338	NA	0.0001667716361832	0.176111	0.135247	0.21416	NA	11.0	8.0	6.0	33.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
SEPT5-GP1BB	3.8803062054769657	0.00010432504112390921	3.9816114354215895	0.71969	NA	0.636501	2.02636e-05	0.00764949	5.0	NA	35.0	16.0	92.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
IRX6	3.760388880937166	0.00016964942113662177	3.7704476178791633	0.151714	0.190565384718304	0.116786	0.296839	0.00225489	12.0	49.0	39.0	24.0	90.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
IPO4	-3.7164599060836214	0.00020203368405601204	3.6945762167905376	0.133618	0.775027581507583	0.074127	0.0246311	0.0127209	27.0	127.0	61.0	43.0	185.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
RBM26	3.695481525952556	0.00021947043907362716	3.6586239675027854	0.495712	0.0818319958156027	0.0433685	0.00940593	0.22063	13.0	35.0	36.0	30.0	105.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
TRMT12	3.6267540713325945	0.0002870064073582702	3.5421084076239215	0.0331734	0.571415401452678	0.0249384	0.14095	0.0892997	10.0	41.0	17.0	18.0	58.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
CFAP52	-3.494279167733667	0.00047534367978329365	3.3229922761381303	0.0152275	0.0240580978725804	0.407261	0.840874	0.0356564	13.0	57.0	31.0	23.0	79.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
MET	-3.4932385005259703	0.0004772001019886	3.3212994721830005	0.0267918	0.0454807865751501	0.717779	0.477655	0.00116326	24.0	97.0	52.0	44.0	165.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
EVX1-AS	3.476538941942183	0.0005079304593353104	3.2941957428228985	0.547258	NA	0.0263825	0.165757	0.00605665	15.0	NA	31.0	20.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
USP25	3.4690512486652603	0.0005222998120249358	3.2820801304650318	0.779995	0.108155520796869	0.365403	0.00371097	0.0389881	14.0	66.0	48.0	27.0	120.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
P2RY10	3.4554523826124055	0.0005493702200888973	3.260134886236163	NA	NA	NA	0.27074	0.000153462	NA	NA	NA	6.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
KIF2C	3.440468689597522	0.0005807076218441152	3.2360424737718794	0.00889171	0.831720665163501	0.00665668	0.296609	0.125488	7.0	44.0	33.0	20.0	85.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
TMEM9B	3.432244161439095	0.0005986083712114333	3.2228572140820093	NA	0.0010257315461657	0.027599	0.0741663	0.683706	NA	18.0	5.0	7.0	22.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
FDFT1	-3.411070623174675	0.0006470832880434652	3.1890398163796587	0.215035	0.0735459504879885	0.0884479	0.186381	0.115693	10.0	67.0	43.0	32.0	126.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
RAP1A	3.408349056398056	0.000653572326391416	3.184706345015945	NA	0.312443235681033	0.00861221	NA	0.0234364	NA	6.0	7.0	NA	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
RIPOR2	3.370639748207058	0.0007499385793347306	3.1249743042727145	0.0018959	NA	0.250476	0.0608402	0.540963	28.0	NA	44.0	35.0	139.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
TRRAP	3.3484375694918977	0.0008126858832079453	3.090077284111005	0.819938	0.0109669615330286	0.458521	0.0275569	0.0765381	32.0	190.0	116.0	92.0	372.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
CEP85L	3.3451254000452635	0.0008224537571590231	3.0848885110986464	0.0609427	0.893738259963688	0.0305296	0.0253088	0.283437	17.0	56.0	39.0	25.0	121.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
ATP1A1-AS1	3.343134360831769	0.0008283778051649516	3.0817715457316486	NA	NA	0.0493026	NA	0.00574592	NA	NA	10.0	NA	27.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
ENDOU	-3.3282836506454028	0.0008738284671633308	3.058573811159332	0.0169943	0.112827256736117	0.248625	0.940444	0.0249996	13.0	35.0	21.0	18.0	60.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
USP6NL	3.303001003053519	0.0009565604568128265	3.0192875763628066	0.951505	0.0009441725856261	0.0240822	0.288184	0.411096	19.0	66.0	42.0	40.0	145.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
ZNF777	3.3019744878008512	0.0009600680199140729	3.017697996515794	0.760909	0.322945500168009	0.0254147	0.0158835	0.0401028	12.0	56.0	28.0	20.0	99.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
NOP53	3.295272996153002	0.0009832610836239852	3.0073311493884867	0.0125628	NA	0.00970228	0.640576	0.0482396	28.0	NA	47.0	34.0	119.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
C11orf63	3.2735006100423565	0.0010622416134898967	2.9737766890258692	NA	0.0010622416134898	NA	NA	NA	NA	68.0	NA	NA	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
RABGGTB	3.2453899122343417	0.0011728990499081699	2.930739365509785	NA	0.113029456232771	0.0202315	NA	0.0864482	NA	15.0	10.0	NA	28.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
GPER1	-3.238591472190966	0.0012012149531174527	2.9203792701993496	0.320191	0.278993128909639	0.120626	0.117286	0.0406935	18.0	69.0	26.0	32.0	83.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
OR4C13	3.2183235055760364	0.0012894229798453526	2.8896045941442243	0.0023841	0.994885759683227	0.12733	0.0332487	0.618111	7.0	39.0	24.0	16.0	60.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
SYT17	3.216009074563237	0.0012998672176361482	2.8861010089186703	0.178066	0.0188460914674949	0.171202	0.17515	0.440276	14.0	51.0	26.0	25.0	80.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
RPS20	3.2103427000992264	0.001325768079590793	2.877532441665196	NA	0.790879086357917	0.0076071	NA	0.00159612	NA	5.0	4.0	NA	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
RNF114	3.1788338655237225	0.0014786881695847205	2.8301234017348156	0.750554	0.0002560120421331	0.0912124	0.379046	0.2297	6.0	23.0	12.0	9.0	34.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
PPIP5K2	3.175227061128078	0.0014971929619315893	2.8247222231028055	0.833882	0.0018724650652228	0.0426705	0.835654	0.122063	15.0	57.0	32.0	23.0	115.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
DSEL	3.1665990054237825	0.0015423283440298538	2.8118231601238985	0.0124232	0.030819045993025	0.00142626	0.651404	0.751983	22.0	77.0	61.0	39.0	166.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
C9	3.1530641215682804	0.0016156631318387702	2.7916491851668614	0.228632	0.0184812251039378	0.870548	0.0118223	0.417726	13.0	52.0	20.0	18.0	69.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
VPS13D	3.152701604222682	0.0016176707436174355	2.7911098688680136	0.969825	0.0382723409953342	0.794115	0.0257428	0.0143314	77.0	320.0	200.0	145.0	581.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
IGSF9	3.1386572580068637	0.0016972383773652113	2.77025715667828	0.0189265	0.0348183997385051	0.212962	0.508111	0.513389	28.0	107.0	73.0	43.0	206.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
OR56B4	3.1364765608836893	0.001709911041332554	2.7670264833291043	0.302081	0.0611867984550657	0.394281	0.0227385	0.00728935	8.0	37.0	21.0	14.0	52.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
EVX1	3.083003507649469	0.00204922739528792	2.688409846850525	0.547258	0.95273509156683	0.0263825	0.165757	0.00605665	15.0	37.0	31.0	20.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
ZNHIT6	3.0492738085893802	0.002293953026843404	2.639415479369177	0.0135548	0.865040133238752	0.306275	0.027891	0.338219	12.0	46.0	17.0	14.0	53.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
ADAMTS18	-3.0449951465503524	0.0023268406482152898	2.633233357998389	0.520113	0.678109118034604	0.0367746	0.0638206	0.0704643	39.0	129.0	92.0	74.0	258.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
ZFR	3.032485615985043	0.0024254865669191693	2.615201126285922	0.173717	0.346037113834482	0.0220728	0.0292405	0.992949	5.0	42.0	20.0	13.0	77.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
TEX12	3.012576774173822	0.0025903990312854475	2.586633331000933	NA	0.441914611112861	0.0144456	0.169412	0.150972	NA	5.0	5.0	4.0	17.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
PRKCH	2.9931930477714617	0.002760750609614494	2.558972823262989	0.116058	0.370575427012517	0.643948	0.000269471	0.903809	8.0	37.0	23.0	20.0	78.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
ABCC1	-2.980594981509228	0.002876890070013118	2.541076732791228	0.0352345	0.34084183051586	0.220208	0.182454	0.294897	38.0	145.0	101.0	60.0	264.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
DLX6-AS1	2.9759345720832973	0.0029209717295353784	2.534472646301425	0.411605	NA	0.024048	0.150576	0.150736	7.0	NA	22.0	11.0	51.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
LOC101928123	2.975347903550432	0.0029265643522243946	2.5336419217433157	NA	NA	0.053319	NA	0.0228794	NA	NA	5.0	NA	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
TAAR6	2.975047330360437	0.002929433455495849	2.5332163629028184	0.0185719	0.0380615570903069	0.0712393	0.236322	0.444884	13.0	39.0	25.0	15.0	69.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
TREML1	2.970573029165346	0.0029724472326599525	2.5268858463032204	0.33677	0.163777802913243	0.588336	0.00675628	5.27448e-05	9.0	29.0	14.0	6.0	43.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
CCDC69	2.969962430017644	0.0029783617166766786	2.5260225590965812	0.1878	0.618520705833569	0.0122642	0.504797	0.0980132	17.0	41.0	26.0	19.0	64.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
CDKN2C	2.9675723219540266	0.0030016165849830064	2.5226447836652675	NA	0.758081379109401	0.0615078	0.024138	0.132994	NA	9.0	6.0	4.0	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
HLA-DQB2	-2.948409707126419	0.003194134325709059	2.495646824049897	NA	0.0367128968960799	0.055652	0.436949	0.264091	NA	16.0	21.0	7.0	43.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
DISC1	-2.9422941582059976	0.003257902958112117	2.4870618559956155	0.250725	0.47715028336122	0.0234686	0.0467746	0.641483	29.0	87.0	50.0	33.0	149.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
NPFF	2.9398657183096297	0.0032835451531348365	2.4836570072056943	NA	0.11746527097422	0.0442865	NA	0.129741	NA	10.0	8.0	NA	14.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
CREBZF	2.9350067463908256	0.003335404360579124	2.476851507797556	0.53424	0.122378901257506	0.963502	0.209636	0.00196059	4.0	26.0	11.0	16.0	48.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
FAM214B	-2.926372728795381	0.003429397920095701	2.464782119879106	0.0563723	0.207285370196839	0.503656	0.27392	0.107066	20.0	50.0	33.0	25.0	92.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
LINS1	2.9190202464269754	0.0035113341719635854	2.454527836973372	0.362717	0.927670730814315	0.989126	0.000892908	0.0285056	17.0	71.0	43.0	19.0	94.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
