GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
CAPN10	43.262191699207044	7.839906381513804e-07	6.105689123314887	NA	0.0051155550562002	3.75213e-06	0.0532885	0.394394	NA	6.0	4.0	4.0	18.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
EQTN	19.83948998289089	4.9193699999999976e-05	4.308090511672177	NA	NA	NA	NA	4.91937e-05	NA	NA	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ZSCAN25	19.378617731613026	6.194220000000003e-05	4.208013373876025	NA	NA	NA	NA	6.19422e-05	NA	NA	NA	NA	16.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
LY6K	17.26741502025824	0.00017800347059650017	3.7495715300157406	NA	0.0001780034705965	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
TRAPPC3L	22.058177017903127	0.00019514635352657677	3.7096395594638594	NA	0.0004271199831334	NA	NA	0.037982	NA	4.0	NA	NA	11.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
SOAT2	29.797019170164894	0.00022957007098620624	3.6390847314865056	NA	0.0014311231093866	0.06686	0.00657917	0.53783	NA	8.0	6.0	7.0	13.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
FMNL1	16.163569999510834	0.00030911876574339967	3.509874629322251	NA	0.0003091187657434	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
GLIPR2	16.0490895533095	0.00032732900000000017	3.4850155162867202	NA	NA	NA	NA	0.000327329	NA	NA	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
USP13	15.719063607985262	0.00038605457827780004	3.4133512928171097	NA	0.0003860545782778	NA	NA	NA	NA	6.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
RIPK2	15.314704366771297	0.00047255699999999986	3.3255457992342046	NA	NA	NA	NA	0.000472557	NA	NA	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ABAT	15.10035405271438	0.0005260169999999997	3.2790002199396304	NA	NA	NA	NA	0.000526017	NA	NA	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
UTRN	19.682020429309887	0.000576996689012917	3.2388266789543994	NA	0.0839166010102829	NA	NA	0.000634243	NA	18.0	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
ZNF587B	14.86253550373046	0.0005924359738153	3.227358578180653	NA	0.0005924359738153	NA	NA	NA	NA	7.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
SLC17A1	14.071495857064463	0.0008798598464866005	3.055586501423783	NA	0.0008798598464866	NA	NA	NA	NA	12.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	4	META-GROUP3
