GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,SIG_DATASET
LRRK2,2.4856576669761364e-07,2.23407e-07,0.0115710096063825,0.408726,0.01,1,1,0,2
CD69,1.3163849700335826e-05,,0.0279343733227742,3.15376e-05,0.01,0,1,1,2
CFI,3.684673756122016e-05,0.0823215,0.003706706126469,0.00093113,0.01,0,1,1,2
MSR1,8.708026883081072e-05,0.08843,0.0116221506234608,0.000741166,0.01,0,1,1,2
RAP1GDS1,0.0001296729932433,0.000917862,0.103149561940138,0.0127423,0.01,1,0,1,2
TTC12,0.0001488128166551,0.791381,0.0004878248512421,0.00366532,0.01,0,1,1,2
ANKRD23,0.0001721197089383,0.0351827,7.20626228896126e-05,0.660786,0.01,1,1,0,2
SNTG2,0.0001850400936294,0.00076553,0.249338495470366,0.00954737,0.01,1,0,1,2
ARHGAP24,0.0002332061667334,0.00117271,0.0053034612468804,0.383616,0.01,1,1,0,2
PRTN3,0.0003171517921278,0.00285003,0.11943518091647,0.0100404,0.01,1,0,1,2
MIER2,0.000321935224604,0.00283899,0.0014725219746495,0.832002,0.01,1,1,0,2
CNOT8,0.0003658307971066,,0.0046148495732296,0.00698939,0.01,0,1,1,2
DCAF15,0.0004093136924347,0.0998232,0.0385732571711362,0.00119744,0.01,0,1,1,2
CETN3,0.0005740214823525,0.227769,0.0413853281770873,0.000728813,0.01,0,1,1,2
PI4K2A,0.0007103636122535,0.00224289,0.0045650544489822,0.863638,0.01,1,1,0,2
FAH,0.0007209788339455,0.463523,0.026655854549832,0.000728395,0.01,0,1,1,2
GAREM1,0.000817103170579,0.0235864,0.291057404328252,0.00152117,0.01,1,0,1,2
ATP6V0E2,0.0008686100093734,0.153004,0.0061632381073202,0.0119098,0.01,0,1,1,2
DMWD,0.0008781274379085,0.902915,0.0402575924296065,0.00031301,0.01,0,1,1,2
ASMT,0.0009545200734225,,0.0237890736285009,0.00390125,0.01,0,1,1,2
AJM1,0.0009878232525428,0.0144989,,0.00664887,0.01,1,0,1,2
NIPA2,0.0012304182318232,0.189607,0.022899231308284,0.00392121,0.01,0,1,1,2
TRAPPC12,0.0012390835362348,0.024425,0.718297673701074,0.000978611,0.01,1,0,1,2
MEI4,0.0012859440848053,0.0231676,0.0013658387129862,0.567288,0.01,1,1,0,2
CDSN,0.0013784340797442,0.37372,0.0060285373258854,0.00866045,0.01,0,1,1,2
BUD13,0.0014077882646416,0.000635863,0.659748421800783,0.0477039,0.01,1,0,1,2
LACTB2-AS1,0.0014224723368735,0.01121,,0.012893,0.01,1,0,1,2
MIDN,0.0015209907754241,0.013613,0.0932130386091454,0.0173089,0.01,1,0,1,2
PROK2,0.0015486450453345,0.0668988,0.0449422535537976,0.00746533,0.01,0,1,1,2
SRP54,0.0016028034528108,,0.0058685214445006,0.0281303,0.01,0,1,1,2
VIT,0.0016584795097662,0.0411263,0.172116107933863,0.00344385,0.01,1,0,1,2
FOXD4L5,0.0016770857266,,0.0060818773620268,0.02855,0.01,0,1,1,2
NLRX1,0.0016912132849306,0.0476625,0.0081541379827675,0.0642199,0.01,1,1,0,2
CAMP,0.0017071661875384,0.0751001,0.0076723027702307,0.0438105,0.01,0,1,1,2
OXLD1,0.0020229837403707,0.612057,0.0060750930890031,0.00833528,0.01,0,1,1,2
TMX2-CTNND1,0.0020925697612704,0.0232114,0.0017969219255812,0.77416,0.01,1,1,0,2
AUNIP,0.0021017513603824,0.886038,0.031867507308835,0.00114965,0.01,0,1,1,2
RPL5,0.0021574307625463,0.0383438,0.0020648996035189,0.423196,0.01,1,1,0,2
PCP4L1,0.0022481233830725,,0.0181124912468491,0.0133019,0.01,0,1,1,2
PSAP,0.0022966666187283,0.0387924,0.771520960879428,0.00120784,0.01,1,0,1,2
SST,0.0023770070150024,0.00569972,0.0124490583027013,0.531201,0.01,1,1,0,2
JADE1,0.0024628056096346,0.013379,0.522670943260556,0.00562762,0.01,1,0,1,2
L3HYPDH,0.0024917763939343,0.71174,0.0136708752833393,0.00410241,0.01,0,1,1,2
SNX27,0.0025603536152666,0.00809325,0.245420645033594,0.0207719,0.01,1,0,1,2
IL6R,0.0025899384565721,,0.0087688238025124,0.032201,0.01,0,1,1,2
EIF4EBP3,0.0026607730000657,0.0704592,0.0176631283259263,0.0347424,0.01,0,1,1,2
PIH1D1,0.0026869827630949,0.0213689,0.126059014317359,0.0162442,0.01,1,0,1,2
ANKS1B,0.0029021547885269,0.00362958,0.821013180480156,0.0161314,0.01,1,0,1,2
LURAP1L,0.0032049748760208,0.00927505,0.0208339750231571,0.280867,0.01,1,1,0,2
TACC1,0.0032392686386413,0.0359108,0.0017018118719769,0.899731,0.01,1,1,0,2
ADGRB1,0.003242666133785,0.0025745,0.0250990373808224,0.852034,0.01,1,1,0,2
LIMK1,0.0033060741230109,0.00398309,0.369682795760622,0.0382878,0.01,1,0,1,2
SLC17A7,0.0033221787279998,0.0450078,0.0625389041143066,0.0201492,0.01,1,0,1,2
NTMT1,0.0033663970063339,0.00602185,0.0425196908239288,0.22512,0.01,1,1,0,2
EFNB3,0.0034122701198515,0.00181945,0.0412067826192895,0.781686,0.01,1,1,0,2
SLC2A13,0.0035713199828897,0.516231,0.0203195994920912,0.00590825,0.01,0,1,1,2
SEZ6L2,0.0036154694937923,0.0441701,0.0049681990879121,0.28671,0.01,1,1,0,2
PDE6C,0.0037004570550777,0.428662,0.0158452424421248,0.00953131,0.01,0,1,1,2
SLC38A10,0.0038789782902509,0.00569908,0.534590365008868,0.0225165,0.01,1,0,1,2
NTSR1,0.0042127673288204,0.634678,0.0126592834969949,0.00945195,0.01,0,1,1,2
ANKRD37,0.0047468827131591,0.761472,0.0122301457427664,0.00944988,0.01,0,1,1,2
RPL10L,0.0049415875549298,0.0482555,0.893750348783665,0.00214466,0.01,1,0,1,2
RNF19A,0.0050375669394685,0.0428327,0.0365645529053275,0.0604833,0.01,1,1,0,2
OR2M7,0.0050412403245017,0.785103,0.0304907561188901,0.00396067,0.01,0,1,1,2
FAM163B,0.0052221464595819,0.285961,0.0125106606479957,0.027686,0.01,0,1,1,2
KRT80,0.005314853685062,0.00445728,0.856929091266106,0.0265042,0.01,1,0,1,2
FCRL4,0.0059580913483186,0.0427037,0.013465515013791,0.202918,0.01,1,1,0,2
CLEC5A,0.0061632706341003,0.00457688,0.0433878131586742,0.612902,0.01,1,1,0,2
SH3TC2,0.0062709622489021,0.80614,0.0059907788687049,0.0257522,0.01,0,1,1,2
C1QL3,0.0063222104432398,0.00297356,0.0491313293828333,0.859967,0.01,1,1,0,2
ZNF567,0.006519594289845,0.103012,0.0492277223243989,0.0257444,0.01,0,1,1,2
ARFGAP1,0.006657730478781,0.00814208,0.0164595567341973,1.0,0.01,1,1,0,2
AGPAT1,0.0066706667272185,0.0236361,0.0064718683844616,0.878216,0.01,1,1,0,2
KIF21B,0.007132948678832,0.0106284,0.0433410816791195,0.31713,0.01,1,1,0,2
TFG,0.0073511148924681,0.0223911,0.0457049727903067,0.148237,0.01,1,1,0,2
GNG4,0.0074257201662819,0.0162669,0.655640048614109,0.0144053,0.01,1,0,1,2
GPR108,0.0075958098498452,0.0264131,0.011418657368037,0.524075,0.01,1,1,0,2
FKBP5,0.0076127948045975,0.159045,0.0287609262552051,0.0346515,0.01,0,1,1,2
ZBBX,0.0077856576322398,0.663915,0.0253396908533025,0.00969104,0.01,0,1,1,2
FANCC,0.0078602706384909,0.0124196,0.0132855139597851,1.0,0.01,1,1,0,2
LACTB2,0.0079745701206562,0.0158905,0.726846480719419,0.0145473,0.01,1,0,1,2
CES4A,0.0090480650556846,0.378673,0.0403938838459822,0.012878,0.01,0,1,1,2
BIN1,0.0092533570673539,0.0169323,0.0205607674683514,0.582067,0.01,1,1,0,2
SALL4,0.0096786826109139,0.671419,0.0232430710873596,0.0137438,0.01,0,1,1,2
RABGGTB,0.0100677620202137,0.845642,0.0413499108456666,0.00644758,0.01,0,1,1,2
PLCE1,0.010538454951199,0.0434343,0.265590749232676,0.0207093,0.01,1,0,1,2
DGCR6L,0.0108703383535779,0.0314836,0.331932135088419,0.0237777,0.01,1,0,1,2
VTA1,0.0109520688321281,1.0,0.0197710000496305,0.0126884,0.01,0,1,1,2
KRTAP24-1,0.0110229321330156,,0.0496488133291166,0.0294995,0.01,0,1,1,2
