GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,SIG_DATASET
LRRK2,7.154462945449525e-07,1.96111e-07,0.0465795758379102,0.371834,0.01,1,1,0,2
EEA1,2.471650073737717e-05,0.710964,0.0459940953463497,5.51316e-06,0.01,0,1,1,2
RPUSD1,5.510758567134372e-05,1.28091e-05,0.039381052741897,0.892608,0.01,1,1,0,2
S100B,0.0001019157265896,,0.0425704895985266,0.000187978,0.01,0,1,1,2
RAP1GDS1,0.0001630548207383,0.000804792,0.443022133046199,0.0044127,0.01,1,0,1,2
FAH,0.0003382876989888,0.70008,0.019425462937551,0.000271053,0.01,0,1,1,2
TMEM9B,0.0004581043649659,0.658754,0.0007428552363274,0.0107575,0.01,0,1,1,2
PI4K2A,0.000644231925689,0.00242412,0.0037166314197181,0.874107,0.01,1,1,0,2
RABGGTB,0.0006475672185683,,0.0435224365751893,0.00138876,0.01,0,1,1,2
NBPF1,0.0006484753321616,,0.0134155327136672,0.00451236,0.01,0,1,1,2
DLEU7,0.0006683976913476,0.0142538,0.0872596599433554,0.00661418,0.01,1,0,1,2
LSR,0.0006926243018832,0.0990747,0.0140285725754592,0.00617418,0.01,0,1,1,2
IDUA,0.0006983498047684,0.257983,0.0441942959846964,0.000760045,0.01,0,1,1,2
NTNG1,0.0008071899082243,0.0136206,0.465600987467991,0.00162294,0.01,1,0,1,2
L3HYPDH,0.0008554102680088,0.702175,0.0025715966509641,0.0061073,0.01,0,1,1,2
DLEU7-AS1,0.0009681581224623,0.0142538,,0.00661418,0.01,1,0,1,2
SEZ6L2,0.0010424824308889,0.0396062,0.0005348235513389,0.65913,0.01,1,1,0,2
SNTG2,0.0010464142582131,0.00221497,0.29124403225778,0.0217407,0.01,1,0,1,2
APOBEC3F,0.0010658632867829,0.0140599,0.0053454946615911,0.19076,0.01,1,1,0,2
MRPL15,0.0011847416579006,0.0157017,0.0105312457079593,0.0983971,0.01,1,1,0,2
IGFL4,0.0013557347962695,,0.0054876976263408,0.0249659,0.01,0,1,1,2
FKBP5,0.0014056996209792,0.0123166,0.0194240053989845,0.0835009,0.01,1,1,0,2
RFX8,0.0014643939257788,0.106817,0.017743171052012,0.0110716,0.01,0,1,1,2
GAREM1,0.0014978034740582,0.0254008,0.81911521771153,0.00103628,0.01,1,0,1,2
TRPV1,0.0016840580367156,0.0200651,0.019581841719354,0.0631987,0.01,1,1,0,2
RTEL1,0.0017037750417492,0.170849,0.0094323496878377,0.0156268,0.01,0,1,1,2
HEPACAM,0.00183574574373,0.0716659,0.0247736749551296,0.0155213,0.01,0,1,1,2
RPL5,0.0018474706128398,0.0383438,0.0020648996035189,0.350735,0.01,1,1,0,2
EFNA4,0.0019402426978787,0.0343416,0.316115634017555,0.0027142,0.01,1,0,1,2
PSG7,0.0019687014624783,0.00786402,0.475462078299863,0.0080205,0.01,1,0,1,2
NIPA2,0.0022814553916584,0.157634,0.0496677692240565,0.00458009,0.01,0,1,1,2
MAPK8,0.0023649839318752,0.0183975,0.0031952184305618,0.637254,0.01,1,1,0,2
SST,0.0024088196528561,0.00569972,0.0126519179811323,0.531201,0.01,1,1,0,2
RIN3,0.0024546139727581,0.537381,0.0017716054760547,0.0411687,0.01,0,1,1,2
PRTN3,0.0028596418488017,0.00485419,0.554432806845501,0.0175423,0.01,1,0,1,2
SMR3A,0.0029215692236381,0.444589,0.0100417856068462,0.0108554,0.01,0,1,1,2
CDSN,0.0029875947358829,0.386151,0.0065093356477601,0.0198144,0.01,0,1,1,2
PCP4L1,0.0031172063512953,0.873165,0.0045166813879624,0.0133019,0.01,0,1,1,2
KRTAP21-3,0.0031745769764233,0.0134398,0.135669565556245,0.0294203,0.01,1,0,1,2
STEAP1,0.003236480734885,0.295359,0.0083567039083077,0.0222539,0.01,0,1,1,2
DBF4,0.0033793543546686,0.487598,0.0312766996312416,0.00379749,0.01,0,1,1,2
TTYH2,0.0034188131016229,0.00428735,0.811117358844405,0.0168923,0.01,1,0,1,2
ANKRD54,0.0034682854457413,0.0374084,0.846913616873528,0.00188715,0.01,1,0,1,2
LIMK1,0.0034858773027264,0.0145242,0.111276479174674,0.0372233,0.01,1,0,1,2
SRP54,0.0035576694366479,,0.0090864883392934,0.0444162,0.01,0,1,1,2
NECAP1,0.0039315177664107,0.0393246,0.0045553696489489,0.38934,0.01,1,1,0,2
RIC8A,0.0039442015752945,0.860223,0.0041883088258998,0.0194352,0.01,0,1,1,2
