GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,SIG_DATASET
LRRK2,7.229919429131361e-07,2.08514e-07,0.0399083567230903,0.412948,0.01,1,1,0,2
EEA1,8.960169553463348e-06,0.667199,0.0304997475869285,2.80914e-06,0.01,0,1,1,2
RPUSD1,5.2322339824411874e-05,1.28814e-05,0.0410493015407655,0.802393,0.01,1,1,0,2
PPP3CA,9.899869820175051e-05,0.73102,0.0138825002515574,8.70227e-05,0.01,0,1,1,2
RAP1GDS1,0.0001426644843404,0.000822969,0.450796567885701,0.00363208,0.01,1,0,1,2
FIBCD1,0.0003129132059512,0.288724,0.0285224169669634,0.000408525,0.01,0,1,1,2
FAH,0.0003765441066466,0.70008,0.0234574477728149,0.000254537,0.01,0,1,1,2
MSR1,0.0005108143651434,0.173897,0.0186246873994708,0.00184811,0.01,0,1,1,2
NTNG1,0.0006313814454469,0.0136206,0.34786033521752,0.00162294,0.01,1,0,1,2
NBPF1,0.0007644241365605,,0.0150372755158272,0.00482735,0.01,0,1,1,2
PI4K2A,0.0007671655655678,0.0027151,0.0040004616690341,0.891991,0.01,1,1,0,2
SEZ6L2,0.0009115161595996,0.0396062,0.0004922769245733,0.610086,0.01,1,1,0,2
ASMT,0.0009197933378916,,0.011517905555347,0.00773363,0.01,0,1,1,2
L3HYPDH,0.0011047055769068,0.702175,0.0050939791527617,0.00418354,0.01,0,1,1,2
TAS2R31,0.0013284799182657,0.123658,0.0082834864531863,0.0182226,0.01,0,1,1,2
RFX8,0.0013503758059134,0.0986333,0.0177043772655937,0.010901,0.01,0,1,1,2
GAREM1,0.0013561208857107,0.0254008,0.835030899858118,0.000902059,0.01,1,0,1,2
SNTG2,0.0014609799643981,0.00221497,0.302117093516089,0.0312694,0.01,1,0,1,2
APOBEC3F,0.001755209365174,0.0219571,0.0058649909042004,0.202699,0.01,1,1,0,2
TRPV1,0.0018288192980847,0.0200651,0.0206088776867768,0.0663363,0.01,1,1,0,2
FKBP5,0.0018771811456777,0.0123166,0.0213232045807203,0.107797,0.01,1,1,0,2
LACTB2-AS1,0.0019200738485035,0.0150738,,0.0133977,0.01,1,0,1,2
DLEU7-AS1,0.0020795598810536,0.0254417,,0.00867871,0.01,1,0,1,2
AUNIP,0.0020817360920997,0.904369,0.024146551534172,0.00146936,0.01,0,1,1,2
