GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,UKB_SIBLING_PROXY_PVAL,UKB_PARENT_PROXY_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,UKB_SIBLING_PROXY_SIG,UKB_PARENT_PROXY_SIG,SIG_DATASET
TREML1,1.0722292737666164e-06,0.515114,0.0063641764659611,0.747502,0.000811719,3.64205e-05,0.001,0,1,0,1,1,3
LRRK2,5.164355514878673e-06,0.72484,2.09752736968216e-06,0.0380867,0.620023,0.0134108,0.001,0,1,1,0,1,3
OR1G1,8.790401373821402e-06,0.729023,0.0461168466046115,0.808424,1.08428e-06,0.031243,0.001,0,1,0,1,1,3
OR2T8,1.2089117433766017e-05,0.0166115,0.0025977389864544,0.00230144,0.121345,0.112891,0.001,1,1,1,0,0,3
DCAF15,2.4872143498677664e-05,0.282142,0.0316464332096389,0.0002336,0.00982244,0.161699,0.001,0,1,1,1,0,3
DCAF1,9.120474215568938e-05,0.473686,0.0001702600650022,0.211237,0.028877,0.0342621,0.001,0,1,0,1,1,3
FERMT2,0.0004956102831294,0.126297,0.469537013921371,0.00243148,0.0230219,0.0447903,0.001,0,0,1,1,1,3
TMEM9B,0.0005176787686768,0.658754,0.0007428552363274,0.0107575,0.0340178,0.879029,0.001,0,1,1,1,0,3
PDE2A,0.0006676794254719,0.228801,0.388001202523563,0.00213761,0.0308903,0.0375249,0.001,0,0,1,1,1,3
KNOP1,0.0007708663203336,0.0195353,1.0,0.599372,0.0272257,0.000834337,0.001,1,0,0,1,1,3
SUMF2,0.0014437967016851,0.311044,0.603071325174293,0.00325686,0.0267228,0.0376575,0.001,0,0,1,1,1,3
CTBP2,0.001680450690136,0.0786284,0.035264302151095,0.0239324,0.0243626,0.46677,0.001,0,1,1,1,0,3
ZNF777,0.0017640573653584,0.850854,0.32961105011204,0.0073193,0.0143449,0.0273692,0.001,0,0,1,1,1,3
NOP53,0.0017688285351097,0.0185011,,0.0169046,0.783245,0.0179558,0.001,1,0,1,0,1,3
LOC101928123,0.0019251281479922,,,0.0352755,0.0308598,0.0268122,0.001,0,0,1,1,1,3
HSPB2-C11orf52,0.0020824805131282,0.0257049,0.0495458249984448,0.255003,0.00422461,0.735975,0.001,1,1,0,1,0,3
ZFR,0.0024468891382657,0.246489,0.147335708361324,0.0226643,0.0327759,0.0466537,0.001,0,0,1,1,1,3
LHX6,0.0040638996494317,0.0984144,0.0330553172031249,0.0332517,0.0292259,0.802591,0.001,0,1,1,1,0,3
GPBP1,0.0047540448651555,0.0290076,0.0495921936814796,0.458154,0.126614,0.0378672,0.001,1,1,0,0,1,3
MON1B,0.0048752426570641,0.0241175,0.547697546925372,0.0433444,0.785674,0.00727753,0.001,1,0,1,0,1,3
ITPA,0.0061191056598649,0.0397735,0.004155008135262,0.0477985,1.0,0.57114,0.001,1,1,1,0,0,3
SLC39A11,0.0116773767333762,0.0482143,0.0097959442232529,0.677645,0.0430826,0.829304,0.001,1,1,0,1,0,3
PRIM1,0.0200784827517719,0.0441852,0.538916201626463,0.0463783,0.0331808,0.697529,0.001,1,0,1,1,0,3
