GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,UKB_SIBLING_PROXY_PVAL,UKB_PARENT_PROXY_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,UKB_SIBLING_PROXY_SIG,UKB_PARENT_PROXY_SIG,SIG_DATASET
ANKRD23,2.379810219805501e-05,0.0351827,7.20626228896126e-05,0.660786,0.0219372,0.0853398,0.01,1,1,0,1,0,3
DCAF15,6.137459589931352e-05,0.0998232,0.0385732571711362,0.00119744,0.00301527,0.735694,0.01,0,1,1,1,0,3
CAMP,0.0001128397225052,0.0751001,0.0076723027702307,0.0438105,0.00481706,0.181555,0.01,0,1,1,1,0,3
PRTN3,0.000151963865283,0.00285003,0.11943518091647,0.0100404,0.0143392,0.658156,0.01,1,0,1,1,0,3
GAREM1,0.0001813364207617,0.0235864,0.291057404328252,0.00152117,0.0860771,0.0449845,0.01,1,0,1,0,1,3
C16orf89,0.0002860027218421,0.0213581,0.010296410682902,0.0149844,0.356019,0.0619683,0.01,1,1,1,0,0,3
SPATA25,0.0006695699434839,0.00257564,0.0299422638331069,0.011583,0.846537,0.291974,0.01,1,1,1,0,0,3
ANKRD37,0.0015115497205077,0.761472,0.0122301457427664,0.00944988,0.0083335,0.891727,0.01,0,1,1,1,0,3
CPD,0.0021017128643281,0.704042,0.0431943096809378,0.298538,0.0299627,0.00375883,0.01,0,1,0,1,1,3
FERMT2,0.0021943518483192,0.411946,0.727172712404085,0.0225539,0.00403561,0.0397739,0.01,0,0,1,1,1,3
NTMT1,0.0025567913989147,0.00602185,0.0425196908239288,0.22512,0.0443988,0.522322,0.01,1,1,0,1,0,3
ZNF34,0.0038945369665074,0.033612,0.915297778242083,,0.00962427,0.0414639,0.01,1,0,0,1,1,3
EPPIN-WFDC6,0.0040979286631023,1.0,0.0117371487498638,0.52727,0.0338776,0.0122439,0.01,0,1,0,1,1,3
ZFP36L1,0.0041177380326026,0.022872,0.398576128493587,0.0369212,0.0137628,0.557895,0.01,1,0,1,1,0,3
NECAP1,0.0057018384748165,0.0393246,0.0042519224546142,0.0491168,0.739946,0.671755,0.01,1,1,1,0,0,3
IL1RAP,0.0082332055649437,0.0248721,0.0316970118005714,0.0159267,0.676876,0.810811,0.01,1,1,1,0,0,3
PLCE1,0.0109881753550922,0.0434343,0.265590749232676,0.0207093,0.878744,0.0498429,0.01,1,0,1,0,1,3
AGAP3,0.0113313773317815,0.0353262,1.0,0.0230114,0.34422,0.0391095,0.01,1,0,1,0,1,3
TRRAP,0.0166721926153365,1.0,0.0233674089307723,0.709923,0.0299468,0.0389352,0.01,0,1,0,1,1,3
EGLN2,0.0186821019502093,0.0436078,0.0448694560050913,0.852404,0.559633,0.0245698,0.01,1,1,0,0,1,3
