GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,UKB_SIBLING_PROXY_PVAL,UKB_PARENT_PROXY_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,UKB_SIBLING_PROXY_SIG,UKB_PARENT_PROXY_SIG,SIG_DATASET
MRPL15,0.0005129949949673,0.0157017,0.0308605574231988,0.0668109,0.0390521,0.123036,0.01,1,1,0,1,0,3
CHERP,0.0010668659762151,0.0361171,0.0648599582110401,0.41816,0.0474645,0.00881229,0.01,1,0,0,1,1,3
FERMT2,0.001486905025571,0.267207,0.541626543199238,0.019219,0.00592778,0.0387947,0.01,0,0,1,1,1,3
PRTN3,0.0015965381768465,0.00484481,0.902394344303352,0.0165731,0.0264726,0.367089,0.01,1,0,1,1,0,3
LOC101928123,0.0019251281479922,,,0.0352755,0.0308598,0.0268122,0.01,0,0,1,1,1,3
CPD,0.0021478515445068,0.569537,0.0151389109477625,0.323641,0.0330771,0.0114106,0.01,0,1,0,1,1,3
LSR,0.0021903011438106,0.0810923,0.034857868327213,0.0134535,0.0318706,0.892495,0.01,0,1,1,1,0,3
SULT1C4,0.0023244996517268,0.0402331,0.371843254292705,0.0165215,0.0451918,0.105036,0.01,1,0,1,1,0,3
ZNF781,0.0031396752263518,0.0400782,0.010223536533589,0.0280421,0.29569,0.521997,0.01,1,1,1,0,0,3
SPINT2,0.0031472610544399,0.590718,0.802691495600107,0.0153858,0.0317612,0.00767939,0.01,0,0,1,1,1,3
ASZ1,0.0048476986799729,0.305339,0.010124277191784,0.563166,0.0497827,0.0374727,0.01,0,1,0,1,1,3
SERPINB10,0.005205233906717,0.0350353,0.39912757701931,0.0297431,0.204517,0.0421998,0.01,1,0,1,0,1,3
