COHORT: INITIAL-DISCOVERY; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 2
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	6.745826454311679	1.521584043412063e-11	10.817704054753682	0.013579	1.52885e-12	15.0	83.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
P2RY10	4.135326419882734	3.5445044892598045e-05	4.45044446925989	NA	3.54451e-05	NA	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
H2BC21	3.9589699747673723	7.527369825022631e-05	4.123356746245384	0.00635946	0.00410243	2.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
LIG3	3.710621333681138	0.0002067511719917333	3.6845520199224535	0.00810369	0.00932556	15.0	157.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
RPS20	3.707612055352238	0.00020922284611920927	3.679390894366084	NA	0.000209231	NA	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
KIF2C	3.6936819517457797	0.0002210302250323165	3.6555483341555868	0.00889171	0.00912182	7.0	104.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
NOP53	3.687502273292728	0.00022646607109129286	3.644996854320354	0.0125628	0.00654824	28.0	131.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
IPO4	-3.6302386376643283	0.00028315930287898074	3.5479691655485293	0.133618	0.000279107	27.0	208.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
MET	-3.6053741125021395	0.00031170356419346195	3.5062582317279625	0.0267918	0.00392371	24.0	190.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
IRX6	3.555444357651213	0.00037734080028505544	3.4232662338112863	0.151714	0.000324811	12.0	107.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
XKR7	-3.4472836097403734	0.0005662538150999665	3.246988858937113	0.000483158	0.165971	13.0	104.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
TRMT12	3.428928175581957	0.0006059698666936803	3.2175489716324517	0.0331734	0.00654289	10.0	63.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
ENDOU	-3.3940092674458406	0.0006887736168023578	3.1619234967120624	0.0169943	0.0158211	13.0	67.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
ZFP42	3.3874744846349225	0.0007053927806916772	3.1515689894116705	0.0323569	0.00803399	8.0	54.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
MYH14	-3.3741117666609135	0.0007405429358413843	3.130449756510202	0.157651	0.000783111	57.0	449.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
OR4C13	3.3488395683824077	0.0008115077066986337	3.0907073514251833	0.0023841	0.0894495	7.0	70.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
LBX2	3.2814837313569623	0.001032624812307177	2.9860574437681433	0.117509	0.00210226	15.0	62.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
CFAP52	-3.2776103878589415	0.0010468978695832582	2.9800956839752852	0.0152275	0.027222	13.0	93.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
RAP1A	3.275585177440901	0.001054433124638112	2.9769809593305077	NA	0.00105443	NA	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
LOC340512	-3.2666972229728355	0.001088099864701388	2.963331243701782	0.0151515	0.0284467	2.0	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
RIPOR2	3.2625408327957666	0.0011041826446497346	2.956959083307171	0.0018959	0.131591	28.0	160.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
LOC101928123	3.216834447416954	0.00129613366709548	2.8873502084279616	NA	0.00129614	NA	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
GSTM5	-3.212265936160894	0.0013169241007916627	2.8804392543147705	0.00217477	0.139525	7.0	52.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
CELA3B	-3.1833940578756623	0.001455593689894375	2.836959835780219	0.393721	0.000263143	8.0	55.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
SERINC1	-3.159362823708692	0.0015811451431014547	2.8010282616586952	0.0612592	0.00942081	7.0	58.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
ABHD8	3.152941420316579	0.001616342391348223	2.7914666368024093	0.0144809	0.0440266	9.0	68.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
DCLK1	-3.1489632970804324	0.0016385077265190966	2.785551506325123	0.339552	0.000468309	3.0	63.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
ITPK1	-3.117302134344841	0.0018251441751228278	2.7387028232693535	0.0939134	0.00626776	17.0	102.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
ARRDC5	3.11599158282759	0.0018332750520713979	2.736772371570574	0.00113675	0.249165	13.0	75.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
ZNHIT6	3.10864594737764	0.0018794679346061528	2.725965079336921	0.0135548	0.053925	12.0	63.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
MYOF	3.0966340579953746	0.001957313367747279	2.708339637812368	0.000343471	0.424174	63.0	347.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
ZNF736	3.087440821136931	0.002018879652678951	2.6948895689886196	0.226885	0.00158918	8.0	65.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
SMIM19	3.0854522072046837	0.0020324288481184923	2.691984649379849	0.106639	0.0059595	3.0	20.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
GADD45G	3.0837001240236814	0.002044435555280545	2.689426574729191	0.176821	0.002609	2.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
DCAF12L2	3.0833528096890377	0.0020468233522903355	2.688919636788362	NA	0.00204683	NA	38.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
WNT10B	-3.0831958316601558	0.002047903420547213	2.6886905286104823	0.0463594	0.0178752	9.0	75.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
ATP9B	-3.0765547008581433	0.002094078763018634	2.6790069875563773	0.00245211	0.186263	39.0	243.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
NEUROD2	3.0757507115462426	0.0020997331806131094	2.677835888861116	NA	0.00209973	NA	42.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	INITIAL-DISCOVERY
