GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	44.518850813977394	2.1520599999999945e-10	9.667145624592237	NA	2.15206e-10	NA	99.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
TREML1	25.26694105617578	3.2610199999999923e-06	5.486646537635933	NA	3.26102e-06	NA	73.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
ZNF274	25.259827118657526	3.272640000000001e-06	5.485101765731541	NA	3.27264e-06	NA	115.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
TUBA1B	21.446501328338435	2.202679999999999e-05	4.657048591514071	NA	2.20268e-05	NA	18.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
PHC2-AS1	20.2300672309096	4.0466600000000044e-05	4.392903283457919	NA	4.04666e-05	NA	33.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
VPS37B	20.189460771682675	4.129659999999996e-05	4.384085702871977	NA	4.12966e-05	NA	83.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
RAP1A	20.088457748693596	4.3435699999999954e-05	4.362153175102125	NA	4.34357e-05	NA	29.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
P2RY10	19.521422056295847	5.7673600000000064e-05	4.239022938976859	NA	5.76736e-05	NA	22.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
SEPT5-GP1BB	19.425869927637827	6.049590000000005e-05	4.2182740578717155	NA	6.04959e-05	NA	112.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
RPS14	19.046147242589644	7.314450000000005e-05	4.135818324486759	NA	7.31445e-05	NA	18.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
MVD	18.329185854849527	0.00010468099999999998	3.9801321372701435	NA	0.000104681	NA	169.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
CELA3B	18.179752977122092	0.00011280199999999987	3.9476832001641697	NA	0.000112802	NA	68.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
PANX1	18.022683966261024	0.0001220179999999999	3.9135760978166876	NA	0.000122018	NA	88.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
SEPTIN5	17.95403362643239	0.0001262789999999999	3.898668865932509	NA	0.000126279	NA	68.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
ATP6V0E1	17.947313800992436	0.00012670399999999992	3.8972096743785456	NA	0.000126704	NA	11.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
AGAP7P	17.28645409332706	0.00017631699999999997	3.7537058122029108	NA	0.000176317	NA	3.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
ZNF567	17.15425797605447	0.00018836500000000007	3.724999790072651	NA	0.000188365	NA	86.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
HOXA4	17.07879580280886	0.00019560800000000003	3.7086133873561526	NA	0.000195608	NA	84.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
EVX1	16.638373903112566	0.0002437940000000002	3.612976986982429	NA	0.000243794	NA	88.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
EVX1-AS	16.638373903112566	0.0002437940000000002	3.612976986982429	NA	0.000243794	NA	88.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
MRRF	16.410634822588513	0.0002731969999999997	3.5635240739897704	NA	0.000273197	NA	64.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
KNOP1	16.19859137363016	0.0003037529999999999	3.5174794240865968	NA	0.000303753	NA	112.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
ZNF736	15.872218993731149	0.00035759499999999967	3.4466085622687115	NA	0.000357595	NA	78.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
RELL1	15.751194466482502	0.0003799019999999999	3.420328420089193	NA	0.000379902	NA	66.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
SLC38A5	15.543111116697137	0.0004215569999999999	3.3751436947953284	NA	0.000421557	NA	41.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
HOXA3	15.435205163521871	0.00044492600000000006	3.351712214781064	NA	0.000444926	NA	260.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
RUBCN	15.380538671631921	0.0004572549999999999	3.3398415368946575	NA	0.000457255	NA	233.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
COLCA1	15.348232739899368	0.00046470099999999955	3.332826392952562	NA	0.000464701	NA	9.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
LPAR4	15.338388296687302	0.0004669940000000001	3.3306886992703566	NA	0.000466994	NA	32.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
EIF3C	15.172512481910761	0.0005073770000000003	3.2946692237510278	NA	0.000507377	NA	9.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
EIF3CL	15.172512481910761	0.0005073770000000003	3.2946692237510278	NA	0.000507377	NA	9.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
EZH2	15.124109785844775	0.0005198059999999997	3.284158711845679	NA	0.000519806	NA	53.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	2	INITIAL-DISCOVERY
