GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
RHOT1	3.3022983719039405	0.0009589600361495601	3.018199491308342	NA	0.000958919	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
TMEM252	2.8791789498662927	0.003987120239734322	2.39934066710517	NA	0.00398718	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
OTUD7B	2.8753649999589506	0.004035606802456583	2.3940911545862806	NA	0.00403557	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
ACSL6	2.8208754456923315	0.00478927941216278	2.319729824970206	NA	0.00478943	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
WDR33	2.797363880229102	0.00515214716406633	2.288011740440724	NA	0.00515214	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
RRP1B	2.757461361495823	0.005825209726449335	2.234688434010099	NA	0.00582518	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
ENOX2	2.749914816928237	0.005961075886752556	2.2246753494021774	NA	0.00596116	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
EME2	2.7357614327793423	0.006223612785740429	2.2059574356596747	NA	0.00622363	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
NUP160	2.7110837798553358	0.006706367888836656	2.1735126263158846	NA	0.00670642	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
GLIPR2	2.705015667146954	0.006830116802951334	2.1655718693135646	NA	0.00682988	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
FAAH2	2.673967110627887	0.007495980260275774	2.125171565778842	NA	0.00749611	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
SULT1E1	2.6696140365511605	0.007593848161064065	2.1195380908242534	NA	0.00759399	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
CAPRIN2	-2.665319799588234	0.007691514076466435	2.1139881608058033	0.00769153	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
YJEFN3	2.6536904635523166	0.007961682417287516	2.098995149933329	NA	0.00796174	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
RIPK2	2.6185181767853845	0.008831258650151622	2.0539773954189697	NA	0.00883121	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
TMEM209	2.617208773173188	0.008865210099146531	2.0523109674721143	NA	0.00886499	NA	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
NRBF2	2.6088576077793246	0.009084503536973893	2.0416988016574456	NA	0.00908438	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
COG3	2.607675258284775	0.009115939134421372	2.0401985831925376	NA	0.0091157	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
CCDC9	2.5761490308055572	0.00999075745864678	2.0004015840823217	0.00999078	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
RASAL3	2.575022256136335	0.01002336366983348	1.998986512190677	NA	0.0100234	NA	22.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
CPLX3	2.5623940285483773	0.010395330601555607	1.983161694293245	NA	0.0103954	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
INSM2	2.5594514457492727	0.010483749965752099	1.9794833453932206	NA	0.0104838	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
PHKB	-2.5530544274824796	0.010678280825211967	1.9714986619351043	0.038219	0.124033	5.0	35.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
CDC42BPB	2.5525625299696664	0.010693371296829677	1.9708853532770152	NA	0.0106933	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
GJA8	2.5492507501979196	0.010795464876468586	1.966758651251193	NA	0.0107956	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
RANGAP1	2.5460833133222955	0.01089391846684418	1.9628158794330144	NA	0.010894	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
NOC4L	2.532939886427686	0.011311034876493656	1.9464976585060443	0.175658	0.0258891	2.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
RGP1	2.5320189255263514	0.011340786998302932	1.9453568063636884	NA	0.0113409	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
TRAPPC6A	2.528976312194173	0.011439574757858095	1.9415901192272789	NA	0.0114393	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
PANX2	2.516418571497775	0.01185542917636425	1.926082719580943	NA	0.0118553	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
IGFLR1	2.514842734914531	0.011908549095411747	1.924141148529054	NA	0.0119088	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
FLYWCH1	2.510888104611622	0.012042786270863427	1.9192730212121067	NA	0.0120429	NA	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
IQCG	2.48755460915312	0.012862470464822041	1.8906756094679587	NA	0.0128625	NA	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
CHCHD5	2.467895198300171	0.01359101042809336	1.8667482543026293	NA	0.0135908	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
NBPF4	2.4646622668464153	0.013714245051139523	1.8628280946688898	NA	0.0137145	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
ENTPD1-AS1	2.4547847079387553	0.014096898614891374	1.850876423698654	0.173516	0.0348063	2.0	30.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
GNLY	-2.4499183833093423	0.014288859912743064	1.845002421548921	0.0164362	0.286593	3.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
ZNF138	2.4293579726337002	0.015125589829599214	1.8202876808245447	0.0151255	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
CDH26	-2.4222984267448875	0.015422679368166551	1.8118401701420492	0.0638926	0.115784	4.0	36.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
CASTOR3	2.421866539657074	0.015441020223269052	1.8113240082296755	0.015441	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
UBXN6	2.421662446109414	0.01544969409694693	1.81108011515974	NA	0.0154495	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
KL	2.419644318286634	0.015535694640264792	1.8086693235683629	NA	0.0155356	NA	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
NECAB3	2.4096119246364953	0.015969496950358528	1.7967087642074393	NA	0.0159691	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
AMHR2	2.4038039818141295	0.016225470856112197	1.7898026913076142	NA	0.0162259	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
SOAT2	2.399776884379802	0.01640506766416899	1.7850219739878017	NA	0.0164051	NA	15.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	INITIAL-DISCOVERY
