GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
TMEM252	19.82513732254464	4.9548000000000014e-05	4.304973871077673	NA	4.9548e-05	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
LOC105371046	18.24981214250235	0.0001089189999999998	3.962896354629866	NA	0.000108919	NA	12.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
ENTPD1-AS1	18.186608563761716	0.00011241599999999998	3.9491718718880686	NA	0.000112416	NA	30.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
CC2D2B	17.995027717488036	0.00012371700000000016	3.9075706197005613	NA	0.000123717	NA	29.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
RSPRY1	16.955521924345046	0.0002080440000000001	3.6818448047663295	NA	0.000208044	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
ZSCAN25	21.441848901721873	0.00025877572662349075	3.58707646327333	0.591922	3.7299e-05	3.0	18.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
CDK5RAP2	16.359885372591926	0.000280218	3.5525039709431994	NA	0.000280218	NA	34.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
ACER3	16.12063825788546	0.00031582599999999974	3.500552120079053	NA	0.000315826	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
BRDT	15.943839530393381	0.00034501600000000045	3.4621607642003895	NA	0.000345016	NA	15.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
SLC16A12	15.860380333626644	0.00035971800000000003	3.444037829890454	NA	0.000359718	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
ZDHHC24	15.809308590209556	0.0003690220000000002	3.4329477417168435	NA	0.000369022	NA	16.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
LTK	14.880552440105104	0.0005871230000000006	3.231270906204808	NA	0.000587123	NA	23.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
RHOT1	14.664259087300723	0.0006541789999999997	3.18430340140716	NA	0.000654179	NA	7.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
ING1	14.649340373169762	0.0006590769999999997	3.181063843795076	NA	0.000659077	NA	11.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
YJEFN3	13.764194557739502	0.0010259900000000003	2.9888568721345177	NA	0.00102599	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
OTUD7B	13.685415025063946	0.0010672100000000003	2.9717501139705624	NA	0.00106721	NA	7.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
B3GNT3	13.655855958245166	0.0010831	2.9653314441657592	NA	0.0010831	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
PANX2	13.617322714949076	0.0011041700000000005	2.956964056699096	NA	0.00110417	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
LRRC8D	13.5120607923313	0.00116384	2.934106720625382	NA	0.00116384	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
ATP6V0E1	13.399239574590405	0.0012313800000000005	2.909607904472144	NA	0.00123138	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
RIPK2	13.041234175133713	0.0014727600000000016	2.8318680197343387	NA	0.00147276	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
NRBF2	12.994565458126868	0.001507529999999999	2.82173403659755	NA	0.00150753	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
TRAPPC6A	12.972151345133181	0.0015245200000000003	2.816866873802593	NA	0.00152452	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
CTSA	12.708326624334372	0.00173949	2.7595780635862988	NA	0.00173949	NA	14.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
KL	12.665274828806169	0.0017773400000000018	2.7502294849693354	NA	0.00177734	NA	14.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	INITIAL-DISCOVERY
