GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	80.79996683373943	1.1789904852163182e-16	15.928489699768969	2.17967e-05	1.30653e-13	10.0	78.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
DCDC2C	25.235102909290976	4.511968438513479e-05	4.345633946929718	6.9745e-05	0.0475066	9.0	47.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
COL8A1	23.225071591747923	0.00011416742209385816	3.9424578052260326	0.0612824	0.000147708	14.0	92.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
TREML1	23.017549368742696	0.00012560803769605142	3.9009825690753064	0.474551	2.11602e-05	3.0	22.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
MRPL42	17.84191948577764	0.00013355999999999996	3.874323589617667	NA	0.00013356	NA	28.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
XKR7	22.104323151257944	0.0001910610499181594	3.718827840049857	0.000236693	0.0669764	13.0	104.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
DNAJC9-AS1	22.003595203238447	0.00020009042613626155	3.698773690852359	0.00567032	0.00294017	9.0	40.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
ANKS1B	21.415683284842313	0.0002618908355408105	3.581879698763363	0.00405146	0.00552118	16.0	237.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
TMEM151A	20.548711726895597	0.00038904127704536307	3.4100043178465107	0.000172228	0.200355	11.0	88.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
STAP2	20.490341284828304	0.00039952593262592296	3.398455026035048	0.0796348	0.000446145	5.0	62.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
FLNC	20.167642823357184	0.00046274477532292664	3.3346584760028963	0.175174	0.000238332	76.0	475.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
SLC25A4	15.204206360237203	0.0004994	3.301551461984671	NA	0.0004994	NA	33.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
IRF8	19.798472465591423	0.0005472835502771637	3.261787605267361	0.051499	0.000975029	11.0	62.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
OR5C1	19.702259241927237	0.0005717204362557347	3.2428162835694097	0.572939	9.19603e-05	11.0	56.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
CARF	19.552921775336337	0.000611805167652264	3.213386859039172	0.827985	6.85669e-05	9.0	93.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
CDKN2C	14.785875045536304	0.0006155850000000005	3.2107119711937044	NA	0.000615585	NA	26.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
HYDIN	19.192331101310202	0.0007204220367803533	3.142413011141606	0.0664961	0.00102245	46.0	424.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
GDF7	18.456860270022148	0.0010045063784926448	2.998047301190134	0.000727456	0.135001	7.0	59.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
RNF167	18.22840430000502	0.0011134838664697017	2.95331607117951	0.00030284	0.363529	12.0	84.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
SSTR4	18.07050561068627	0.0011955503794491688	2.922432118372316	0.00486802	0.024473	10.0	68.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
PRB1	13.162291611239349	0.0013862599999999998	2.8581553079813555	NA	0.00138626	NA	28.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
EVI5L	17.488727075144556	0.0015528326210571685	2.808875354103263	0.0369294	0.00431518	10.0	110.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
ZCCHC8	17.477825757337346	0.0015604463429898237	2.8067511602534223	0.493711	0.000324538	9.0	57.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
TAP1	17.466324482154818	0.0015685190287437571	2.8045102082201203	0.00349938	0.0460516	12.0	90.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
TXLNG	12.876441019268054	0.001599250000000001	2.7960836406103993	NA	0.00159925	NA	45.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
POU3F3	17.33811750755521	0.0016613449633398228	2.7795401808418454	0.0342842	0.00501166	5.0	73.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
TBX18	17.281663679660223	0.001703918901895945	2.7685510793446886	0.0647081	0.00273134	10.0	97.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
EMC9	17.04748290430833	0.0018923162505278652	2.723006281051747	0.659414	0.00030132	5.0	35.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
MON1B	16.905247914731873	0.002016621712946966	2.695375561077114	0.00709782	0.0300571	16.0	111.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
PXYLP1	16.65676448637128	0.0022533875068699747	2.6471641178082552	0.000369586	0.653603	11.0	76.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
RAP1A	12.148310181079978	0.0023015899999999996	2.6379720380460645	NA	0.00230159	NA	25.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	3	INITIAL-DISCOVERY
