GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	52.13049610168859	1.2954439103231917e-10	9.887581386201488	0.0222411	2.15204e-10	15.0	83.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
P2RY10	26.153222312896695	2.0936300000000023e-06	5.679100067240017	NA	2.09363e-06	NA	19.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ZNF274	27.819625146946095	1.3568046994401168e-05	4.8674826608587525	0.299026	3.04324e-06	9.0	104.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ATP1A1-AS1	21.137019936607274	2.571310000000005e-05	4.58984556117378	NA	2.57131e-05	NA	33.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
PSIP1	26.171011377799587	2.922870202040785e-05	4.534190470235815	0.00102319	0.00202806	7.0	81.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
RAP1A	20.53144154450458	3.480600000000005e-05	4.458345884148759	NA	3.4806e-05	NA	19.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
RPS14	19.6586348789121	5.384950000000006e-05	4.268818324831163	NA	5.38495e-05	NA	17.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
KNOP1	23.40069027716365	0.0001052980171779785	3.977579806751553	0.0195353	0.000424409	17.0	90.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
MVD	23.27143898875447	0.00011175609209004926	3.9517287931268807	0.0999069	8.8527e-05	27.0	130.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
TREML1	22.871064093126733	0.00013436182854593281	3.871724094425455	0.515114	2.09753e-05	9.0	49.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
VPS37B	22.07094508397517	0.00019400740926466675	3.712181683774341	0.4322	3.72967e-05	7.0	75.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
RPS20	16.61546160371581	0.00024660300000000035	3.608001644384566	NA	0.000246603	NA	16.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
EIF3CL	15.61863501940369	0.0004059349999999998	3.391543501893956	NA	0.000405935	NA	7.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
EIF3C	15.61863501940369	0.0004059349999999998	3.391543501893956	NA	0.000405935	NA	7.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
NEUROD2	15.552350633778213	0.0004196139999999999	3.37715003043721	NA	0.000419614	NA	42.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
NOP53	20.063850646043836	0.000485111424741651	3.3141584972893563	0.0185011	0.0023768	28.0	131.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ARRDC5	20.002458625338406	0.0004988414289261801	3.3020374854122694	0.00182528	0.0248423	13.0	75.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
PHC2-AS1	19.925290751255947	0.0005166464549980577	3.28680654620326	1.0	4.71279e-05	4.0	29.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SEPTIN5	19.484136454931537	0.0006311919231518496	3.1998385670752927	0.758649	7.7452e-05	5.0	63.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
TUBA1B	14.712887399938145	0.0006384649999999995	3.194862905328509	NA	0.000638465	NA	14.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SLC38A5	14.65218272776115	0.0006581410000000003	3.181681053252402	NA	0.000658141	NA	36.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
HSPB9	14.59257905286064	0.0006780500000000001	3.168738279697178	NA	0.00067805	NA	31.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
LURAP1L	19.32305326226451	0.0006790030004620784	3.1681283066013175	0.000258705	0.246177	9.0	48.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
HHEX	19.152973196884112	0.0007333750616133208	3.1346738622890613	0.126007	0.000550288	5.0	43.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ARNTL2-AS1	19.088210083441183	0.0007551923282263635	3.1219424305556975	0.0786342	0.000910828	12.0	57.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
MRRF	19.087686038622873	0.0007553714599185211	3.1218394280788564	0.479467	0.000149418	4.0	57.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
LPAR4	14.086643768208935	0.0008732209999999999	3.058875828534985	NA	0.000873221	NA	30.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
STARD7-AS1	14.080259253910699	0.0008760129999999996	3.057489448870307	NA	0.000876013	NA	3.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
CD1D	18.742723791449134	0.0008828868116032211	3.054094970541385	0.0989722	0.000860114	11.0	54.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SEPT5-GP1BB	18.4592909409179	0.00100340551766066	2.9985235151450333	0.758649	0.000129293	5.0	105.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
MAOA	13.628038128968612	0.001098270000000001	2.9592908792890924	NA	0.00109827	NA	30.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
CREBZF	18.1589435246272	0.0011488763450003268	2.9397267124552813	0.165015	0.000690736	4.0	60.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
GPR19	18.079922882090546	0.0011904925292965914	2.92427332558077	0.000876486	0.135285	6.0	56.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
XKR7	17.993764242338372	0.00123756583532465	2.907431688428585	0.000533393	0.23209	13.0	104.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
CELA3B	17.945709764450772	0.001264614442273392	2.8980418627222115	0.518429	0.000244596	8.0	55.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
IPO4	17.891053332481597	0.001296089276230067	2.887365082694812	0.231974	0.000561782	27.0	208.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
CPSF7	17.79592319554332	0.001352726949870958	2.868789857601729	0.235341	0.00058072	4.0	66.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
EVX1	17.65157356270506	0.0014433672208299124	2.8406231618443547	0.766992	0.000191522	15.0	82.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
EVX1-AS	17.65157356270506	0.0014433672208299124	2.8406231618443547	0.766992	0.000191522	15.0	82.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ZNF736	17.64449224892122	0.001447964794260226	2.839241997423671	0.334712	0.000440429	8.0	65.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
SYCE2	17.643499734943298	0.001448610342268256	2.839048418504349	0.263204	0.000560364	5.0	29.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
LOC101928123	12.984996536823006	0.0015147600000000004	2.8196561717375332	NA	0.00151476	NA	12.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
ZNF56	17.514097702887714	0.0015352548763210745	2.8138195145248717	0.000238563	0.659567	21.0	54.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	INITIAL-DISCOVERY
