GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	67.11082104153871	9.238180205806234e-14	13.03441357038305	1.24227e-05	2.15206e-10	10.0	78.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
LRRK2	33.34108052977247	1.0170122418432128e-06	5.992673819414564	2.23407e-07	0.25762	49.0	357.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
TREML1	22.769803423168245	1.1365800000000006e-05	4.944399990351871	NA	1.13658e-05	NA	22.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
PSIP1	27.847196984097163	1.3394655945917265e-05	4.87306843716653	0.00365964	0.000245256	8.0	93.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
ZNF274	25.749655796246557	3.554355748081116e-05	4.44923910672302	0.495452	5.17049e-06	5.0	51.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
RAP1A	20.372353553383228	3.768770000000003e-05	4.42380036580822	NA	3.76877e-05	NA	25.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
DCDC2C	24.311855476213182	6.916225428338764e-05	4.160130859717367	0.000102074	0.051503	9.0	47.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
TMSB4X	18.777264916005276	8.366979999999999e-05	4.07743126912831	NA	8.36698e-05	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
MRPL42	17.498944186540612	0.000158545	3.799847449673788	NA	0.000158545	NA	28.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
ATP1A1-AS1	17.3050638611875	0.00017468400000000023	3.757746871948555	NA	0.000174684	NA	51.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
GPR19	22.0844517139478	0.00019280975852003636	3.714870989291318	0.000166201	0.096336	4.0	53.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
COL8A1	21.880499907234565	0.00021170115759788416	3.6742767672191388	0.106194	0.000166959	14.0	92.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
GRIA4	21.665875313291814	0.00023356487390869396	3.631592470697828	0.000169845	0.116215	10.0	148.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
FLNC	21.447485351422635	0.00025810951106468777	3.5881959918652524	0.0363646	0.000605423	76.0	475.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
RPUSD1	21.309298738923864	0.0002749437074160346	3.5607562154829777	4.29573e-05	0.549171	16.0	88.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
XKR7	21.301673037292765	0.0002759037356296836	3.559242419301986	0.000198593	0.119244	13.0	104.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
SAMSN1-AS1	16.172991557958234	0.0003076659999999999	3.5119204947445684	NA	0.000307666	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
CDKN2C	15.888899329670517	0.0003546250000000002	3.450230651196091	NA	0.000354625	NA	26.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
RPL36A	15.839759655469166	0.0003634459999999998	3.439560106522006	NA	0.000363446	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
FAM229A	20.68706738919708	0.0003652655876588732	3.4373912415407273	0.175385	0.000183598	9.0	34.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
DNAJC9-AS1	20.63379054973615	0.0003742455187379766	3.426843391249494	0.00784224	0.00421686	9.0	40.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
SLC3A2	20.50826026976078	0.0003962778503282101	3.4020002015721094	0.0433245	0.000812745	12.0	73.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
KRTAP19-8	15.657122377896998	0.00039819800000000005	3.3999009256022936	NA	0.000398198	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
OR5C1	20.478386016921625	0.00040170765391448203	3.396089893383696	0.72681	4.91761e-05	11.0	56.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
ELOA2	20.39474605700735	0.00041730473288748986	3.3795466896825777	0.003746	0.00994877	5.0	48.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
HSPB9	15.430818236775128	0.00044590300000000037	3.350759605741752	NA	0.000445903	NA	10.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
EIF3CL	15.24296149517059	0.0004898160000000001	3.309967032608164	NA	0.000489816	NA	8.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
EIF3C	15.24296149517059	0.0004898160000000001	3.309967032608164	NA	0.000489816	NA	8.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
CARF	20.011365086770365	0.0004968259426901275	3.3037957347457168	0.663816	6.80048e-05	9.0	93.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
CXCL3	15.051727270103143	0.0005389629999999997	3.2684410482592456	NA	0.000538963	NA	10.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
ANKS1B	19.603352840739802	0.0005979669493554275	3.223322819538731	0.00362958	0.0152521	16.0	237.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
EVI5L	19.40517595764993	0.0006541967574249386	3.18429161281872	0.0495293	0.00123412	10.0	110.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
C11orf53	14.629054481303099	0.0006657960000000001	3.1766588183459867	NA	0.000665796	NA	31.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
ARRDC5	19.354950863679967	0.0006692592802372319	3.1744055979850683	0.00119683	0.0523713	8.0	38.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
CPSF7	19.283042130496828	0.0006914237819310399	3.160255686720438	0.257655	0.000252175	4.0	77.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
SORBS3	19.114083011353703	0.0007464003592669383	3.1270281602213483	0.000202612	0.348951	26.0	142.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
INO80	19.08636218261039	0.000755824174377749	3.1215792216662117	0.738874	9.70239e-05	24.0	206.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
IRF8	19.002639599146505	0.000785006268305419	3.105126875382664	0.0731647	0.00102171	11.0	62.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
VIL1	18.921377152854852	0.0008143956199218734	3.0891645707746007	0.0226006	0.00344473	20.0	130.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
SLC25A4	14.092414659280326	0.0008707049999999993	3.0601289616089704	NA	0.000870705	NA	33.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
STAP2	18.55319141085535	0.0009617782364587516	3.016925054557709	0.110512	0.000846869	5.0	62.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
GDF7	18.409667766303095	0.0010261181683774894	2.988802622733801	0.00050186	0.200359	7.0	59.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
ROR2	18.386890428120132	0.0010367128149561715	2.984341533054818	0.909158	0.000111866	34.0	178.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
MAOA	13.654600697183506	0.0010837799999999997	2.965058867689546	NA	0.00108378	NA	23.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
RNF157	18.275193105499373	0.001090252880666189	2.962472757160129	0.00181179	0.0593587	11.0	127.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
UPP2	18.182360730466208	0.0011368220849895705	2.9443074979800086	0.000760571	0.148119	7.0	50.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
RBM20	18.181292093435985	0.0011373694465540874	2.9440984424907337	0.263678	0.000427473	30.0	193.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
FCN1	18.08685646405338	0.0011867821398320983	2.9256289981074124	0.0581252	0.00203294	9.0	51.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
AJM1	18.068912913437067	0.0011964078849238354	2.9221207334143506	0.0144989	0.00822338	13.0	131.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
MPV17L	13.3705038651107	0.0012492	2.903368024441839	NA	0.0012492	NA	33.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
MRRF	13.337980757529943	0.0012696799999999994	2.8963057213635044	NA	0.00126968	NA	42.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
PIK3C2A	17.706888102826127	0.001407946516437206	2.851413842393737	0.107931	0.00132389	21.0	231.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
LSM14B	17.611087109502602	0.001469848918281076	2.83272730289051	0.000451364	0.332104	8.0	64.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
H2AC16	12.977839903871601	0.0015201900000000003	2.818102128637632	NA	0.00152019	NA	43.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
RUSF1	17.515242360246848	0.0015344664607294014	2.8140425996266405	0.710926	0.000221202	15.0	107.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
PTX4	17.507917212958557	0.001539518778398266	2.8126150093882543	0.349224	0.00045196	10.0	56.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
CHRNA3	17.479151306165328	0.0015595185863780307	2.8070094449444674	0.852088	0.000187917	12.0	87.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
CDKL1	17.440922778437177	0.0015864946742788647	2.7995613814489664	0.0158589	0.0102915	12.0	63.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
DHCR24	17.22949170162903	0.0017442198429617481	2.7583987771053184	0.238219	0.00076153	10.0	90.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
ZCCHC8	17.09247655637914	0.0018545909880223852	2.7317518549065825	0.523836	0.000370869	9.0	57.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
SCML2	12.510214456804292	0.0019206200000000005	2.7165585530081953	NA	0.00192062	NA	15.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
C5orf22	17.00780477134412	0.0019262120096347009	2.71529591370829	0.00170997	0.118526	7.0	51.0	SkatO	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	4	INITIAL-DISCOVERY
