GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	7.03305924736227	2.0205351578887175e-12	11.694533588307587	0.0143439	6.49434e-14	8.0	76.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
TREML1	4.252300914227647	2.115852895874729e-05	4.674514529798792	NA	2.11602e-05	NA	22.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
XKR7	-3.8947858225955003	9.828553555353588e-05	4.007510391542242	0.000236693	0.0669764	13.0	104.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
MRPL42	3.819807466278614	0.00013355588352816224	3.87433697527621	NA	0.00013356	NA	28.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
STAP2	3.722191244180043	0.0001975013404763311	3.704429952394493	0.0796348	0.000446145	5.0	62.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
MET	-3.626127443732415	0.0002877034037725673	3.5410550000113106	0.0153646	0.00684168	18.0	144.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
SLC25A4	3.4810799398469503	0.0004993964208630959	3.30155457452968	NA	0.0004994	NA	33.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
SORCS3	-3.4772501116161183	0.0005065850179207817	3.295347658466803	0.00978415	0.0195842	24.0	188.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
MON1B	-3.437642521310193	0.0005868018226598736	3.2315085458684685	0.00709782	0.0300571	16.0	111.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
SNRNP35	3.4354680037700733	0.0005915313101291215	3.2280222629440334	0.0359247	0.00576761	7.0	62.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
CDKN2C	3.4246700159925596	0.0006155465667109576	3.2107390866796677	NA	0.000615585	NA	26.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
CFAP52	-3.3744743515754325	0.0007395680739095103	3.131021844976625	0.0133666	0.0215405	8.0	82.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
ENDOU	-3.360562009687675	0.0007778406770711136	3.1091093492245574	0.0503348	0.00518271	11.0	55.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
SERINC1	-3.3132849421514625	0.0009220698800887786	3.0352361642100107	0.0261287	0.0138393	6.0	66.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
CGN	3.3057382431823688	0.0009472653521585187	3.023528347463683	0.0175547	0.0214398	30.0	226.0	CMCWald	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	4	INITIAL-DISCOVERY
