GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	7.371358791128334	1.688976033445199e-13	12.77237651302008	0.013579	1.77078e-15	15.0	99.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
P2RY10	3.80248542646685	0.00014325169571286064	3.8439002284573993	NA	0.000143249	NA	22.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
TUBA1B	3.7595917366743725	0.00017019086337045642	3.7690637585540276	NA	0.000170194	NA	18.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
ENDOU	-3.7551112107129954	0.0001732645272372315	3.7612903420871877	0.00687814	0.00911182	15.0	81.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
MET	-3.7167891914249624	0.00020177066154024076	3.695141982090571	0.0249452	0.00257763	25.0	224.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
NOP53	3.698563948946083	0.0002168227257923425	3.6638952001366096	0.0125628	0.00624516	28.0	146.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
IPO4	-3.5462106893971987	0.00039081360934782665	3.40803032120262	0.113028	0.000602789	28.0	236.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
XKR7	-3.5105848823565853	0.00044712203211166683	3.3495739295755516	0.000483158	0.140271	13.0	108.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
RPS20	3.4300553389614272	0.0006034581616257595	3.219352834605453	NA	0.000603457	NA	19.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
LIG3	3.3806718558643145	0.0007230884084505906	3.140808600416469	0.00810369	0.032903	15.0	179.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
CFAP52	-3.3721404732950204	0.0007458639587147538	3.127340378113487	0.0152275	0.0191807	13.0	103.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
MOB1A	3.371369653316915	0.0007479542379354119	3.126124972750646	NA	0.000747936	NA	17.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
LBX2	3.369267298602268	0.0007536830061057918	3.122811277003234	0.117509	0.00137648	15.0	66.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
MYH14	-3.3645160927976043	0.0007667801245808797	3.1153291528319498	0.152112	0.000880953	58.0	469.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
TRMT12	3.358348888032652	0.0007840957925243693	3.1056308765714524	0.0331734	0.00880742	10.0	70.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
IRX6	3.3488117069311607	0.0008115893117699614	3.09066368104467	0.126354	0.00133983	13.0	121.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
ATP6V0E1	3.3407038666357955	0.0008356630376887669	3.077968806738908	NA	0.000835681	NA	11.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
ZFP42	3.3212155066343936	0.0008962630333685664	3.0475645158107345	0.0323569	0.0105599	8.0	64.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
ZNF567	3.31437529663644	0.0009184813874030685	3.036929640044121	0.3629	0.000158483	7.0	86.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
ZNHIT6	3.285957984652437	0.0010163616881020622	2.9929517141051982	0.0135548	0.0293913	12.0	74.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
CELA3B	-3.2450578170444846	0.0011742677909497537	2.9302328512402855	0.457284	0.00012012	9.0	68.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
SNRNP35	3.219404921596328	0.001284569517761655	2.8912423878060975	0.0512912	0.00921727	8.0	68.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
LOC101928123	3.216834447416954	0.00129613366709548	2.8873502084279616	NA	0.00129614	NA	12.0	CMCWald	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	INITIAL-DISCOVERY
