GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	114.64131788184143	2.171184039729257e-22	21.66330336215071	1.21058e-05	1.23743257136136e-07	8.51999e-14	17.0	18.0	85.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
P2RY10	20.49505107477776	3.544509999999998e-05	4.450443794050646	NA	NA	3.54451e-05	NA	NA	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ABCC3	26.768939711552946	0.00015997429001085827	3.7959498086166032	0.060822	0.259520987754858	9.74912e-05	62.0	161.0	346.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PANK4	26.244483282269098	0.00020046211099488366	3.69796770055409	0.0674404	0.0008613712803947	0.0344328	25.0	60.0	179.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
GDF9	26.0613683825733	0.00021685727011709095	3.663826013594493	0.0929277	3.66034020865596e-05	0.644435	9.0	44.0	68.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
STK38L	26.007580145388246	0.00022191971045072727	3.6538041229152274	0.36156	0.0001667716361832	0.0373442	2.0	11.0	37.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
FLNC	25.17834114108223	0.00031644193984261046	3.4997059618521553	0.223171	0.0298832485116819	0.000511125	80.0	235.0	487.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
SEZ6L2	24.729635761137175	0.00038313210747559624	3.416651451475061	0.0199365	0.0004490051230869	0.476571	16.0	91.0	167.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
SQSTM1	24.48745970155513	0.0004246932529171925	3.3719246385716195	0.00245492	0.0287300902708776	0.0682718	27.0	57.0	162.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
RP11-548K23.11	15.466122116689498	0.00043810100973390025	3.358425745860045	NA	0.0004381010097339	NA	NA	29.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
SEPTIN5	19.77072964817613	0.0005542217870251692	3.2563164056580356	0.71969	NA	7.07449e-05	5.0	NA	63.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ZNF433-AS1	19.54682677694032	0.000613498945493055	3.212186179419358	0.433162	NA	0.000131465	31.0	NA	159.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
DCDC2C	23.470702591739766	0.0006532253554844688	3.1849369661073337	3.77936e-05	0.675108215684952	0.313769	10.0	18.0	59.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
DCAF1	23.173110808783136	0.0007405245890818995	3.130460516176823	0.616782	0.0002538026319691	0.0593465	10.0	66.0	98.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
IRX6	23.151570218336346	0.0007472708878986099	3.1265219366134467	0.151714	0.190565384718304	0.000324811	12.0	49.0	107.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
USE1	22.98927393588201	0.0008000790186513339	3.0968671184211396	0.00130682	0.0398482304923067	0.195577	8.0	29.0	53.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
CRTAC1	22.870064445607827	0.0008411859314744046	3.0751079993405988	0.00229725	0.62984553027736	0.00747113	28.0	78.0	155.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
LAT	22.86849602029227	0.0008417403627942374	3.0748218472110267	0.546265	0.0005253972822846	0.0376945	11.0	24.0	54.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ZNF184	22.702046696906212	0.0009026652746754106	3.044473264427295	0.047245	0.0058553254772467	0.0425017	5.0	33.0	84.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
NCAM1	22.570060641516	0.0009540347442159302	3.0204358087901477	0.103627	0.432055904100879	0.000280518	23.0	83.0	151.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PI4K2A	22.535873738266233	0.0009678016408245803	3.014213645917768	0.0342393	0.00282331375364	0.132164	7.0	17.0	64.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
RNF114	22.45354422050865	0.0010017604614466944	2.999236113507343	0.168915	0.0002560120421331	0.307855	9.0	23.0	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
H2BC21	18.33156558502396	0.0010628988495572078	2.9735080630113497	0.00635946	NA	0.0164411	2.0	NA	14.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
MAGT1	13.595775868703916	0.0011161299999999992	2.95228521848575	NA	NA	0.00111613	NA	NA	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
TOM1	22.06650772908627	0.001177724935454917	2.9289561297214015	0.156181	0.0241087968899287	0.00429057	25.0	60.0	113.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
L3HYPDH	22.011592430928964	0.0012050303707210888	2.9190020073045773	0.50077	0.0023593356577296	0.0140545	10.0	35.0	76.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
CDCP2	21.884452597411887	0.0012706520895891403	2.8959733450046685	0.00936307	0.016340630719919	0.115655	19.0	39.0	82.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
LOC101928123	13.296729324389885	0.0012961400000000005	2.8873480864718406	NA	NA	0.00129614	NA	NA	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ARHGEF38	21.58762888709072	0.001437790705008988	2.842304328330795	0.00754437	0.0050759503929035	0.536001	15.0	59.0	117.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ASPSCR1	21.44277407613675	0.0015269975958196605	2.816161646717696	0.662753	0.0792234611149891	0.000420296	41.0	92.0	201.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
RPS20	17.41336367568298	0.0016062269811613896	2.7941930831541844	NA	0.790879086357917	0.000209231	NA	5.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PPFIBP2	21.166953160643786	0.0017120920242167876	2.7664728958881497	0.564391	0.0096942680878741	0.00462977	47.0	105.0	212.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
