GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	103.73038237149639	4.1754054502762214e-20	19.379301346223954	1.05348e-05	1.31750719223334e-08	2.15206e-10	17.0	18.0	85.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
LRRK2	39.8232077450822	4.93443017545641e-07	6.306762992121662	1.96111e-07	0.0465795758379102	0.246492	56.0	179.0	395.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
P2RY10	26.153222312896695	2.0936300000000023e-06	5.679100067240017	NA	NA	2.09363e-06	NA	NA	19.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
STK38L	30.732411739559275	2.8511888293820247e-05	4.544974019153899	0.461737	2.68194825381318e-05	0.0171276	2.0	11.0	37.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
RPUSD1	30.07057016016078	3.8112528320753516e-05	4.418932239909806	1.28091e-05	0.039381052741897	0.5854	31.0	78.0	122.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
RAP1A	25.302399973471694	4.37345321796948e-05	4.359175514682536	NA	0.0920448597787588	3.4806e-05	NA	6.0	19.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
GDF9	28.991995931205235	6.10494892921738e-05	4.214317964782465	0.112354	2.05142388890467e-05	0.219697	9.0	44.0	68.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PSIP1	27.65060527515988	0.00010931907984544823	3.961304032483641	0.00102319	0.477210803967632	0.00202806	7.0	35.0	81.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PANK4	26.263852129624333	0.00019880114239267412	3.701581124297815	0.116878	0.0011392221088566	0.0148777	25.0	60.0	179.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PI4K2A	25.99573324822903	0.00022305028475579127	3.651597217982598	0.00242412	0.0037166314197181	0.251417	7.0	17.0	64.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ATP1A1-AS1	21.51222529139751	0.0002505782489365232	3.6010566299772253	0.828944	NA	2.57131e-05	2.0	NA	33.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
RUSF1	21.445988609637922	0.00025828625656372284	3.58789870206258	0.100625	NA	0.000218956	28.0	NA	139.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
DCAF1	25.070225789921494	0.00033138097763235613	3.4796724251454365	0.473686	0.0001702600650022	0.0446135	10.0	66.0	98.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
IRX6	24.60025109759971	0.0004048116849915638	3.3927469599673805	0.219323	0.0228064869013536	0.000909873	12.0	49.0	107.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
EIF3CL	15.61863501940369	0.0004059349999999998	3.391543501893956	NA	NA	0.000405935	NA	NA	7.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
MRRF	24.572430347923117	0.00040962875538818537	3.387609564073064	0.479467	0.0644173575734297	0.000149418	4.0	22.0	57.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
DCDC2C	24.52988466282755	0.0004171047503211661	3.3797548640344806	2.84691e-05	0.834525600387543	0.198422	10.0	18.0	59.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
RPS14	20.355300268124545	0.000424867214972854	3.3717467801030443	0.705864	NA	5.38495e-05	3.0	NA	17.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
H2BC21	20.066224291743723	0.00048458815168550784	3.31462720868904	0.00246732	NA	0.0178012	2.0	NA	14.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
XPNPEP1	24.086741140409075	0.0005034142951727893	3.298074456196253	0.750995	0.0003536221502211	0.0221541	6.0	49.0	87.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ROR2	23.912188037885976	0.0005420409391407039	3.2659679109312507	0.57257	0.118784179653825	9.43946e-05	44.0	143.0	197.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PXYLP1	23.881352672243693	0.0005491611476459787	3.2603001960525972	9.52418e-05	0.0684545882222868	1.0	12.0	37.0	87.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
ZNF274	23.86182584094114	0.000553717590050609	3.2567116799546088	0.184735	0.38799778185608	9.18527e-05	11.0	53.0	106.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
RP11-548K23.11	14.889221173829226	0.0005845837006277999	3.2331532978155457	NA	0.0005845837006278	NA	NA	29.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
CCDC73	23.65561447078057	0.0006041637941095682	3.2188453043682106	6.01278e-05	0.83939414418623	0.144613	25.0	69.0	137.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
SEPTIN5	19.484136454931537	0.0006311919231518496	3.1998385670752927	0.758649	NA	7.7452e-05	5.0	NA	63.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
MAGT1	14.728561101520386	0.0006334809999999995	3.1982664063825923	NA	NA	0.000633481	NA	NA	29.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
EIF3C	19.425855343265173	0.0006480929271274688	3.1883627181337535	NA	0.149029625799656	0.000405935	NA	2.0	7.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
RAB32	23.433333107080962	0.0006636059168906213	3.1780897503428385	0.13206	0.0001740109878601	0.354951	8.0	14.0	28.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
PARP15	23.136986188238286	0.0007518727048518652	3.123855681030715	0.403797	7.22702423548993e-05	0.324149	24.0	48.0	104.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP1
