GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	6.83549526621479	8.172219756748338e-12	11.087659963397893	0.013579	0.0214830395852572	1.52885e-12	15.0	16.0	83.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
P2RY10	4.135326419882734	3.5445044892598045e-05	4.45044446925989	NA	NA	3.54451e-05	NA	NA	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
MET	-4.098580332974745	4.156919643690463e-05	4.381228370643923	0.0267918	0.0454807865751501	0.00392371	24.0	97.0	190.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
CFAP52	-3.9787754512570674	6.92711253137517e-05	4.159447757164906	0.0152275	0.0240580978725804	0.027222	13.0	57.0	93.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
H2BC21	3.9589699747673732	7.527369825022613e-05	4.123356746245386	0.00635946	NA	0.00410243	2.0	NA	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
STK38L	3.902333888173633	9.526961690979561e-05	4.0210455811274946	0.36156	0.0001667716361832	0.0373442	2.0	11.0	37.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
NOP53	3.6875022732927283	0.00022646607109129286	3.644996854320354	0.0125628	NA	0.00654824	28.0	NA	131.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ENDOU	-3.6866507208946175	0.00022722488668900612	3.6435441044759487	0.0169943	0.112827256736117	0.0158211	13.0	35.0	67.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
IRX6	3.6587067722556483	0.0002534911745559799	3.5960371562847233	0.151714	0.190565384718304	0.000324811	12.0	49.0	107.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
LAT	3.5501249029716204	0.00038504841765601164	3.414484656988301	0.546265	0.0005253972822846	0.0376945	11.0	24.0	54.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SDR16C5	-3.549175628775148	0.00038643924428399573	3.4129187758628117	0.0272457	0.0428802683518319	0.0555556	6.0	38.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
FAM163B	3.4374060960876243	0.0005873143270306784	3.2311294047853876	0.187239	0.0428875769024872	0.00904981	4.0	24.0	58.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ADORA1	3.425047997702366	0.0006146908150746745	3.211343276210829	0.500647	0.0005856064517807	0.0686536	6.0	26.0	44.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
KCTD20	-3.391523382040241	0.000695052322509764	3.1579825011336884	0.0202996	0.0222611524641467	0.204928	8.0	29.0	67.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
RASAL1	3.3891266718168227	0.0007011561229535197	3.154185269069097	0.183743	0.0103252945807353	0.0481454	23.0	85.0	160.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
TMEM139	-3.371292874783005	0.0007481627405909607	3.126003923989549	0.185743	0.0103515200383539	0.050925	5.0	22.0	37.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
BOLA1	3.3410909032481544	0.0008344989585489205	3.0785742009820254	0.180798	0.0013173145056984	0.216288	3.0	15.0	27.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
FAM186B	3.294246183785626	0.000986860253381573	3.0057443422464747	0.0301275	0.0013922024979948	0.733003	29.0	81.0	147.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
C11orf63	3.2735006100423565	0.0010622416134898967	2.9737766890258692	NA	0.0010622416134898	NA	NA	68.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
BEAN1	-3.270444080685297	0.0010737876967212916	2.969081576417355	0.0105342	0.128027102977151	0.112995	19.0	49.0	68.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
LOC340512	-3.266697222972836	0.0010880998647013849	2.9633312437017834	0.0151515	NA	0.0284467	2.0	NA	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
RIPOR2	3.262540832795766	0.0011041826446497346	2.956959083307171	0.0018959	NA	0.131591	28.0	NA	160.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
C5orf38	-3.2340320634460906	0.0012205575190642403	2.913441749533482	0.151215	0.0460500114739601	0.0299071	12.0	18.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SMIM19	3.2232715947499044	0.001267353259791573	2.8971023137713865	0.106639	0.222699310182292	0.0059595	3.0	9.0	20.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
GDF9	3.221537464693004	0.0012750479115067569	2.8944734957695855	0.0468296	0.0004364251712774	0.940202	7.0	43.0	66.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
LOC101928123	3.216834447416954	0.00129613366709548	2.8873502084279616	NA	NA	0.00129614	NA	NA	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
NPRL3	3.209303994658896	0.0013305673146988605	2.875963149175159	0.219101	0.0003915666431376	0.433006	25.0	66.0	158.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
ATP8B2	3.2072799841308837	0.0013399651344499124	2.872906501719524	0.165826	0.0286438527755737	0.047582	21.0	81.0	170.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
DSEL	3.2007766174496886	0.001370577424760119	2.8630964258696037	0.0124232	0.030819045993025	0.376364	22.0	77.0	198.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
FDFT1	-3.19859528313771	0.001380988887928574	2.8598098159403538	0.215035	0.0735459504879885	0.0120439	10.0	67.0	146.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
SEMA4G	-3.1862938128903626	0.0014410816602068294	2.8413114087957387	0.00884544	0.126709581613331	0.169552	26.0	90.0	201.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP1
