GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
B3GNT3	4.12419632301468	3.7203147511382086e-05	4.429420315790168	NA	0.0004551017125469	0.019986	NA	3.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
RHOT1	3.544071692005419	0.00039399809349078435	3.4045058796679166	NA	0.0873073246960329	0.000958919	NA	3.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
TRAPPC3L	3.3493123811296557	0.0008101240175517914	3.0914484922131877	0.598795	0.0020760267795094	0.0280984	3.0	4.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
RP11-400G3.5	3.112899632413066	0.0018525900862235362	2.732220664321094	NA	0.0018525900862235	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
FLYWCH1	3.057228067457272	0.0022339423368667147	2.650928041204205	NA	0.0698803743089678	0.0120429	NA	14.0	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
NOC2L	3.056221764227844	0.0022414540542561086	2.6494701589563636	NA	0.0022414540542561	NA	NA	15.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
SLC17A1	-3.042402310276703	0.002346979837439067	2.629490641345833	NA	0.002346979837439	NA	NA	12.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
ZNF587B	3.0318646066294477	0.002430481939366744	2.6143076017700624	NA	0.0024304819393667	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
LY6K	2.9354628482829033	0.0033305049089437312	2.4774899218853377	NA	0.0033305049089437	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
USP13	2.910664026056153	0.00360661604781899	2.442900089228362	NA	0.0036066160478189	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
MEI1	2.899569861415407	0.0037367506235431256	2.4275058843373882	NA	0.0037367506235431	NA	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
LNPK	2.8935885932437624	0.0038086682902441207	2.4192268498619502	NA	0.0538706987442293	0.0304437	NA	3.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
OTUD7B	2.87536499995895	0.00403560680245659	2.39409115458628	NA	NA	0.00403557	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
KCNA3	2.8359090201981285	0.004569546113871681	2.340126935604208	NA	0.0599642476389752	0.0332104	NA	3.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
KIN	2.806766914058083	0.005004143607014746	2.3006702355815043	NA	0.0050041436070147	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
ADGRF3	2.777846731470223	0.005472042291909992	2.261850554732355	NA	0.0278285634974999	0.0838493	NA	11.0	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
ALG8	2.758586659796047	0.005805191079041957	2.2361834807991734	NA	0.0058051910790419	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
ENOX2	2.749914816928237	0.005961075886752556	2.2246753494021774	NA	NA	0.00596116	NA	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
ECD	2.725050281418556	0.006429169523822502	2.191845122645725	NA	0.123719215446128	0.020643	NA	7.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
RAD51B	2.7170263151563128	0.006587137012158711	2.1813033031585105	NA	0.142842719656024	0.0174462	NA	11.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
ING1	2.7119479121397974	0.006688910279520725	2.1746446293382005	NA	0.0543741447748026	0.0559503	NA	7.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
GLIPR2	2.705015667146954	0.006830116802951334	2.1655718693135646	NA	NA	0.00682988	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
TOX2	2.694330660905949	0.007053015571577561	2.1516251573233065	NA	0.0070530155715774	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
ANKRD35	2.6913700372967484	0.00711592176560694	2.14776883531436	0.23589	0.0087710527736246	NA	3.0	11.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
FER1L5	2.6816216155770527	0.00732662781441824	2.1350958696388114	NA	0.0073266278144184	NA	NA	16.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
CTSA	2.6740322815644473	0.0074945236892333365	2.1252559633108197	NA	0.288068890152331	0.0065425	NA	3.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
PRMT2	2.6617244320344113	0.007774149496645693	2.1093471121554823	NA	0.0077741494966456	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
PLEKHG1	2.654840450975202	0.007934592741004939	2.1004753593783576	NA	0.0119600320891666	0.214535	NA	6.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
ASPDH	2.650703451132342	0.008032433335630937	2.095152870144669	NA	0.008032433335631	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
CYP2C18	2.636884802061022	0.008367124079129332	2.077423790655541	NA	0.0083671240791291	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
MMACHC	2.635344915371775	0.008405182507793305	2.075452851972637	NA	0.0084051825077931	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
RIPK2	2.618518176785385	0.008831258650151608	2.05397739541897	NA	NA	0.00883121	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
AQP6	2.612915925039084	0.008977338346068845	2.046852406423818	NA	0.008977338346069	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
NRBF2	2.608857607779324	0.009084503536973902	2.041698801657445	NA	NA	0.00908438	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
RECQL4	-2.6030315784946034	0.009240344214917153	2.0343118504406386	0.2466	0.0666666107120231	0.129515	3.0	20.0	33.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
MUC16	-2.595078624589272	0.009456928288525271	2.02424990418734	NA	0.102681619867172	0.0415497	NA	82.0	43.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
HABP2	2.5855890102685977	0.00972127688647225	2.0122766868918647	NA	0.0097212768864721	NA	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
MCMDC2	-2.564215711322576	0.010340925417547712	1.9854405941482125	NA	0.0103409254175479	NA	NA	13.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
TKTL2	2.5628049829612953	0.010383035107430733	1.983675677534157	NA	0.0103830351074306	NA	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
CPLX3	2.5623940285483773	0.010395330601555607	1.983161694293245	NA	NA	0.0103954	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
OGFOD1	2.5592811793372285	0.010488886584507048	1.979270610554644	NA	0.010488886584507	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
RTEL1-TNFRSF6B	-2.553685014478185	0.010658963325660645	1.9722850320672654	NA	0.029468492960798	0.151488	NA	16.0	23.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
CDC42BPB	2.552562529969667	0.01069337129682966	1.9708853532770159	NA	NA	0.0106933	NA	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
GJA8	2.5492507501979196	0.010795464876468586	1.966758651251193	NA	NA	0.0107956	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
RANGAP1	2.5460833133222955	0.01089391846684418	1.9628158794330144	NA	NA	0.010894	NA	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	META-GROUP1
