GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ZSCAN25	17.611738181767727	0.0001498509999999998	3.8243403545332666	NA	NA	0.000149851	NA	NA	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
TRAPPC3L	19.49868411591205	0.0006270417020061377	3.2027035750402666	NA	0.0020760267795094	0.0280984	NA	4.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
RHOT1	13.899407899260616	0.0009589189999999995	3.018218076185678	NA	NA	0.000958919	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
LONP2	21.56369818549993	0.0014521677501507233	2.8379832123158457	0.260053	0.0004014093550155	0.199	4.0	11.0	20.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
RP11-400G3.5	12.58234114487212	0.0018525900862234994	2.7322206643211024	NA	0.0018525900862235	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
NOC2L	12.201260984690983	0.002241454054256101	2.6494701589563654	NA	0.0022414540542561	NA	NA	15.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
SLC17A1	12.109251905860592	0.002346979837439001	2.6294906413458454	NA	0.002346979837439	NA	NA	12.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ZNF587B	12.039331424673557	0.0024304819393666977	2.614307601770071	NA	0.0024304819393667	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
KIF19	16.348066802240236	0.002585965437116729	2.587377284006976	NA	0.239361081394202	0.00117763	NA	10.0	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
TRAP1	11.516477329227266	0.003156666653530599	2.5007712775236506	NA	0.0031566666535306	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
LY6K	11.409262724352342	0.0033305049089436974	2.477489921885342	NA	0.0033305049089437	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
USP13	11.24997065826215	0.0036066160478188994	2.4429000892283725	NA	0.0036066160478189	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
MEI1	11.17907772486121	0.003736750623543099	2.4275058843373913	NA	0.0037367506235431	NA	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
TMEM252	11.04934212975028	0.00398718	2.3993341578058356	NA	NA	0.00398718	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
OTUD7B	11.02521544659303	0.004035570000000001	2.394095115124925	NA	NA	0.00403557	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
KIN	10.59497797669016	0.0050041436070147015	2.3006702355815083	NA	0.0050041436070147	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ALG8	10.298005496175447	0.005805191079041898	2.236183480799178	NA	0.0058051910790419	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
RRP1B	10.29113075744051	0.0058251799999999975	2.2346906502506227	NA	NA	0.00582518	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ENOX2	10.244980371941054	0.00596116	2.224669221370562	NA	NA	0.00596116	NA	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
CTSA	10.058871847119946	0.006542500000000005	2.184256268688081	NA	NA	0.0065425	NA	NA	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
FLYWCH1	14.160500883188558	0.006800034629124047	2.1674888756468236	NA	0.0698803743089678	0.0120429	NA	14.0	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
GLIPR2	9.97289635019981	0.006829879999999997	2.165586926742429	NA	NA	0.00682988	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
FER1L5	9.832479843086926	0.007326627814418405	2.1350958696388016	NA	0.0073266278144184	NA	NA	16.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
SULT1E1	9.760796268004938	0.00759399	2.1195299790881994	NA	NA	0.00759399	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
PRMT2	9.71390243279853	0.007774149496645596	2.1093471121554876	NA	0.0077741494966456	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
YJEFN3	9.666215420097965	0.00796174	2.0989920089183345	NA	NA	0.00796174	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ASPDH	9.648535532677593	0.008032433335630997	2.095152870144666	NA	0.008032433335631	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ACSL6	13.691589913558836	0.008347299189454548	2.078454019947842	NA	0.222139196080391	0.00478943	NA	4.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
CYP2C18	9.56689010438932	0.008367124079129101	2.077423790655553	NA	0.0083671240791291	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
MMACHC	9.557813596328392	0.008405182507793105	2.0754528519726474	NA	0.0084051825077931	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ANKRD35	9.472596874400011	0.008771052773624593	2.056948275922958	NA	0.0087710527736246	NA	NA	11.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
RIPK2	9.458926481823658	0.008831209999999996	2.053979787892277	NA	NA	0.00883121	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
ZNF335	13.50630344066063	0.00904944104606598	2.043378244894905	NA	0.0167028976178324	0.0698798	NA	13.0	30.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
NRBF2	9.402397647643175	0.009084380000000001	2.0417047075157733	NA	NA	0.00908438	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
HABP2	9.26687660443334	0.009721276886472091	2.012276686891872	NA	0.0097212768864721	NA	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
MCMDC2	9.143291830221793	0.010340925417547905	1.9854405941482045	NA	0.0103409254175479	NA	NA	13.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
TKTL2	9.135164088850052	0.0103830351074306	1.9836756775341626	NA	0.0103830351074306	NA	NA	9.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
CPLX3	9.132783756748037	0.010395400000000003	1.983158794985661	NA	NA	0.0103954	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
OGFOD1	9.114878005728704	0.010488886584506993	1.9792706105546465	NA	0.010488886584507	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	META-GROUP1
