GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
B3GNT3	38.48371407081465	4.399138830990523e-09	8.356632332048665	NA	4.39913883099052e-09	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
AUNIP	42.03485100546311	1.6406449871452334e-08	7.784985384092457	NA	0.0238345148633997	3.12638e-08	NA	8.0	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CAPN10	35.537312498625305	3.602498596644737e-07	6.443396179693589	NA	0.0051155550562002	3.75213e-06	NA	6.0	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
FAM98A	23.41446657613226	8.234044023613935e-06	5.084386815361183	NA	8.23404402361394e-06	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
PI3	23.050032496208058	9.879820166869288e-06	5.005250960396898	NA	9.87982016686928e-06	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CD44	26.757474006887403	2.22540512986506e-05	4.652590915178049	NA	0.287773360735832	5.37821e-06	NA	5.0	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
KAT8	20.82816458135444	3.0006927368431095e-05	4.522778472927493	NA	3.00069273684311e-05	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TOX2	20.2540079624492	3.9985087685434615e-05	4.398101947258106	NA	3.99850876854346e-05	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CNOT8	18.805777682406575	8.248543371824894e-05	4.08362273768425	NA	8.2485433718249e-05	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
RSG1	17.811134864653734	0.00013563170022260005	3.8676387940768695	NA	0.0001356317002226	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
USB1	17.549587167003757	0.00015458080579420003	3.810844433154927	NA	0.0001545808057942	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
RHOT1	22.494156624243946	0.00015976750252903632	3.796511553605205	NA	0.0424667355346666	0.00030719	NA	3.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
LY6K	17.26741502025824	0.00017800347059650017	3.7495715300157406	NA	0.0001780034705965	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
PLEKHG1	22.066044757053135	0.00019444374932109533	3.7112060133238702	NA	0.0016655134497716	0.00970222	NA	6.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
RBMXL1	16.985990375137014	0.00020489863027900026	3.688460944791876	NA	0.000204898630279	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
MRPL20	16.80610019121838	0.00022418250225779998	3.6493982876796642	NA	0.0002241825022578	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
BACH1	21.207991490376987	0.00028797230501430873	3.540649277372067	NA	3.3607498036492e-05	0.738426	NA	2.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
FMNL1	16.163569999510834	0.00030911876574339967	3.509874629322251	NA	0.0003091187657434	NA	NA	4.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
GPR26	16.024004999515487	0.00033146030478130013	3.479568474639848	NA	0.0003314603047813	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
PCSK7	15.81829540441494	0.0003673675537581002	3.434899203626488	NA	0.0003673675537581	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
USP13	15.719063607985262	0.00038605457827780004	3.4133512928171097	NA	0.0003860545782778	NA	NA	6.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SLC36A3	20.529722805746523	0.0003924218564521472	3.4062468120152847	0.0248414	0.0014023333655381	NA	2.0	10.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ARHGAP42	15.513260765127391	0.00042789600000000004	3.368661773310522	NA	NA	0.000427896	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ZDHHC18	15.489780525528271	0.0004329491545821001	3.3635631040646903	NA	0.0004329491545821	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
RGMB	15.346782870571486	0.0004650380000000002	3.3325115578282714	NA	NA	0.000465038	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ENOX2	15.147574835101583	0.0005137429999999996	3.2892540825505887	NA	NA	0.000513743	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ANGEL2	19.91968691098623	0.0005179636679107058	3.2857007023769276	NA	0.0042122082193673	0.0112198	NA	2.0	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
PHF19	15.01890524198288	0.0005478809051566995	3.2613138354104945	NA	0.0005478809051567	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SLC6A12	14.94506351972606	0.0005684872003157997	3.2452793091553094	NA	0.0005684872003158	NA	NA	3.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ZNF587B	14.86253550373046	0.0005924359738153	3.227358578180653	NA	0.0005924359738153	NA	NA	7.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TMEM38B	14.368810195638975	0.0007583200000000004	3.1201474897405954	NA	NA	0.00075832	NA	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
VAC14	14.309519259297074	0.0007811372950561998	3.1072726265005137	NA	0.0007811372950562	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
DNAJC6	14.243111697464304	0.0008075094107691002	3.0928524076702026	NA	0.0008075094107691	NA	NA	2.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ULK4	18.900653853673944	0.0008220628844660164	3.085094959428325	NA	0.368435111311404	0.000213508	NA	17.0	12.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TRMT10A	18.81223205113028	0.0008555873952811854	3.0677356221839016	NA	0.469440386688036	0.000175144	NA	10.0	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
