GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	70.59870984100344	3.081642368794255e-13	12.511217763499271	1.21058e-05	1.23743257136136e-07	0.000312011	17.0	18.0	32.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
EEA1	33.0893019730281	1.0079000136200533e-05	4.996582548929055	0.605938	0.0384040900142764	2.80507e-06	27.0	84.0	50.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
GDF9	26.718502384391492	0.00016348794167870634	3.7865142739243116	0.0929277	3.66034020865596e-05	0.463964	9.0	44.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
IDUA	26.285762993529147	0.0001969385485037986	3.705669267285407	0.336791	0.0206656637346275	0.00028152	95.0	53.0	144.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
RNF114	26.187964386261235	0.00020538753356219935	3.687425920375804	0.168915	0.0002560120421331	0.0475803	9.0	23.0	14.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
LSR	25.646720855051534	0.000259029630929718	3.586650553242253	0.050274	0.0172658535488151	0.00310709	25.0	72.0	44.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
RP11-548K23.11	15.466122116689498	0.00043810100973390025	3.358425745860045	NA	0.0004381010097339	NA	NA	29.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
DLEU7	24.4122931435827	0.0004384733522953522	3.358056795234641	0.00979373	0.080086249114731	0.00637429	6.0	13.0	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
FAM187A	24.273724777603903	0.0004650398856302764	3.332509796859999	0.701053	0.253760897150623	3.01198e-05	14.0	59.0	25.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
KIF9	24.118299671554016	0.0004967257912973213	3.303883289718266	0.52083	0.939718819171644	1.18327e-05	27.0	83.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
USE1	23.826742464559253	0.0005619976453926216	3.2502655039952337	0.00130682	0.0398482304923067	0.128666	8.0	29.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
CAMP	23.80657445902004	0.000566812511350054	3.246560572061979	0.00960337	0.0339295897742974	0.0207714	6.0	13.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
SEZ6L2	23.654560156846557	0.0006044329860996889	3.2186518426616604	0.0199365	0.0004490051230869	0.815788	16.0	91.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
JADE1	23.571039335063382	0.0006261368344653368	3.203330746726793	0.040478	0.0889739982379418	0.00211413	8.0	44.0	26.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
DLEU7-AS1	19.362990921339552	0.0006668252018853099	3.1759879948774854	0.00979373	NA	0.00637429	6.0	NA	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
L3HYPDH	23.267791651838714	0.0007115742463967697	3.1477797784776143	0.50077	0.0023593356577296	0.00749955	10.0	35.0	25.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
PXYLP1	22.947636526839332	0.0008142075115126146	3.08926489533241	0.00024196	0.528710946024492	0.0812872	12.0	37.0	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
STK38L	22.905706412672945	0.0008286828898391995	3.081611628122794	0.36156	0.0001667716361832	0.176111	2.0	11.0	8.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
AGAP14P	13.795966363666869	0.0010098199999999994	2.995756032131696	NA	NA	0.00100982	NA	NA	32.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
ARHGEF38	22.377879113606383	0.0010339999287325274	2.985479491175414	0.00754437	0.0050759503929035	0.361048	15.0	59.0	40.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
CCDC103	22.238183146803546	0.0010962180651769733	2.9601030452285806	0.574354	0.693451666494161	3.72258e-05	19.0	21.0	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
SNX27	21.930433482450823	0.0012465249328874643	2.9042990303514227	0.00239329	0.189380339023877	0.0381537	9.0	26.0	26.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
DCDC2C	21.804296073774648	0.001313811092501781	2.8814670757062135	3.77936e-05	0.675108215684952	0.721881	10.0	18.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
CTBP2	21.62994088937425	0.0014127110529052623	2.8499466569491845	0.104402	0.0099460280272843	0.0193535	47.0	160.0	78.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
DCAF1	21.509652248847793	0.0014851575221102118	2.8282274807877554	0.616782	0.0002538026319691	0.136336	10.0	66.0	25.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
CACNA1D	21.447534026338687	0.001523981918989519	2.817020185574936	0.105906	0.0022319446386079	0.0931372	32.0	138.0	86.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
NUP210	21.171644431529863	0.0017087675060440952	2.767317023125274	0.0708268	0.0149254576408459	0.0239062	59.0	199.0	119.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
TMEM9B	21.040529863724686	0.0018041058306108681	2.74373798990815	0.953191	0.0010257315461657	0.027599	2.0	18.0	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
LRRK2	21.000688281578064	0.0018340936232870537	2.736578499069946	0.0024996	0.0502074479199019	0.219341	56.0	179.0	120.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
PURG	20.859556305051655	0.0019442952421800104	2.7112377865734167	0.996731	0.208519795514343	0.000142128	4.0	19.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
SNTG2	20.818831308497124	0.0019772815891613976	2.7039314774184673	0.00193601	0.891736807832346	0.0174624	24.0	61.0	43.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
NPR3	20.795524661011417	0.0019964050484541167	2.699751340572599	0.00284448	0.400584031011868	0.0267678	7.0	33.0	21.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
PANK4	20.788040661985804	0.0020025840615318247	2.6984092446853363	0.0674404	0.0008613712803947	0.527016	25.0	60.0	47.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
RPL5	20.52955176911918	0.0022278638301126068	2.652111357321446	0.0396723	0.0031348327411833	0.280132	2.0	8.0	10.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
SQSTM1	20.38129038083554	0.002368064189970316	2.625606529579156	0.00245492	0.0287300902708776	0.531967	27.0	57.0	46.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
NTNG1	20.341440455035897	0.0024071943395593993	2.6184888464963776	0.0137941	0.295275818901885	0.00939704	8.0	29.0	20.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
PSG7	20.2861104218212	0.002462574041830134	2.6086107027695027	0.00637805	0.872611611146686	0.00706998	22.0	89.0	48.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
MYEF2	20.057733819347302	0.002704618953429659	2.567893912841985	0.0242966	0.0293281787746375	0.0618996	17.0	28.0	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
ANKRD55	19.92849234977547	0.0028517282926558717	2.544891855615939	0.00061376	0.174651055325589	0.438948	17.0	58.0	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
C2CD6	16.0161839285157	0.0029975239421053744	2.5232373393774963	0.714942	NA	0.000465435	33.0	NA	80.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
KIAA0922	11.596097681612497	0.0030334677533859	2.5180606173676994	NA	0.0030334677533859	NA	NA	148.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
KIFBP	15.836868778933825	0.0032460578920626357	2.4886437389832476	0.605838	NA	0.000600774	7.0	NA	25.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
ATP9B	19.600491260386335	0.003261009081939981	2.486647991678273	0.000696999	0.236544553901767	0.33625	43.0	104.0	87.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
CCDC159	19.578140956535186	0.0032908929931146184	2.4826862390229736	0.00615542	0.0739840170564914	0.123102	14.0	21.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
RNF167	19.572909736758238	0.00329792596031798	2.4817590986570206	0.00498826	0.0298384653408571	0.377634	15.0	35.0	28.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
HSPA1L	19.511033274593885	0.0033822337378611664	2.47079638267688	0.0247139	0.0913506985527003	0.0256791	15.0	45.0	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
C3orf33	19.456941012767203	0.0034576534477157154	2.4612185371716735	0.694451	0.0010562841668917	0.0812001	18.0	34.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
CSMD3	19.421862711363737	0.0035074357848801836	2.4550102714122133	0.0134026	0.0681227143904623	0.0663919	66.0	246.0	158.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
SPG11	19.387600328739754	0.0035567341114901823	2.4489485998771134	0.6566	0.0001369826802584	0.685598	67.0	236.0	131.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
NCAM1	19.378289276271147	0.003570247540440803	2.447301671361057	0.103627	0.432055904100879	0.00138371	23.0	83.0	52.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
HEPACAM	19.37645008700756	0.003572922724919821	2.446976376605796	0.0425882	0.0586174522177196	0.0248394	15.0	21.0	27.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
HP1BP3	19.23782493736018	0.003780279849056197	2.422476048733633	0.0565662	0.0949709014342828	0.0123712	6.0	37.0	17.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
TRPC1	19.17221919385172	0.003882455103698301	2.4108935577059905	0.463882	0.0016785862945577	0.0881971	7.0	31.0	21.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
CENPF	19.157843753102068	0.003905200165317599	2.4083567009761815	0.137671	0.191548919272409	0.00262304	75.0	251.0	136.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
TSPAN8	19.134697047443712	0.00394209616268137	2.40427278583727	0.60225	0.483966289173501	0.000240083	4.0	19.0	8.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
IFNGR1	19.080685037800578	0.004029516473254501	2.394747064428643	0.0325564	0.602737176220617	0.00366368	11.0	38.0	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
CFI	19.076792092199977	0.004035889742517616	2.394060706872754	0.921043	0.111903928670775	0.000698879	17.0	57.0	46.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
NIPA2	19.032942721742195	0.0041083581297185244	2.3863317055369437	0.129733	0.103614211177783	0.00547746	5.0	23.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
MARC1	10.968884176080724	0.004150850242387498	2.381862935153878	NA	0.0041508502423875	NA	NA	27.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
CELA3A	19.002224454003493	0.004159877929679758	2.3809194134223737	0.0544035	0.0040656222435038	0.338038	6.0	29.0	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
ANKRD54	18.991643462213535	0.0041777692309769585	2.3790555529821447	0.0491474	0.731115403505772	0.00209185	4.0	18.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
EFCAB10	18.93880742395489	0.00426823566801853	2.369751609281687	0.00115768	0.380656897249929	0.175133	7.0	18.0	6.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
TROVE2	10.840360221963163	0.004426349341907098	2.3539543131210556	NA	0.0044263493419071	NA	NA	41.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
NPRL3	18.818965013179675	0.004480552358338283	2.3486684432805904	0.403092	0.000393097715537	0.517141	28.0	68.0	46.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
FIBCD1	18.796380796216276	0.004521697852164176	2.344698461345355	0.387823	0.0313222820376724	0.0068223	27.0	79.0	46.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
ARHGAP24	18.78477245465685	0.004542989481855025	2.342658268683417	0.109242	0.007049544614187	0.10824	17.0	67.0	44.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
PROK2	18.725846078232166	0.004652582759986955	2.3323058929127276	0.0553272	0.190309970760473	0.00815331	4.0	12.0	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
NDRG2	18.722704217586823	0.004658497726684163	2.33175411210781	0.0407618	0.0163809192229125	0.128773	41.0	50.0	71.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
XPNPEP1	18.722689594128514	0.0046585252743588535	2.3317515439477643	0.556854	0.0003202538026636	0.482152	6.0	49.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
STEAP1	18.624751828334166	0.004846617478201658	2.314561255841897	0.379693	0.007836350341726	0.0303487	3.0	21.0	9.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
AQR	18.604123399406436	0.004887165846480831	2.3109429228933864	0.00427104	0.0444024432361274	0.481089	18.0	97.0	43.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	2	META-GROUP2
