GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
CAPN10	3.950081071321536	7.812472660793461e-05	4.107211489428645	NA	0.0111847897236652	0.00229306	NA	6.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
B3GNT3	3.505879203534955	0.00045510171254698807	3.3418915302411185	NA	0.0004551017125469	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ANGEL2	3.4159081523932353	0.0006356968442059248	3.196749944535179	NA	0.0095470924663894	0.0251551	NA	2.0	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ULK4	3.1207037974924154	0.0018041940869122745	2.743716744875543	NA	0.253991440943902	0.00106552	NA	17.0	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
RP11-400G3.5	3.1128996324130664	0.001852590086223532	2.732220664321095	NA	0.0018525900862235	NA	NA	10.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
NOC2L	3.056221764227844	0.0022414540542561086	2.6494701589563636	NA	0.0022414540542561	NA	NA	15.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SLC17A1	-3.042402310276703	0.002346979837439067	2.629490641345833	NA	0.002346979837439	NA	NA	12.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ZNF587B	3.0318646066294477	0.002430481939366744	2.6143076017700624	NA	0.0024304819393667	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
SPINK4	2.9538173935838454	0.003138696669075228	2.503250653497855	NA	0.0031386966690752	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
LY6K	2.9354628482829033	0.0033305049089437312	2.4774899218853377	NA	0.0033305049089437	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
USP13	2.910664026056153	0.00360661604781899	2.442900089228362	NA	0.0036066160478189	NA	NA	6.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
KIN	2.806766914058083	0.005004143607014746	2.3006702355815043	NA	0.0050041436070147	NA	NA	8.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ANKDD1A	2.7777023811908306	0.005474473615392054	2.2616576330030513	NA	0.112584046760054	0.0192026	NA	8.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
DNAJC6	2.762468164908859	0.005736615582387806	2.241344251745827	NA	0.0057366155823877	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
OXLD1	2.712553994504623	0.00667669030314944	2.175438767955911	NA	0.0066766903031494	NA	NA	2.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TOX2	2.694330660905949	0.007053015571577561	2.1516251573233065	NA	0.0070530155715774	NA	NA	3.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ANKRD35	2.691370037296749	0.007115921765606934	2.14776883531436	0.23589	0.0087710527736246	NA	3.0	11.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
FER1L5	2.6816216155770527	0.00732662781441824	2.1350958696388114	NA	0.0073266278144184	NA	NA	16.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ALMS1	2.667533882028216	0.007641018426414943	2.1168487530086892	NA	0.0579063499404486	0.0606473	NA	22.0	19.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
TRAPPC3L	2.6648806721576417	0.007701564539519898	2.113421040819758	0.598795	0.0020760267795094	0.312286	3.0	4.0	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
PRMT2	2.6617244320344113	0.007774149496645693	2.1093471121554823	NA	0.0077741494966456	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
ASPDH	2.650703451132342	0.008032433335630937	2.095152870144669	NA	0.008032433335631	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
CYP2C18	2.636884802061022	0.008367124079129332	2.077423790655541	NA	0.0083671240791291	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	2	META-GROUP2
