GENE	TEST_STAT	META_PVAL	-log10	GNE_PVAL	UKB_CASE_PVAL	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
AUNIP	42.16563643690165	1.5413557333370727e-08	7.812097117805894	0.0229353327748248	3.04329e-08	46.0	24.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
LRRK2	32.47630187566846	1.5288023107578334e-06	5.815648669524068	1.69712117903398e-06	0.0522574	197.0	124.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
GBA	32.23443586662486	1.7132248612922493e-06	5.766185632008543	0.0882048525585825	1.13472e-06	19.0	35.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
KIF9	31.741752608671696	2.160248137076082e-06	5.665496360713204	0.825543951865936	1.55105e-07	93.0	55.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
FIBCD1	29.12749051243589	7.36478228880464e-06	5.132840086861852	0.0285224169669634	1.65905e-05	95.0	60.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
DCAF15	27.254713603171776	1.7655498866008747e-05	4.7531200066936945	0.0124700556852674	9.67934e-05	42.0	31.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PPP3CA	27.252935521062174	1.767012826484398e-05	4.752760298002473	0.0138825002515574	8.70227e-05	27.0	17.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CSNK1A1P1	20.138361854043588	4.23653e-05	4.372989713891035	NA	4.23653e-05	NA	5.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
GPC1	25.00288375905649	5.024269504174624e-05	4.298927072886171	0.153336121241537	2.42688e-05	80.0	57.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
SLC6A14	24.508842256670164	6.314417453422719e-05	4.199666709785438	0.723939731220088	6.58067e-06	15.0	10.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CENPX	19.00156984645614	7.479310000000006e-05	4.126138465907561	NA	7.47931e-05	NA	18.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PURG	24.123348112919523	7.54536680070894e-05	4.122319643144614	0.380656089821375	1.51757e-05	20.0	13.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
FAH	24.057263163398403	7.779120210415488e-05	4.109069517324878	0.0234574477728149	0.000254537	35.0	35.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ADI1	23.3695118249968	0.00010682111319892078	3.971342900495046	0.0029326491879683	0.00287154	38.0	26.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
ADH5	23.066718781245847	0.00012279852547470696	3.910806848032334	0.0340767053500921	0.00028752	34.0	26.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
DIAPH2	22.889962037401666	0.00013319935954406037	3.8754978633575283	0.0001749680565859	0.0611715	12.0	30.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
FAM50A	17.69769610051434	0.00014354699999999992	3.8430058794270376	NA	0.000143547	NA	6.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
RAP1A	22.667114185782378	0.00014756625060030525	3.8310129572421445	0.0973563941555602	0.000122895	9.0	9.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
DEFB108B	22.65838707167825	0.00014815913468900076	3.829271567115229	0.247883815755144	4.84781e-05	10.0	11.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
STK38L	22.269659467486527	0.00017710816228547896	3.7517614232601932	5.73359047494337e-05	0.254553	12.0	10.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
GDI1	17.160755925240423	0.00018775400000000018	3.726410801810224	NA	0.000187754	NA	6.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
IL17D	21.94675468877207	0.00020537115289731607	3.6874605588757654	0.149698601766474	0.000114579	5.0	16.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
KDM4C	21.68565818256052	0.0002314592914320723	3.635525380719648	0.156003357793541	0.000125281	101.0	52.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CETN3	21.500442810323207	0.00025193251051046145	3.5987157855615948	0.0235940157538969	0.000908733	18.0	14.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
PACRG-AS1	16.55948889799394	0.00025360199999999985	3.5958473257684647	NA	0.000253602	NA	4.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
JADE1	21.43912095297405	0.00025909877584571594	3.586534638904204	0.102239804963478	0.000216239	43.0	26.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
CYTL1	21.377098249618946	0.0002665524643092715	3.5742172980162596	0.522463261169158	4.36482e-05	12.0	7.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
OTX1	21.251543277712386	0.000282297998685052	3.5492922007164154	6.85398347239907e-05	0.354277	21.0	10.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	META-GROUP2
