GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	4.8620780357328375	1.1615980895924567e-06	5.934944110900298	0.013579	0.0214830395852572	0.000258426	15.0	16.0	30.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
DSEL	4.531373245569185	5.860149481621163e-06	5.232091305788185	0.0124232	0.030819045993025	0.00142626	22.0	77.0	61.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
DLEU7	4.076731036859296	4.567327223861598e-05	4.340337872468637	0.00979373	0.080086249114731	0.00637429	6.0	13.0	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
TMEM9B	3.879406844702913	0.00010471149222092321	3.9800056513274904	NA	0.0010257315461657	0.027599	NA	18.0	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
DLEU7-AS1	3.755387144317494	0.0001730737367217323	3.761768829653161	0.00979373	NA	0.00637429	6.0	NA	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
PSG7	3.7318384702863043	0.0001900873822909939	3.7210467099797015	0.00637805	0.297172683720856	0.00706998	22.0	85.0	48.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
NOCT	3.654097414783522	0.00025808827245031325	3.588231729380313	0.0804903	0.0043972735851805	0.0830815	8.0	25.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
ELN	3.636731619078935	0.0002761193598130274	3.5589031422009847	0.0874368	0.0265463098548336	0.0177015	29.0	73.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
STK38L	3.6186137755105645	0.00029618528115255276	3.5284365274253973	NA	0.0001667716361832	0.176111	NA	11.0	8.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
TAAR6	3.5981346257469387	0.0003205077134555873	3.494161514129914	0.0185719	0.0380615570903069	0.0712393	13.0	39.0	25.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
NOP53	3.5936567949327847	0.0003260692790467861	3.4866901167688735	0.0125628	NA	0.00970228	28.0	NA	47.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
KIF9	3.590202696172603	0.00033042091461357796	3.48093247099513	0.484807	0.575329793399795	7.06372e-07	25.0	82.0	48.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
EP400	3.5676404832960804	0.0003602102665904804	3.443443913226501	0.062221	0.0963055962457143	0.00801166	62.0	295.0	175.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
MAP3K6	-3.4545037212075353	0.0005513066079907805	3.258606802012417	0.0506422	0.0362091526394876	0.0530755	36.0	111.0	73.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
BOLA1	3.4134482624362805	0.0006414633689398719	3.192828139166694	0.180798	0.0013173145056984	0.173267	3.0	15.0	8.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
KCNK4	3.392344778767271	0.0006929718256154755	3.159284422283529	0.0113577	0.124818449512028	0.0703953	14.0	45.0	28.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
ERCC8	-3.366541822682782	0.0007611703912596376	3.1185181136622786	0.0630826	0.0353188936519581	0.0617995	9.0	34.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
NPBWR1	3.304275050143399	0.0009522235949644469	3.021261061429138	0.193221	0.187699294744022	0.00190503	4.0	29.0	22.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
FAM186B	3.2965918153750455	0.000978656205345205	3.009369845831011	0.0301275	0.0013922024979948	0.729948	29.0	81.0	48.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	META-GROUP2
