GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	75.3411823847627	3.265066740238263e-14	13.486107937016484	1.05348e-05	1.31750719223334e-08	0.000314406	17.0	18.0	32.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
LRRK2	39.00097178603059	7.154462945449525e-07	6.14542296128669	1.96111e-07	0.0465795758379102	0.371834	56.0	179.0	120.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
SLC6A14	27.39699940655811	1.652304845527301e-05	4.781909823531043	NA	0.695630314370337	1.61599e-06	NA	14.0	8.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
EEA1	31.057496665214344	2.471650073737717e-05	4.60701301489471	0.710964	0.0459940953463497	5.51316e-06	27.0	84.0	50.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
CSNK1A1P1	20.138361854043588	4.23653e-05	4.372989713891035	NA	NA	4.23653e-05	NA	NA	5.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
RPUSD1	29.226865879203892	5.510758567134372e-05	4.258788615513837	1.28091e-05	0.039381052741897	0.892608	31.0	78.0	40.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
STK38L	24.65431190455271	5.9036645436835836e-05	4.228878327839173	NA	2.68194825381318e-05	0.165171	NA	11.0	8.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
SBF2-AS1	23.860393402503355	8.518959160918192e-05	4.069613463717221	0.474985	NA	1.38708e-05	4.0	NA	26.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
TMEM9B	23.474322924374455	0.00010178603520059442	3.9923118020714026	NA	0.0007428552363274	0.0107575	NA	18.0	5.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
OTX1	23.323788973156294	0.0001090943517727082	3.9621977338978605	NA	4.3116439240265e-05	0.19983	NA	20.0	8.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
PXYLP1	27.552349098903115	0.00011406752454236743	3.9428379832730673	9.52418e-05	0.0684545882222868	0.159534	12.0	37.0	29.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
RAP1A	23.142527137127708	0.00011858862003935975	3.9259569845909486	NA	0.0920448597787588	0.000102486	NA	6.0	7.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
GDF9	27.443806788010416	0.00011955017244842447	3.9224497930877704	0.112354	2.05142388890467e-05	0.476441	9.0	44.0	24.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
RAP1GDS1	26.724661558904806	0.0001630548207383205	3.7876663566918056	0.000804792	0.443022133046199	0.0044127	17.0	33.0	32.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
GDI1	17.160755925240423	0.00018775400000000018	3.726410801810224	NA	NA	0.000187754	NA	NA	6.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
S100B	17.15837124651689	0.00018797799999999994	3.725892975404853	NA	NA	0.000187978	NA	NA	4.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
KIF9	25.663619383940148	0.00025716269157527536	3.589792037374023	0.533954	1.0	5.00855e-06	27.0	83.0	49.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
FAH	25.021854799937127	0.00033828769898888223	3.4707137939896673	0.70008	0.019425462937551	0.000271053	12.0	31.0	31.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
CALD1	24.522736464351787	0.00041837392253518473	3.3784353930987647	0.707166	0.258455569272961	2.5885e-05	23.0	58.0	44.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
DEFB108B	24.192486189315787	0.00048134519118944827	3.3175433625842863	0.857171	0.287570056855764	2.2639e-05	4.0	8.0	9.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
RNF114	23.953265372653387	0.0005326966503173481	3.2735200341204935	0.30628	0.000189392352175	0.108426	9.0	23.0	14.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
H3C12	14.94968884601432	0.000567174	3.246283685997306	NA	NA	0.000567174	NA	NA	5.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
RP11-548K23.11	14.889221173829226	0.0005845837006277999	3.2331532978155457	NA	0.0005845837006278	NA	NA	29.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
DIAPH2	19.517219228089374	0.0006217930201187951	3.2063541573988186	NA	0.0001749680565859	0.330317	NA	12.0	32.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
PCP4L1	19.439652315634124	0.0006440519168210737	3.191079122888441	NA	0.0045166813879624	0.0133019	NA	6.0	4.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
PI4K2A	23.503553491027255	0.0006442319256890431	3.190957756996885	0.00242412	0.0037166314197181	0.874107	7.0	17.0	20.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	4	META-GROUP2
