COHORT: META-GROUP3; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 2
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	7.478804268045933	7.500188127986661e-14	13.124927843018726	0.013579	0.0214830395852572	0.000258426	0.0112797	8.03039e-09	15.0	16.0	30.0	22.0	74.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
SEPTIN5	3.964925666854038	7.341882234676495e-05	4.134192585950302	0.71969	NA	0.239243	0.000220466	0.00693884	5.0	NA	20.0	8.0	53.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
STK38L	3.9201952954354105	8.847723965987016e-05	4.053168435080817	0.36156	0.0001667716361832	0.176111	0.135247	0.21416	2.0	11.0	8.0	6.0	33.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
SEPT5-GP1BB	3.8803062054769657	0.00010432504112390921	3.9816114354215895	0.71969	NA	0.636501	2.02636e-05	0.00764949	5.0	NA	35.0	16.0	92.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
IRX6	3.7603888809371657	0.00016964942113662228	3.770447617879162	0.151714	0.190565384718304	0.116786	0.296839	0.00225489	12.0	49.0	39.0	24.0	90.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
IPO4	-3.7164599060836214	0.00020203368405601204	3.6945762167905376	0.133618	0.775027581507583	0.074127	0.0246311	0.0127209	27.0	127.0	61.0	43.0	185.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
RBM26	3.6954815259525553	0.0002194704390736276	3.6586239675027845	0.495712	0.0818319958156027	0.0433685	0.00940593	0.22063	13.0	35.0	36.0	30.0	105.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
TRMT12	3.6267540713325945	0.0002870064073582702	3.5421084076239215	0.0331734	0.571415401452678	0.0249384	0.14095	0.0892997	10.0	41.0	17.0	18.0	58.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
P2RY10	3.59169228476866	0.0003285376381528287	3.4834148693135654	NA	NA	0.182124	0.27074	0.000153462	NA	NA	2.0	6.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
LOC101928123	3.510379837656434	0.00044746699910850116	3.3492389885794935	NA	NA	0.053319	0.0611553	0.0228794	NA	NA	5.0	2.0	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
CFAP52	-3.4942791677336666	0.0004753436797832944	3.32299227613813	0.0152275	0.0240580978725804	0.407261	0.840874	0.0356564	13.0	57.0	31.0	23.0	79.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
MET	-3.4932385005259703	0.0004772001019886	3.3212994721830005	0.0267918	0.0454807865751501	0.717779	0.477655	0.00116326	24.0	97.0	52.0	44.0	165.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
EVX1-AS	3.4765389419421835	0.0005079304593353104	3.2941957428228985	0.547258	NA	0.0263825	0.165757	0.00605665	15.0	NA	31.0	20.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	META-GROUP3
