COHORT: META-GROUP3; APPROACH: RESULTS_COMBINED_P; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	79.0508137043089	7.703168761449417e-13	12.113330587486923	0.013579	0.0214830395852572	0.000258426	0.0112797	8.03039e-09	15.0	16.0	30.0	22.0	74.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
SEPT5-GP1BB	32.92100938013811	6.363953745457589e-05	4.19627298555681	0.71969	NA	0.636501	2.02636e-05	0.00764949	5.0	NA	35.0	16.0	92.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
TREML1	36.55076994989333	6.766507022085192e-05	4.169635463148127	0.33677	0.163777802913243	0.588336	0.00675628	5.27448e-05	9.0	29.0	14.0	6.0	43.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
PAQR5	35.42378805669341	0.00010568501317741869	3.975986594109926	0.306817	0.0003663807330906	0.0726946	0.0124985	0.198907	11.0	23.0	16.0	12.0	52.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
KIF9	34.19363688661385	0.0001712535033754281	3.7663605352746403	0.484807	0.575329793399795	7.06372e-07	0.225265	0.846707	25.0	82.0	48.0	33.0	122.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
SEPTIN5	30.29919591560931	0.00018711902636992433	3.727882050942754	0.71969	NA	0.239243	0.000220466	0.00693884	5.0	NA	20.0	8.0	53.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
MTMR7	33.396005404775956	0.00023363051181426512	3.631470439610827	0.116179	0.394055232176372	0.02997	0.306931	0.000132965	22.0	68.0	46.0	32.0	139.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
APBA3	32.71083052504552	0.00030459408661766957	3.516278532300844	0.0116824	0.164675517221868	0.00134629	0.233869	0.130215	39.0	105.0	57.0	36.0	133.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
DCAF1	32.207668796819775	0.00036974139847003256	3.4321019204830705	0.616782	0.0002538026319691	0.136336	0.261	0.0182102	10.0	66.0	25.0	17.0	79.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
ADI1	31.803826961562145	0.0004317148386438444	3.3648030237773927	0.975774	0.0006536172912834	0.0041791	0.187468	0.24843	17.0	34.0	23.0	12.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
P2RY10	20.17730781362414	0.00046071473996306904	3.3365678928434357	NA	NA	NA	0.27074	0.000153462	NA	NA	NA	6.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
STK38L	27.954420705404324	0.0004829931715047315	3.3160590092045505	NA	0.0001667716361832	0.176111	0.135247	0.21416	NA	11.0	8.0	6.0	33.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
TMEM9B	26.907995288757355	0.0007333160893012285	3.134708786273875	NA	0.0010257315461657	0.027599	0.0741663	0.683706	NA	18.0	5.0	7.0	22.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP3
