GENE	TEST_STAT	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
B3GNT3	45.352529656654774	3.3584315718584285e-09	8.473863496037923	NA	4.39913883099052e-09	NA	NA	0.0322445	NA	3.0	NA	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CAPN10	43.262191699207044	7.839906381513804e-07	6.105689123314887	NA	0.0051155550562002	3.75213e-06	0.0532885	0.394394	NA	6.0	4.0	4.0	18.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
RHOT1	40.07808154907954	3.0981886296934184e-06	5.508892144245923	NA	0.0424667355346666	0.00030719	0.00156732	0.0969486	NA	3.0	2.0	2.0	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
PI3	23.050032496208058	9.879820166869288e-06	5.005250960396898	NA	9.87982016686928e-06	NA	NA	NA	NA	2.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
FAM98A	28.147796681372967	1.1641506736694438e-05	4.933990806190982	NA	8.23404402361394e-06	NA	NA	0.093793	NA	2.0	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
KAT8	20.82816458135444	3.0006927368431095e-05	4.522778472927493	NA	3.00069273684311e-05	NA	NA	NA	NA	2.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
TOX2	20.2540079624492	3.9985087685434615e-05	4.398101947258106	NA	3.99850876854346e-05	NA	NA	NA	NA	3.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
RSG1	17.811134864653734	0.00013563170022260005	3.8676387940768695	NA	0.0001356317002226	NA	NA	NA	NA	2.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
USB1	17.549587167003757	0.00015458080579420003	3.810844433154927	NA	0.0001545808057942	NA	NA	NA	NA	2.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
LOC105371046	30.568140681518198	0.00016766209610463473	3.7755651086115987	0.600885	NA	0.000350223	0.369985	0.00295728	2.0	NA	3.0	2.0	11.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
LY6K	17.26741502025824	0.00017800347059650017	3.7495715300157406	NA	0.0001780034705965	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
RBMXL1	16.985990375137014	0.00020489863027900026	3.688460944791876	NA	0.000204898630279	NA	NA	NA	NA	2.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
MRPL20	16.80610019121838	0.00022418250225779998	3.6493982876796642	NA	0.0002241825022578	NA	NA	NA	NA	3.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SOAT2	29.797019170164894	0.00022957007098620624	3.6390847314865056	NA	0.0014311231093866	0.06686	0.00657917	0.53783	NA	8.0	6.0	7.0	13.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
BPIFB3	29.187490110427365	0.00029394667330979725	3.531731450499133	0.785925	0.0338754176473832	0.00222361	NA	0.00775698	2.0	6.0	2.0	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
FMNL1	16.163569999510834	0.00030911876574339967	3.509874629322251	NA	0.0003091187657434	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
PCSK7	15.81829540441494	0.0003673675537581002	3.434899203626488	NA	0.0003673675537581	NA	NA	NA	NA	2.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CNOT8	20.614413073595216	0.00037756558557844593	3.423007597728069	NA	8.2485433718249e-05	NA	NA	0.404818	NA	2.0	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
USP13	15.719063607985262	0.00038605457827780004	3.4133512928171097	NA	0.0003860545782778	NA	NA	NA	NA	6.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SLC36A3	20.529722805746523	0.0003924218564521472	3.4062468120152847	0.0248414	0.0014023333655381	NA	NA	NA	2.0	10.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ZDHHC18	15.489780525528271	0.0004329491545821001	3.3635631040646903	NA	0.0004329491545821	NA	NA	NA	NA	3.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
RIPK2	15.314704366771297	0.00047255699999999986	3.3255457992342046	NA	NA	NA	NA	0.000472557	NA	NA	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CD44	27.85046942173948	0.0005035320069225588	3.297972918381363	NA	0.287773360735832	5.37821e-06	0.578974	1.0	NA	5.0	3.0	2.0	9.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SLC6A12	14.94506351972606	0.0005684872003157997	3.2452793091553094	NA	0.0005684872003158	NA	NA	NA	NA	3.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ZNF587B	14.86253550373046	0.0005924359738153	3.227358578180653	NA	0.0005924359738153	NA	NA	NA	NA	7.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
RUSC2	27.273893711000913	0.000633959880528848	3.197938225109191	NA	0.0871079367375202	0.444452	0.000126388	0.244321	NA	3.0	5.0	3.0	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ZSCAN25	30.685351532553014	0.0006611830342842	3.1796782987958174	0.591922	0.661018661812038	0.537487	0.0166697	6.19422e-05	3.0	3.0	2.0	2.0	16.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CST3	27.0562674576626	0.0006913420965569702	3.1603069976586147	NA	0.0068423495359991	0.543654	0.0819591	0.00437201	NA	2.0	2.0	2.0	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
VAC14	14.309519259297074	0.0007811372950561998	3.1072726265005137	NA	0.0007811372950562	NA	NA	NA	NA	2.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
PLEKHG1	22.8550891584835	0.000846494295918489	3.0723759640281365	NA	0.0016655134497716	0.00970222	NA	0.674002	NA	6.0	2.0	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SLC17A1	14.071495857064463	0.0008798598464866005	3.055586501423783	NA	0.0008798598464866	NA	NA	NA	NA	12.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
RP11-400G3.5	14.047205865049218	0.0008906108943775006	3.0503119966749352	NA	0.0008906108943775	NA	NA	NA	NA	10.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ATF6	14.02429155406529	0.0009008734394038996	3.0453362172664677	NA	0.0009008734394039	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
TMEM268	22.605345807114762	0.0009400271802424311	3.026859588891102	NA	0.247115360605928	0.00670611	NA	0.00744631	NA	3.0	2.0	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
NOC2L	13.897994134239934	0.0009595970827040997	3.0179110810120826	NA	0.0009595970827041	NA	NA	NA	NA	15.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
RMDN1	13.78267532564835	0.0010165531257841	2.9928699198965916	NA	0.0010165531257841	NA	NA	NA	NA	6.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
OR8B4	13.756065304089143	0.0010301687532595	2.9870916271333465	NA	0.0010301687532595	NA	NA	NA	NA	3.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
LRRC8D	18.389557857675722	0.0010354665205576541	2.984863938462584	NA	0.484637149722091	NA	NA	0.000209576	NA	3.0	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
TRAPPC3L	29.477225545197825	0.0010425142001835553	2.9819180207481053	0.630289	0.0004271199831334	0.229823	0.16906	0.037982	3.0	4.0	2.0	3.0	11.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
EQTN	22.330592382550293	0.0010546625304265552	2.976886483133384	NA	0.751242547502427	NA	0.383075	4.91937e-05	NA	3.0	NA	2.0	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SMIM14	13.419317265362947	0.0012190802077207007	2.9139677196280815	NA	0.0012190802077207	NA	NA	NA	NA	2.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
KLRF2	13.300231190082739	0.0012938725315722007	2.888108506945227	NA	0.0012938725315722	NA	NA	NA	NA	2.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
GALNT14	17.76665944689859	0.001370636221172893	2.863077795466486	0.0337169	0.0041131190727847	NA	NA	NA	2.0	6.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
GPR26	17.719676342812335	0.0013998804826195121	2.8539090414321535	NA	0.0003314603047813	NA	NA	0.428341	NA	2.0	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
LZIC	13.071573692999566	0.0014505871891337006	2.8384561623307114	NA	0.0014505871891337	NA	NA	NA	NA	2.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
GOLGA6C	21.467394535607852	0.0015114620674753672	2.8206027476544406	NA	NA	0.106651	0.000267359	0.76446	NA	NA	2.0	4.0	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SIRT4	12.958598892970336	0.0015348855722530006	2.8139239962073024	NA	0.001534885572253	NA	NA	NA	NA	2.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
LHX8	12.909782901008196	0.0015728099999999985	2.803323738238407	NA	NA	NA	NA	0.00157281	NA	NA	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CMYA5	24.96282536994667	0.0015772661655071387	2.8020950127857795	NA	0.0552787840340605	0.255392	0.0312694	0.00860015	NA	34.0	6.0	2.0	11.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
MISP3	12.742712955544173	0.0017098382941356004	2.767044960534956	NA	0.0017098382941356	NA	NA	NA	NA	3.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ASPDH	12.730570019871786	0.0017202511008671004	2.764408155556644	NA	0.0017202511008671	NA	NA	NA	NA	5.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
OGFOD1	12.574767222357767	0.0018596190739572993	2.73057600794393	NA	0.0018596190739573	NA	NA	NA	NA	5.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
IL6R	12.535867314343104	0.0018961426186495007	2.7221290002452734	NA	0.0018961426186495	NA	NA	NA	NA	3.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
KCNA3	17.02969656041722	0.00190743718685038	2.719549754737921	NA	0.0119574080113345	NA	NA	0.0167653	NA	3.0	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ACER3	12.49343630468085	0.0019368000000000005	2.7129152235663234	NA	NA	NA	NA	0.0019368	NA	NA	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
BACH1	24.42801817275994	0.0019419768200791075	2.7117559582446025	NA	3.3607498036492e-05	0.738426	0.659473	0.303098	NA	2.0	2.0	2.0	7.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
NRBF2	12.472991796360441	0.001956700000000001	2.7084757549919343	NA	NA	NA	NA	0.0019567	NA	NA	NA	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ANGEL2	20.837244637596847	0.0019622999598571996	2.707234605032741	NA	0.0042122082193673	0.0112198	NA	0.632055	NA	2.0	2.0	NA	10.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
AUNIP	24.300493377978828	0.0020403761723431775	2.690289756832822	NA	0.0238345148633997	0.000683722	0.324436	1.0	NA	8.0	5.0	8.0	14.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ATP6V0E1	12.321717644856003	0.0021104400000000003	2.675626990365447	NA	NA	NA	NA	0.00211044	NA	NA	NA	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
LEMD1	24.181317607119826	0.002136704179344127	2.6702556005179376	0.222267	0.274091547046816	NA	0.000128244	0.718267	2.0	4.0	NA	2.0	7.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
UTRN	20.621058322756465	0.0021454162474228555	2.6684884347514717	0.625303	0.0839166010102829	NA	NA	0.000634243	2.0	18.0	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
AMHR2	20.585771494855486	0.002176850265874061	2.662171442773829	NA	0.626610889003943	0.0042514	NA	0.0127153	NA	3.0	2.0	NA	9.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
MYLK2	12.241079836850925	0.0021972692965408986	2.6581167128407577	NA	0.0021972692965409	NA	NA	NA	NA	2.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ABAT	24.045711375643712	0.0022516920503959197	2.6474910054542526	NA	0.145971622886175	0.637277	0.122728	0.000526017	NA	2.0	2.0	2.0	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SPINK4	12.120749665151733	0.002333526042001901	2.6319873480530425	NA	0.0023335260420019	NA	NA	NA	NA	2.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ENOX2	16.532545634272157	0.002381817117752412	2.6230915878574854	NA	NA	0.000513743	NA	0.500331	NA	NA	2.0	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ARHGAP42	16.52248735241345	0.002392526567319402	2.621143230990553	NA	NA	0.000427896	NA	0.603739	NA	NA	2.0	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
BRDT	20.318647020351694	0.002429859300816345	2.6144188731704743	NA	0.333911435282822	NA	0.486788	0.000238172	NA	6.0	NA	5.0	12.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CCR5	12.030464141416754	0.0024412817488213977	2.6123820956761197	NA	0.0024412817488214	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
OTUD7B	12.01643214749854	0.0024584700000000004	2.609335086911729	NA	NA	NA	NA	0.00245847	NA	NA	NA	NA	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
DCP1B	11.95928236291949	0.0025297338448016004	2.5969251688694084	NA	0.0025297338448016	NA	NA	NA	NA	4.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CRLF3	23.659903024422672	0.0026126948312291862	2.5829113139056625	NA	0.575140331664901	0.0371215	0.000426115	0.800555	NA	3.0	3.0	3.0	9.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
WDR33	20.135009307989137	0.0026202267670898073	2.581661121110014	NA	0.156817150214077	0.299038	NA	0.000904937	NA	6.0	3.0	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
PRMT2	11.870368682065084	0.002644735176389301	2.5776178083890207	NA	0.0026447351763893	NA	NA	NA	NA	5.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
ELAVL3	11.809003675938559	0.00272714	2.5642925666176666	NA	NA	0.00272714	NA	NA	NA	NA	2.0	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
TRAF2	11.774064924617468	0.0027752000000000015	2.5567057131659965	NA	NA	NA	NA	0.0027752	NA	NA	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
RSPRY1	11.744087484433964	0.00281711	2.550196194739356	NA	NA	NA	NA	0.00281711	NA	NA	NA	NA	2.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
CYP26A1	11.74384086041478	0.0028174574049145014	2.5501426410140375	NA	0.0028174574049145	NA	NA	NA	NA	2.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
SPATA22	11.742349862136795	0.0028195586001062995	2.54981887485171	NA	0.0028195586001063	NA	NA	NA	NA	3.0	NA	NA	NA	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
RAB27B	11.667575041454063	0.002926970000000002	2.533581728847802	NA	NA	NA	NA	0.00292697	NA	NA	NA	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.01	2	META-GROUP3
