GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_CASE_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
SOAT2	3.908428183988485	9.289855318303369e-05	4.031991049725602	NA	0.0217959810802337	0.0498089	0.00736437	0.378072	NA	8.0	6.0	7.0	13.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
B3GNT3	3.7627128962512315	0.00016808011939440672	3.774483652104284	NA	0.0004551017125469	NA	NA	0.0694624	NA	3.0	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
TRAPPC3L	3.1849662598008828	0.0014477088622419012	2.8393187670301776	0.598795	0.0020760267795094	NA	0.427672	0.0486686	3.0	4.0	NA	3.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
LNPK	3.181847952005855	0.0014633862234025839	2.8346410378145843	NA	0.0538706987442293	NA	NA	0.0101133	NA	3.0	NA	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
GLIPR2	3.1806096636147028	0.0014696550315069327	2.8327845941598433	NA	NA	NA	NA	0.00146969	NA	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
PHKB	-3.1459931472039195	0.0016552388394485283	2.7811393316944986	0.038219	0.112281879679084	0.0906565	0.281883	0.544453	5.0	14.0	16.0	11.0	28.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
RP11-400G3.5	3.112899632413066	0.0018525900862235362	2.732220664321094	NA	0.0018525900862235	NA	NA	NA	NA	10.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
NOC2L	3.056221764227844	0.0022414540542561086	2.6494701589563636	NA	0.0022414540542561	NA	NA	NA	NA	15.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
SLC17A1	-3.042402310276703	0.002346979837439067	2.629490641345833	NA	0.002346979837439	NA	NA	NA	NA	12.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
CAPN10	3.0319251184535547	0.002429994771146659	2.614394660913867	NA	0.0111847897236652	0.00229306	0.104039	0.250972	NA	6.0	4.0	4.0	18.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ZNF587B	3.0318646066294477	0.002430481939366744	2.6143076017700624	NA	0.0024304819393667	NA	NA	NA	NA	7.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
FLYWCH1	2.9367584241373876	0.00331662354944501	2.479303819911573	NA	0.0698803743089678	0.407921	NA	0.0144303	NA	14.0	3.0	NA	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
LY6K	2.9354628482829033	0.0033305049089437312	2.4774899218853377	NA	0.0033305049089437	NA	NA	NA	NA	4.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
USP13	2.910664026056153	0.00360661604781899	2.442900089228362	NA	0.0036066160478189	NA	NA	NA	NA	6.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
MEI1	2.899569861415407	0.0037367506235431256	2.4275058843373882	NA	0.0037367506235431	NA	NA	NA	NA	9.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
NME3	-2.8870239483070677	0.003889046280325539	2.4101568886420983	NA	0.043064465862484	NA	NA	0.0394194	NA	5.0	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
RBL1	2.831126438613091	0.0046384380920996855	2.3336282354314783	NA	0.244680528448671	0.262794	0.0144355	0.350905	NA	15.0	6.0	4.0	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
KCNA3	2.821557982124335	0.004779099739915244	2.3206539056493662	NA	0.0599642476389752	NA	NA	0.0349244	NA	3.0	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
KIN	2.806766914058083	0.005004143607014746	2.3006702355815043	NA	0.0050041436070147	NA	NA	NA	NA	8.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
PDYN-AS1	2.7658501901072947	0.005677461014493447	2.2458458392744096	NA	NA	NA	0.0790736	0.031129	NA	NA	NA	4.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
IGFLR1	2.7608778415057946	0.0057646233848314	2.239229060829357	NA	0.181306001493002	0.145505	NA	0.0466317	NA	7.0	3.0	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ALG8	2.758586659796047	0.005805191079041957	2.2361834807991734	NA	0.0058051910790419	NA	NA	NA	NA	7.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ING1	2.6961686032346894	0.007014215341954658	2.154020905066005	NA	0.0543741447748026	0.562926	NA	0.0301918	NA	7.0	4.0	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
TOX2	2.694330660905949	0.007053015571577561	2.1516251573233065	NA	0.0070530155715774	NA	NA	NA	NA	3.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ANKRD35	2.6913700372967484	0.00711592176560694	2.14776883531436	0.23589	0.0087710527736246	NA	NA	NA	3.0	11.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ADGRF3	2.6864103492417124	0.007222432729022049	2.1413164945582652	0.41028	0.838311397136383	0.0881109	0.0671713	0.148863	3.0	13.0	6.0	5.0	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
FER1L5	2.6816216155770527	0.00732662781441824	2.1350958696388114	NA	0.0073266278144184	NA	NA	NA	NA	16.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
PRMT2	2.6617244320344113	0.007774149496645693	2.1093471121554823	NA	0.0077741494966456	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
ASPDH	2.650703451132342	0.008032433335630937	2.095152870144669	NA	0.008032433335631	NA	NA	NA	NA	5.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
CYP2C18	2.636884802061022	0.008367124079129332	2.077423790655541	NA	0.0083671240791291	NA	NA	NA	NA	7.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
AQP6	2.612915925039084	0.008977338346068845	2.046852406423818	NA	0.008977338346069	NA	NA	NA	NA	3.0	NA	NA	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
RIPK2	2.6123374362910927	0.008992544781752047	2.046117390771683	NA	NA	NA	NA	0.00899228	NA	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
OTUD7B	2.610573389580977	0.009039057483489609	2.043876851721489	NA	NA	NA	NA	0.00903904	NA	NA	NA	NA	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	META-GROUP3
