GENE	TEST_STAT	META_PVAL	UKB_ALL_CASES_PVAL	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	59.67706075876353	5.234855324295197e-11	2.15204e-10	0.0222411	0.0229765228840815	83.0	15.0	16.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LRRK2	40.69825686578015	3.3202280879800467e-07	0.000956172	0.72484	2.09752736968216e-06	393.0	53.0	176.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	26.153222312896695	2.0936300000000023e-06	2.09363e-06	NA	NA	19.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
STK38L	29.186892111435334	7.162901981886544e-06	0.0171276	NA	2.68194825381318e-05	37.0	NA	11.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TREML1	32.985204973347166	1.055478998280448e-05	2.09753e-05	0.515114	0.0063641764659611	49.0	9.0	29.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ATP1A1-AS1	21.137019936607274	2.571310000000005e-05	2.57131e-05	NA	NA	33.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAP1A	25.302399973471694	4.37345321796948e-05	3.4806e-05	NA	0.0920448597787588	19.0	NA	6.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF274	29.71313645942805	4.456425700265492e-05	3.04324e-06	0.299026	0.38799778185608	104.0	9.0	53.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS14	19.6586348789121	5.384950000000006e-05	5.38495e-05	NA	NA	17.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PSIP1	27.65060527515988	0.00010931907984544823	0.00202806	0.00102319	0.477210803967632	81.0	7.0	35.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PLEKHA1	27.337183101976862	0.00012518914552129109	0.362715	0.119543	2.67126176176635e-05	85.0	12.0	46.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LURAP1L	25.886213615054665	0.00023377465748942165	0.246177	0.000258705	0.0375688444773247	48.0	9.0	26.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MVD	25.26377594577861	0.00030510799346243086	8.8527e-05	0.0999069	0.369291682944901	130.0	27.0	69.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ADRA2B	25.090084423229577	0.0003285858312066041	0.208604	0.0680616	0.0002509184557883	100.0	9.0	57.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DCAF1	25.070225789921494	0.00033138097763235613	0.0446135	0.473686	0.0001702600650022	98.0	10.0	66.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	24.60025109759971	0.0004048116849915638	0.000909873	0.219323	0.0228064869013536	107.0	12.0	49.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EIF3C	15.61863501940369	0.0004059349999999998	0.000405935	NA	NA	7.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EIF3CL	15.61863501940369	0.0004059349999999998	0.000405935	NA	NA	7.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MRRF	24.572430347923117	0.00040962875538818537	0.000149418	0.479467	0.0644173575734297	57.0	4.0	22.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OR5K3	24.448570616867755	0.0004317686030029454	0.00074992	1.0	0.0065470462539274	73.0	14.0	30.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NOP53	20.063850646043836	0.000485111424741651	0.0023768	0.0185011	NA	131.0	28.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PHC2-AS1	19.925290751255947	0.0005166464549980577	4.71279e-05	1.0	NA	29.0	4.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
HSPB9	19.888079685807885	0.0005254556109103861	0.00067805	NA	0.0708103348502943	31.0	NA	11.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KRT6B	23.97570396313306	0.0005276594224056174	0.415968	0.00202017	0.0074010646010288	106.0	15.0	61.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RTEL1	23.84873254500492	0.0005567936194097586	0.0317673	0.068723	0.003035506125296	370.0	63.0	165.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RP11-542C16.2	14.806330919718931	0.0006093209242394003	NA	NA	0.0006093209242394	NA	NA	31.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEPTIN5	19.484136454931537	0.0006311919231518496	7.7452e-05	0.758649	NA	63.0	5.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SLC38A5	14.65218272776115	0.0006581410000000003	0.000658141	NA	NA	36.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAB32	23.433333107080962	0.0006636059168906213	0.354951	0.13206	0.0001740109878601	28.0	8.0	14.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RNF114	23.428568367396956	0.0006649410752566003	0.0479611	0.900118	0.000189392352175	39.0	6.0	23.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KNOP1	23.40069027716365	0.0006728060588531723	0.000424409	0.0195353	1.0	90.0	17.0	39.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ADORA1	23.32441009909713	0.0006947966341056325	0.022347	0.54137	0.0007119594935897	44.0	6.0	26.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ARNTL2-AS1	19.088210083441183	0.0007551923282263635	0.000910828	0.0786342	NA	57.0	12.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EFEMP1	22.98952407839547	0.0007999948717365409	0.0032566	0.339465	0.0092114681194631	75.0	4.0	35.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
STARD7-AS1	14.080259253910699	0.0008760129999999996	0.000876013	NA	NA	3.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ICAM2	22.769058975003382	0.0008776332286474444	0.0621671	0.0120001	0.0152410957222172	50.0	6.0	20.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PROSER1	22.6994172451501	0.0009036616515791874	0.00990155	0.352892	0.0033692960749752	156.0	15.0	70.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PARP15	22.587032233049595	0.0009472719473102417	0.535934	0.321527	7.22702423548993e-05	103.0	17.0	48.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
C1orf56	18.542489186647767	0.0009664351209030152	0.122486	NA	0.0007681803266279	33.0	NA	26.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OR2T8	22.45175489088441	0.0010025113485958427	0.308787	0.0166115	0.0025977389864544	59.0	5.0	5.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEPT5-GP1BB	18.4592909409179	0.00100340551766066	0.000129293	0.758649	NA	105.0	5.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NEUROD2	18.428195690280567	0.001017579066077062	0.000419614	NA	0.237420481038472	42.0	NA	12.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PHC2	22.373422716059565	0.0010359301384522135	0.00328712	1.0	0.0042155808965778	118.0	17.0	75.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
VPS37B	22.23936345219012	0.0010956773011395848	3.72967e-05	0.4322	0.919238945803265	75.0	7.0	32.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ALOX15B	22.239297106846212	0.0010957076907173156	0.000563821	0.753344	0.034886982818131	125.0	20.0	56.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MAOA	13.628038128968612	0.001098270000000001	0.00109827	NA	NA	30.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OTX1	21.816311973424728	0.0013072509566903628	0.677283	0.626953	4.3116439240265e-05	43.0	3.0	20.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
BOLA1	21.79595859502963	0.0013183819272369894	0.327456	0.113146	0.0004992011413238	27.0	3.0	15.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ADGB	21.741274487357636	0.001348749953695904	0.00272044	0.105863	0.0660022713608067	268.0	50.0	149.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF534	21.739454386721732	0.0013497724197859343	0.000938997	0.271112	0.0747350818633249	116.0	17.0	65.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CREBZF	21.71227975263846	0.0013651287709150525	0.000690736	0.165015	0.169200967455268	60.0	4.0	26.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EVX1-AS	17.65157356270506	0.0014433672208299124	0.000191522	0.766992	NA	82.0	15.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LOC101928123	12.984996536823006	0.0015147600000000004	0.00151476	NA	NA	12.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CFAP52	21.429973547103785	0.0015351364192773883	0.0522304	0.0208023	0.0204411659244971	93.0	13.0	57.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF56	17.514097702887714	0.0015352548763210745	0.659567	0.000238563	NA	54.0	21.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MAPK8	21.379313049864024	0.001567766165279945	0.387509	0.0183975	0.0031952184305618	40.0	3.0	17.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ERLIN2	21.373770144966137	0.0015713772310087658	0.118713	0.269857	0.0007130382310505	39.0	3.0	22.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
COLCA1	12.900103979398487	0.0015804399999999998	0.00158044	NA	NA	8.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZBTB43	21.29176660926052	0.0016257616864205492	0.82483	0.125096	0.0002306448460122	53.0	6.0	31.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KRTAP21-3	21.284834033075853	0.0016304429285531046	0.0130973	0.0134398	0.135669565556245	10.0	4.0	11.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DIAPH2	17.301814268993876	0.0016886004656139263	1.0	NA	0.0001749680565859	105.0	NA	12.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS20	17.197103961215117	0.0017697097500530819	0.000246603	NA	0.74764936165867	16.0	NA	5.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RRS1	21.008630842608532	0.001828076787167256	0.298139	0.108528	0.0008473701987544	67.0	9.0	34.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LOC101927550	12.577930664816588	0.0018566799999999994	0.00185668	NA	NA	13.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ITPA	20.900695325774954	0.0019115201938235383	0.175108	0.0397735	0.004155008135262	35.0	8.0	16.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GDF9	20.87232709849402	0.0019340624848410565	0.725489	0.0709472	0.0005702504886185	66.0	7.0	43.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RIPOR2	16.974555414324435	0.0019550764239192053	0.119328	0.00172695	NA	160.0	28.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPL13A	20.840677694140773	0.0019595190288345657	0.00848851	0.136077	0.0258159522095903	51.0	6.0	11.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
