GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
AUNIP	42.16563643690165	1.5413557333370727e-08	3.04329e-08	NA	0.0229353327748248	24.0	NA	46.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LRRK2	32.47630187566846	1.5288023107578334e-06	0.0522574	NA	1.69712117903398e-06	124.0	NA	197.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GBA	32.23443586662486	1.7132248612922493e-06	1.13472e-06	NA	0.0882048525585825	35.0	NA	19.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
KIF9	31.741752608671693	2.160248137076089e-06	1.55105e-07	NA	0.825543951865936	55.0	NA	93.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
FIBCD1	29.12749051243589	7.36478228880464e-06	1.65905e-05	NA	0.0285224169669634	60.0	NA	95.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DCAF15	27.254713603171776	1.7655498866008747e-05	9.67934e-05	NA	0.0124700556852674	31.0	NA	42.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PPP3CA	27.252935521062174	1.767012826484398e-05	8.70227e-05	NA	0.0138825002515574	17.0	NA	27.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CSNK1A1P1	20.138361854043588	4.23653e-05	4.23653e-05	NA	NA	5.0	NA	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GPC1	25.002883759056488	5.0242695041746336e-05	2.42688e-05	NA	0.153336121241537	57.0	NA	80.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SLC6A14	24.508842256670164	6.314417453422719e-05	6.58067e-06	NA	0.723939731220088	10.0	NA	15.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CENPX	19.001569846456142	7.479309999999993e-05	7.47931e-05	NA	NA	18.0	NA	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PURG	24.123348112919523	7.54536680070894e-05	1.51757e-05	NA	0.380656089821375	13.0	NA	20.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
FAH	24.057263163398403	7.779120210415488e-05	0.000254537	NA	0.0234574477728149	35.0	NA	35.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ADI1	23.3695118249968	0.00010682111319892078	0.00287154	NA	0.0029326491879683	26.0	NA	38.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ADH5	23.066718781245847	0.00012279852547470696	0.00028752	NA	0.0340767053500921	26.0	NA	34.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DIAPH2	22.889962037401666	0.00013319935954406037	0.0611715	NA	0.0001749680565859	30.0	NA	12.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
FAM50A	17.69769610051434	0.00014354699999999992	0.000143547	NA	NA	6.0	NA	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RAP1A	22.667114185782378	0.00014756625060030525	0.000122895	NA	0.0973563941555602	9.0	NA	9.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DEFB108B	22.65838707167825	0.00014815913468900076	4.84781e-05	NA	0.247883815755144	11.0	NA	10.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
STK38L	22.26965946748653	0.0001771081622854786	0.254553	NA	5.73359047494337e-05	10.0	NA	12.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GDI1	17.160755925240426	0.00018775399999999996	0.000187754	NA	NA	6.0	NA	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
IL17D	21.94675468877207	0.00020537115289731607	0.000114579	NA	0.149698601766474	16.0	NA	5.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
KDM4C	21.68565818256052	0.0002314592914320723	0.000125281	NA	0.156003357793541	52.0	NA	101.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CETN3	21.500442810323204	0.0002519325105104616	0.000908733	NA	0.0235940157538969	14.0	NA	18.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PACRG-AS1	16.55948889799394	0.00025360199999999985	0.000253602	NA	NA	4.0	NA	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
JADE1	21.439120952974054	0.0002590987758457154	0.000216239	NA	0.102239804963478	26.0	NA	43.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CYTL1	21.377098249618946	0.0002665524643092715	4.36482e-05	NA	0.522463261169158	7.0	NA	12.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
OTX1	21.251543277712383	0.0002822979986850526	0.354277	NA	6.85398347239907e-05	10.0	NA	21.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
VCX	16.252749650109823	0.000295638	0.000295638	NA	NA	46.0	NA	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
