COHORT	VARIANT_GROUP	MAF	TEST	MIN_NUMVAR	LAMBDA	LAMBDA1000
AMP_NIH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	1	0.7763458596733064	0.9426183688917761
AMP_NIH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	SkatO	1	0.9689999345079988	0.9920464950043204
AMP_NIH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	2	0.8710464769419493	0.9669151508690413
AMP_NIH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	SkatO	2	0.9458544283898201	0.9861081882421632
AMP_NIH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	3	0.9013417872968921	0.9746878409724179
AMP_NIH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	SkatO	3	0.9303488749776797	0.9821300193393891
AMP_NIH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	4	0.9105873724211284	0.9770599265247071
AMP_NIH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	SkatO	4	0.9295275434355875	0.9819192951225378
AMP_NIH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	1	0.8449357876178811	0.9602160844418043
AMP_NIH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	SkatO	1	0.9621041169170241	0.9902772755272433
AMP_NIH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	2	0.9328140289742961	0.9827624894427915
AMP_NIH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	SkatO	2	0.937139001576796	0.9838721222985362
AMP_NIH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	3	0.9623559534685222	0.990341887754303
AMP_NIH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	SkatO	3	0.9324057372563566	0.9826577364312482
AMP_NIH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	4	0.9704440733659967	0.9924170092416049
AMP_NIH	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	SkatO	4	0.9306855527818559	0.9822163987890759
AMP_NIH	ALL_LOF_HC_LOFTEE	0.001	CMCWald	1	0.07461467287306714	0.762579313771715
AMP_NIH	ALL_LOF_HC_LOFTEE	0.001	SkatO	1	1.1812230198045097	1.0464953273637188
AMP_NIH	ALL_LOF_HC_LOFTEE	0.001	CMCWald	2	0.5891179437745593	0.8945824005543671
AMP_NIH	ALL_LOF_HC_LOFTEE	0.001	SkatO	2	1.0585096111430174	1.0150114677867805
AMP_NIH	ALL_LOF_HC_LOFTEE	0.001	CMCWald	3	0.9589206555342941	0.9894605135104783
AMP_NIH	ALL_LOF_HC_LOFTEE	0.001	SkatO	3	1.0105799886658338	1.002714445643015
AMP_NIH	ALL_LOF_HC_LOFTEE	0.001	CMCWald	4	1.224295399277839	1.0575461551564964
AMP_NIH	ALL_LOF_HC_LOFTEE	0.001	SkatO	4	1.07671047585137	1.0196811569014994
AMP_NIH	ALL_LOF_HC_LOFTEE	0.01	CMCWald	1	0.13613562956584516	0.7783633848254117
AMP_NIH	ALL_LOF_HC_LOFTEE	0.01	SkatO	1	1.15046431169925	1.038603746017255
AMP_NIH	ALL_LOF_HC_LOFTEE	0.01	CMCWald	2	0.6899822308311373	0.9204605591407466
AMP_NIH	ALL_LOF_HC_LOFTEE	0.01	SkatO	2	1.0256925210741246	1.006591779451801
AMP_NIH	ALL_LOF_HC_LOFTEE	0.01	CMCWald	3	0.953648986280754	0.9881079922471144
AMP_NIH	ALL_LOF_HC_LOFTEE	0.01	SkatO	3	0.9825781834333015	0.9955301866980635
AMP_NIH	ALL_LOF_HC_LOFTEE	0.01	CMCWald	4	1.2923610260619887	1.075009353832689
AMP_NIH	ALL_LOF_HC_LOFTEE	0.01	SkatO	4	1.1498325355180254	1.038441654907647
AMP_NIH	ALL_MISSENSE_SNPEFF	0.001	CMCWald	1	0.8751760609043271	0.9679746540072952
AMP_NIH	ALL_MISSENSE_SNPEFF	0.001	SkatO	1	0.9703482057159714	0.9923924130408777
AMP_NIH	ALL_MISSENSE_SNPEFF	0.001	CMCWald	2	0.931496593275322	0.9824244826919355
AMP_NIH	ALL_MISSENSE_SNPEFF	0.001	SkatO	2	0.9587984531347767	0.9894291607575204
AMP_NIH	ALL_MISSENSE_SNPEFF	0.001	CMCWald	3	0.960818490397517	0.9899474298710103
AMP_NIH	ALL_MISSENSE_SNPEFF	0.001	SkatO	3	0.9533740050484355	0.9880374419250344
AMP_NIH	ALL_MISSENSE_SNPEFF	0.001	CMCWald	4	0.9621971280923024	0.9903011388589973
AMP_NIH	ALL_MISSENSE_SNPEFF	0.001	SkatO	4	0.9453615025640458	0.9859817211539305
AMP_NIH	ALL_MISSENSE_SNPEFF	0.01	CMCWald	1	0.9196955138875519	0.9793967489637838
AMP_NIH	ALL_MISSENSE_SNPEFF	0.01	SkatO	1	0.952720589270583	0.9878697988710303
AMP_NIH	ALL_MISSENSE_SNPEFF	0.01	CMCWald	2	0.9631866315035504	0.9905550099460321
AMP_NIH	ALL_MISSENSE_SNPEFF	0.01	SkatO	2	0.9462937270137814	0.9862208965137367
AMP_NIH	ALL_MISSENSE_SNPEFF	0.01	CMCWald	3	0.9778624869210407	0.9943203081002892
AMP_NIH	ALL_MISSENSE_SNPEFF	0.01	SkatO	3	0.9409178449116615	0.984841637970995
AMP_NIH	ALL_MISSENSE_SNPEFF	0.01	CMCWald	4	0.9826426751006186	0.9955467329469195
AMP_NIH	ALL_MISSENSE_SNPEFF	0.01	SkatO	4	0.9411522840371961	0.9849017866425067
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	CMCWald	1	0.8775689829846622	0.9685885919915594
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	CMCWald	2	0.9312771654324133	0.9823681853771696
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	CMCWald	3	0.9592737476072773	0.9895511042728472
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	CMCWald	4	0.9592737476072773	0.9895511042728472
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	CMCWald	1	0.9167991697215728	0.9786536509274502
AMP_NIH	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.01	SkatO	1	0.9507667866627121	0.9873685231944908
