COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4 for SkatO
GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
KIF9	33.94284927940915	6.900515712314006e-06	7.45786e-08	0.712456	0.80173649703787	48.0	25.0	82.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LRRK2	33.328891654539184	9.063225179478645e-06	0.0380867	0.72484	2.09752736968216e-06	116.0	53.0	176.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SBF2-AS1	22.371449293716378	1.3870800000000011e-05	1.38708e-05	NA	NA	26.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
OR2T8	32.24998830056022	1.4612121034164067e-05	0.00230144	0.0166115	0.0025977389864544	18.0	5.0	5.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SLC6A14	27.39699940655811	1.652304845527301e-05	1.61599e-06	NA	0.695630314370337	8.0	NA	14.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GBA	31.703809021453075	1.8595159944106703e-05	0.000255367	0.0222411	0.0229765228840815	30.0	15.0	16.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CSNK1A1P1	20.138361854043588	4.23653e-05	4.23653e-05	NA	NA	5.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
STK38L	24.65431190455271	5.9036645436835836e-05	0.165171	NA	2.68194825381318e-05	8.0	NA	11.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DEFB108B	23.884250495249933	8.425709880848135e-05	2.2639e-05	NA	0.287570056855764	9.0	NA	8.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
IL17D	18.552887700708265	9.360339999999992e-05	9.36034e-05	NA	NA	13.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
JADE1	27.83870338264824	0.0001007671622900892	0.000153236	0.0575336	0.102239804963478	25.0	6.0	43.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
