GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
MYOM2	3.611940310018195	0.00030391452908007426	0.32899	0.16942	0.052154	0.982032	0.588015	0.0949037	41.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TRPM2	3.4200085662586455	0.0006261916382074917	0.51064	0.188284	0.00668627	0.314673	0.444494	0.478986	40.0	5.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CDH26	-3.400890297684451	0.0006716677653090258	-0.370343	0.239246	0.121632	-1.40059	0.755878	0.0638926	35.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RHOT1	3.3022983719039405	0.0009589600361495601	1.3322	0.403416	0.000958919	NA	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
AGBL1	3.114207157410343	0.0018443994366368738	0.446373	0.364125	0.220245	1.25842	0.66642	0.058981	13.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SCPEP1	3.068016105284868	0.0021548500427538446	0.369378	0.402961	0.359322	1.42377	0.661801	0.0314481	9.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CCDC68	-3.066450362471218	0.0021661677134462674	-1.66655	1.01923	0.102026	-1.62134	1.13274	0.152331	9.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZSCAN25	3.0148727123017136	0.0025708712366253003	1.18448	0.31242	0.000149851	-0.553154	0.712429	0.437493	18.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
BCAS4	2.9017908449363574	0.003710361753823579	0.460677	0.271991	0.0903185	0.956681	0.791909	0.227021	6.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TMEM252	2.8791789498662923	0.0039871202397343325	3.15463	1.09567	0.00398718	NA	NA	NA	4.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OTUD7B	2.87536499995895	0.00403560680245659	2.10138	0.730822	0.00403557	NA	NA	NA	7.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.001	3	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
