COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 2
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	9.540039261102784	1.4277825144807002e-21	0.867041	0.122605	1.52885e-12	0.87011	0.352526	0.013579	83.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
H2BC21	5.598829031343888	2.1580449354015696e-08	1.17313	0.40873	0.00410243	1.83914	0.674012	0.00635946	13.0	2.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LIG3	5.247611014922807	1.540842015939783e-07	0.29698	0.114228	0.00932556	0.737653	0.278599	0.00810369	157.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KIF2C	5.223655111251606	1.7542538442195948e-07	0.34116	0.13084	0.00912182	1.22484	0.468176	0.00889171	104.0	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NOP53	5.214915726172196	1.839008229962464e-07	0.242409	0.0891543	0.00654824	0.554177	0.222032	0.0125628	131.0	28.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IPO4	-5.133932716035722	2.8374957201945404e-07	-0.474045	0.130449	0.000279107	-0.463429	0.308956	0.133618	208.0	27.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MET	-5.098768967329386	3.4186950214008837e-07	-0.349222	0.12108	0.00392371	-0.52554	0.237313	0.0267918	190.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	5.028157630853243	4.95214724251219e-07	0.434849	0.120971	0.000324811	0.522463	0.364466	0.151714	107.0	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
XKR7	-4.875195234241315	1.087008954372299e-06	-0.221332	0.159776	0.165971	-1.3902	0.398346	0.000483158	104.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TRMT12	4.849236730311237	1.2393744064898595e-06	0.399511	0.146919	0.00654289	0.78984	0.370821	0.0331734	63.0	10.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
