COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
GBA	6.745826454311679	1.521584043412063e-11	0.867041	0.122605	1.52885e-12	0.87011	0.352526	0.013579	83.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	4.135326419882734	3.5445044892598045e-05	1.51214	0.365664	3.54451e-05	NA	NA	NA	19.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LIG3	3.710621333681138	0.0002067511719917333	0.29698	0.114228	0.00932556	0.737653	0.278599	0.00810369	157.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS20	3.707612055352238	0.00020922284611920927	1.4862	0.400851	0.000209231	NA	NA	NA	16.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KIF2C	3.6936819517457797	0.0002210302250323165	0.34116	0.13084	0.00912182	1.22484	0.468176	0.00889171	104.0	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NOP53	3.687502273292728	0.00022646607109129286	0.242409	0.0891543	0.00654824	0.554177	0.222032	0.0125628	131.0	28.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IPO4	-3.6302386376643283	0.00028315930287898074	-0.474045	0.130449	0.000279107	-0.463429	0.308956	0.133618	208.0	27.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MET	-3.6053741125021395	0.00031170356419346195	-0.349222	0.12108	0.00392371	-0.52554	0.237313	0.0267918	190.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	3.555444357651213	0.00037734080028505544	0.434849	0.120971	0.000324811	0.522463	0.364466	0.151714	107.0	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DCLK1	-3.498255056862575	0.0004683130389259552	-1.00741	0.287975	0.000468309	NA	NA	NA	63.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
XKR7	-3.4472836097403734	0.0005662538150999665	-0.221332	0.159776	0.165971	-1.3902	0.398346	0.000483158	104.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TRMT12	3.428928175581957	0.0006059698666936803	0.399511	0.146919	0.00654289	0.78984	0.370821	0.0331734	63.0	10.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENDOU	-3.3940092674458406	0.0006887736168023578	-0.461786	0.191373	0.0158211	-1.13946	0.477393	0.0169943	67.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZFP42	3.3874744846349225	0.0007053927806916772	0.359207	0.135517	0.00803399	0.782598	0.365705	0.0323569	54.0	8.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MYH14	-3.3741117666609135	0.0007405429358413843	-0.245739	0.073165	0.000783111	-0.225262	0.159419	0.157651	449.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OR4C13	3.3488395683824077	0.0008115077066986337	0.22858	0.134593	0.0894495	1.14244	0.376091	0.0023841	70.0	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LBX2	3.2814837313569623	0.001032624812307177	0.331965	0.107942	0.00210226	0.426203	0.272279	0.117509	62.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CFAP52	-3.2776103878589415	0.0010468978695832582	-0.365452	0.165489	0.027222	-0.852688	0.351345	0.0152275	93.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAP1A	3.275585177440901	0.001054433124638112	0.902332	0.275472	0.00105443	NA	NA	NA	19.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RIPOR2	3.2625408327957666	0.0011041826446497346	0.136822	0.0907394	0.131591	0.698913	0.225015	0.0018959	160.0	28.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LOC101928123	3.216834447416954	0.00129613366709548	0.88259	0.274366	0.00129614	NA	NA	NA	12.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
GSTM5	-3.212265936160894	0.0013169241007916627	-0.208736	0.14127	0.139525	-1.50543	0.491126	0.00217477	52.0	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CELA3B	-3.1833940578756623	0.001455593689894375	-0.72479	0.198621	0.000263143	-0.38857	0.455593	0.393721	55.0	8.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SERINC1	-3.159362823708692	0.0015811451431014547	-0.495716	0.190925	0.00942081	-0.661787	0.35359	0.0612592	58.0	7.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
 
COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.01; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
GBA	8.370528805920026	5.73602377712306e-17	0.52337	0.0701377	8.51999e-14	0.567902	0.129786	1.21058e-05	85.0	17.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	4.135326419882734	3.5445044892598045e-05	1.51214	0.365664	3.54451e-05	NA	NA	NA	19.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IPO4	-3.7129696099680873	0.00020484149213461617	-0.30753	0.100903	0.00230542	-0.391247	0.177585	0.0275843	209.0	30.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS20	3.707612055352238	0.00020922284611920927	1.4862	0.400851	0.000209231	NA	NA	NA	16.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ANGEL2	-3.6296690941310974	0.0002837847812669795	-0.347973	0.136533	0.0108143	-0.644634	0.249424	0.0097522	76.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DCDC2C	3.6259783076115264	0.00028786952098877844	0.151741	0.150634	0.313769	0.664881	0.161357	3.77936e-05	59.0	10.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	3.555444357651213	0.00037734080028505544	0.434849	0.120971	0.000324811	0.522463	0.364466	0.151714	107.0	12.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LIG3	3.5529208375801113	0.00038097909404567	0.288986	0.101712	0.00449421	0.530773	0.243098	0.0290087	158.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KBTBD13	-3.550042543567994	0.00038516890073859495	-0.174924	0.0719467	0.0150445	-0.477905	0.184575	0.00961947	131.0	14.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SBK1	3.5066791208543875	0.0004537359395883051	0.34276	0.0977449	0.000453733	NA	NA	NA	69.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TRMT12	3.428928175581957	0.0006059698666936803	0.399511	0.146919	0.00654289	0.78984	0.370821	0.0331734	63.0	10.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
XKR7	-3.4044784064495905	0.0006629054124654481	-0.166733	0.125862	0.185263	-1.3902	0.398346	0.000483158	105.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	53843	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
