META_COHORT	VARIANT_GROUP	MAF	TEST	MIN_NUMVAR	LAMBDA	LAMBDA1000
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	1	2.1875079208085837	1.054264772502362
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	2	2.225437213831948	1.0559980025895237
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	3	2.1900564005458265	1.0543812287135124
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.001	CMCWald	4	2.140554716488486	1.0521191826447784
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	1	2.2265012187182474	1.0560466237246628
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	2	2.253888817576555	1.057298136910714
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	3	2.2414031374074406	1.0567275869530741
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_LOF_HC_LOFTEE_and_CADD_20_VEP	0.01	CMCWald	4	2.198882081416648	1.0547845300778582
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_LOF_HC_LOFTEE	0.001	CMCWald	1	0.8269831402376214	0.9920937617597652
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_LOF_HC_LOFTEE	0.001	CMCWald	2	0.9175360783186509	0.9962317001248766
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_LOF_HC_LOFTEE	0.001	CMCWald	3	0.9410871280611839	0.9973078970361361
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_LOF_HC_LOFTEE	0.001	CMCWald	4	0.8916303074450496	0.9950479010627221
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_LOF_HC_LOFTEE	0.01	CMCWald	1	0.8568553924290442	0.993458814523537
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_LOF_HC_LOFTEE	0.01	CMCWald	2	0.9402965866789786	0.9972717721838237
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_LOF_HC_LOFTEE	0.01	CMCWald	3	0.9644985087783317	0.9983777115833242
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_LOF_HC_LOFTEE	0.01	CMCWald	4	0.9234731784396857	0.996503003904621
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_MISSENSE_SNPEFF	0.001	CMCWald	1	2.363756078583568	1.0623186692537265
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_MISSENSE_SNPEFF	0.001	CMCWald	2	2.3621727935638943	1.0622463189140838
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_MISSENSE_SNPEFF	0.001	CMCWald	3	2.333849390790106	1.0609520429087786
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_MISSENSE_SNPEFF	0.001	CMCWald	4	2.298558038690807	1.0593393570820895
GNE_AMP_NIH_UKB_ALL_PD_PHENO_META	ALL_MISSENSE_SNPEFF	0.01	CMCWald	1	2.37613579515616	1.0628843770622254
