COHORT: GNE_AMP_NIH_UKB_CASE_PROXIES_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_SIBLING_PROXY_BETA	UKB_SIBLING_PROXY_SE	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
GBA	7.478804268045932	7.500188127986744e-14	1.05079	0.287591	0.000258426	0.87011	0.352526	0.013579	0.944174	0.372615	0.0112797	0.843321	0.146211	8.03039e-09	1.08402952257042	0.471443072375037	0.0214830395852572	30.0	15.0	22.0	74.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SEPTIN5	3.9649256668540374	7.341882234676517e-05	0.561456	0.477071	0.239243	0.173201	0.482624	0.71969	2.55837	0.692512	0.000220466	0.589523	0.218361	0.00693884	NA	NA	NA	20.0	5.0	8.0	53.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
STK38L	3.926713229551995	8.611455107326427e-05	0.967559	0.715213	0.176111	NA	NA	NA	1.0959	0.733668	0.135247	0.367667	0.295979	0.21416	2.70889872077252	0.719558784846649	0.0001667716361832	8.0	NA	6.0	33.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SEPT5-GP1BB	3.8803062054769657	0.00010432504112390921	0.177633	0.375866	0.636501	0.173201	0.482624	0.71969	1.99127	0.467218	2.02636e-05	0.439563	0.164805	0.00764949	NA	NA	NA	35.0	5.0	16.0	92.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
IRX6	3.760388880937166	0.00016964942113662177	0.488481	0.31145	0.116786	0.522463	0.364466	0.151714	0.42349	0.405939	0.296839	0.425088	0.139171	0.00225489	0.283929940875569	0.216921171358496	0.190565384718304	39.0	12.0	24.0	90.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
IPO4	-3.7164599060836214	0.00020203368405601204	-0.668747	0.374474	0.074127	-0.463429	0.308956	0.133618	-2.27202	1.01107	0.0246311	-0.352661	0.141546	0.0127209	-0.0511178901738051	0.178855913159381	0.775027581507583	61.0	27.0	43.0	185.0	127.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RBM26	3.695481525952556	0.00021947043907362716	0.563326	0.278854	0.0433685	0.20345	0.298641	0.495712	0.808211	0.311217	0.00940593	0.158815	0.12966	0.22063	0.380434925785374	0.218621423733429	0.0818319958156027	36.0	13.0	30.0	105.0	35.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TRMT12	3.6267540713325945	0.0002870064073582702	0.777248	0.346621	0.0249384	0.78984	0.370821	0.0331734	0.651785	0.44271	0.14095	0.298159	0.17548	0.0892997	0.174548865418295	0.308407551784547	0.571415401452678	17.0	10.0	18.0	58.0	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CFAP52	-3.494279167733667	0.00047534367978329365	-0.337974	0.407825	0.407261	-0.852688	0.351345	0.0152275	-0.108956	0.542674	0.840874	-0.404448	0.192519	0.0356564	-0.6231134543155	0.276178267504769	0.0240580978725804	31.0	13.0	23.0	79.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
MET	-3.4932385005259703	0.0004772001019886	0.0929547	0.257187	0.717779	-0.52554	0.237313	0.0267918	-0.289378	0.407529	0.477655	-0.476785	0.146805	0.00116326	-0.362638804910361	0.181303048169148	0.0454807865751501	52.0	24.0	44.0	165.0	97.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
