GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	32.801246961694474	1.1450681406908975e-05	0.000258426	0.013579	0.0214830395852572	30.0	15.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
KIF9	30.879880160587632	2.6723516355612115e-05	7.06372e-07	0.484807	0.575329793399795	48.0	25.0	82.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DSEL	28.841023271699882	6.519908086995508e-05	0.00142626	0.0124232	0.030819045993025	61.0	22.0	77.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
APBA3	25.727705529210887	0.0002502022848500487	0.00134629	0.0116824	0.164675517221868	57.0	39.0	105.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ADI1	25.670344405418206	0.00025642341125924637	0.0041791	0.975774	0.0006536172912834	23.0	17.0	34.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LURAP1L	24.7598586032218	0.00037823510151278834	0.292899	0.000251641	0.0570119278232286	18.0	9.0	26.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DLEU7	24.4122931435827	0.0004384733522953522	0.00637429	0.00979373	0.080086249114731	12.0	6.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
KAT2B	24.310784133758183	0.0004577834766835757	0.00198788	0.0606067	0.0436585691405621	34.0	13.0	45.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PAQR5	23.42965897259073	0.0006646352369291145	0.0726946	0.306817	0.0003663807330906	16.0	11.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DLEU7-AS1	19.362990921339552	0.0006668252018853099	0.00637429	0.00979373	NA	12.0	6.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TFCP2L1	23.228093485615595	0.0007235747012206064	0.0943052	0.0520241	0.0018422279657895	17.0	10.0	40.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
C12orf60	23.10696090898985	0.0007614346630219128	0.00135261	0.39908	0.0177891269492137	26.0	7.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
STK38L	22.905706412672945	0.0008286828898391995	0.176111	0.36156	0.0001667716361832	8.0	2.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PSG7	22.440464762763504	0.001007261972132321	0.00706998	0.00637805	0.297172683720856	48.0	22.0	85.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
JADE1	22.3393633059775	0.0010507995918537113	0.00624441	0.0442246	0.0510403412566328	25.0	6.0	43.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
C11orf63	13.694747748088494	0.0010622416134898	NA	NA	0.0010622416134898	NA	NA	68.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
OR2T8	22.098265551199738	0.001162211913739894	0.145781	0.0177751	0.0061363430128891	18.0	5.0	5.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ARHGEF38	22.088663905527753	0.0011668808582498134	0.361048	0.00754437	0.0058656973833109	40.0	15.0	58.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
IQUB	22.061054519883232	0.00118040906176651	0.0127069	0.0783537	0.0162706070625745	37.0	19.0	73.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NOP53	18.024819164795318	0.001220390608576882	0.00970228	0.0125628	NA	47.0	28.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
E2F1	21.944072204439482	0.0012394551708591508	0.000435059	0.35163	0.112271929798619	16.0	6.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RNF114	21.903588359411287	0.001260556033451057	0.0912124	0.750554	0.0002560120421331	12.0	6.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
FAM187A	21.88755784782861	0.0012690083840375386	0.000822685	0.150788	0.142421922012094	23.0	11.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
EFCAB2	21.758659241889617	0.0013390220027573087	0.240811	0.00936454	0.008356115006287	17.0	13.0	33.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GDF9	21.630787051816814	0.001412213902769842	0.982888	0.0468296	0.0004364251712774	22.0	7.0	43.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SLC22A16	21.561477445532795	0.001453509041275243	0.00953485	0.0418841	0.0520740803454405	39.0	21.0	64.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
