GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
B3GNT3	45.35252965665478	3.3584315718584156e-09	NA	NA	NA	0.0322445	4.39913883099052e-09	NA	NA	NA	3.0	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
AUNIP	46.3449233190658	2.0437342433380142e-07	3.12638e-08	NA	0.115899	1.0	0.0238345148633997	4.0	NA	7.0	13.0	8.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CAPN10	43.26219169920705	7.839906381513776e-07	3.75213e-06	NA	0.0532885	0.394394	0.0051155550562002	4.0	NA	4.0	18.0	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
LOC105371046	27.56085163108582	1.530819747778331e-05	0.000350223	NA	NA	0.00295728	NA	3.0	NA	NA	11.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TOX2	20.2540079624492	3.9985087685434615e-05	NA	NA	NA	NA	3.99850876854346e-05	NA	NA	NA	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CD44	26.757474006887403	0.00016076642822544245	5.37821e-06	NA	NA	1.0	0.287773360735832	3.0	NA	NA	9.0	5.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
LY6K	17.26741502025824	0.00017800347059650017	NA	NA	NA	NA	0.0001780034705965	NA	NA	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
MRPL20	16.80610019121838	0.00022418250225779998	NA	NA	NA	NA	0.0002241825022578	NA	NA	NA	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
FMNL1	16.163569999510834	0.00030911876574339967	NA	NA	NA	NA	0.0003091187657434	NA	NA	NA	NA	4.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
GLIPR2	16.0490895533095	0.00032732900000000017	NA	NA	NA	0.000327329	NA	NA	NA	NA	5.0	NA	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
USP13	15.719063607985262	0.00038605457827780004	NA	NA	NA	NA	0.0003860545782778	NA	NA	NA	NA	6.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
EQTN	20.4115434095145	0.0004141249871342144	NA	NA	NA	4.91937e-05	0.751242547502427	NA	NA	NA	5.0	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ZDHHC18	15.489780525528273	0.00043294915458209974	NA	NA	NA	NA	0.0004329491545821	NA	NA	NA	NA	3.0	SkatO	ALL_LOF_HC_LOFTEE	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
