GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_SIBLING_PROXY_BETA	UKB_SIBLING_PROXY_SE	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
SOAT2	3.9084281839884847	9.28985531830339e-05	0.647054	0.32986	0.0498089	NA	NA	NA	1.07787	0.402206	0.00736437	0.154095	0.174819	0.378072	0.709482890173676	0.309290499961594	0.0217959810802337	6.0	NA	7.0	13.0	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
B3GNT3	3.7627128962512324	0.0001680801193944059	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.22864	1.22763	0.0694624	3.74312143465989	1.06766982470067	0.0004551017125469	NA	NA	NA	3.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TRAPPC3L	3.1849662598008823	0.001447708862241906	NA	NA	NA	0.48783	0.927199	0.598795	0.97532	1.22963	0.427672	0.915604	0.464424	0.0486686	1.93465590208608	0.628311518023376	0.0020760267795094	NA	3.0	3.0	11.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
LNPK	3.1818479520058554	0.00146338622340258	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.29897	0.505055	0.0101133	2.3228565716243	1.20487935766465	0.0538706987442293	NA	NA	NA	8.0	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
GLIPR2	3.1806096636147028	0.0014696550315069327	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.77409	0.557783	0.00146969	NA	NA	NA	NA	NA	NA	5.0	NA	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
PHKB	-3.14599314720392	0.001655238839448525	-1.23742	0.731361	0.0906565	-0.902617	0.435521	0.038219	-1.11088	1.03232	0.281883	-0.137739	0.227257	0.544453	-0.552281175440779	0.347779796438713	0.112281879679084	16.0	5.0	11.0	28.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RP11-400G3.5	3.112899632413066	0.0018525900862235362	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.43633195258633	0.461412869734226	0.0018525900862235	NA	NA	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
NOC2L	3.056221764227844	0.0022414540542561086	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.26734113357892	0.414675776611752	0.0022414540542561	NA	NA	NA	NA	15.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SLC17A1	-3.042402310276703	0.002346979837439067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	-1.69759772015894	0.557979368614319	0.002346979837439	NA	NA	NA	NA	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CAPN10	3.0319251184535547	0.002429994771146659	3.37192	1.10577	0.00229306	NA	NA	NA	1.63267	1.00436	0.104039	-0.606628	0.528426	0.250972	2.09947867433774	0.827585633303507	0.0111847897236652	4.0	NA	4.0	18.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
