COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 3 for SkatO
GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	UKB_PARENT_PROXY_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	64.69330961147818	5.549135402265074e-11	0.000255367	0.0222411	6.86153e-08	0.0229765228840815	30.0	15.0	74.0	16.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LRRK2	41.95228150753027	1.3824568685738326e-06	0.0380867	0.72484	0.0134108	2.09752736968216e-06	116.0	53.0	334.0	176.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
P2RY10	26.533946102128862	1.730720000000001e-06	NA	NA	1.73072e-06	NA	NA	NA	15.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RPS20	33.7625729752025	7.476082935620193e-06	0.000102238	NA	0.000609874	0.74764936165867	4.0	NA	13.0	5.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
OR2T8	36.61265335569499	1.3558518771145355e-05	0.00230144	0.0166115	0.112891	0.0025977389864544	18.0	5.0	51.0	5.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
STK38L	32.260828485826224	1.4542305948149825e-05	0.165171	NA	0.022298	2.68194825381318e-05	8.0	NA	33.0	11.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RAP1A	30.143440234051717	3.6915432040536005e-05	0.000102486	NA	0.0301836	0.0920448597787588	7.0	NA	15.0	6.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KIF9	34.12448504998104	3.856979599805062e-05	7.45786e-08	0.712456	0.913184	0.80173649703787	48.0	25.0	122.0	82.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SLC6A14	28.746502256151157	6.793780745438859e-05	1.61599e-06	NA	0.509283	0.695630314370337	8.0	NA	38.0	14.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TREML1	32.46366907375163	7.690965968423903e-05	0.747502	0.515114	3.64205e-05	0.0063641764659611	14.0	9.0	43.0	29.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
