COHORT: GNE_AMP_NIH_UKB_CASE_PROXIES_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4 for SkatO
GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	75.13249574358412	4.48347402337029e-12	0.000255367	0.0222411	0.00540953	6.86153e-08	0.0229765228840815	30.0	15.0	22.0	74.0	16.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TREML1	46.696381747367965	1.0722292737666164e-06	0.747502	0.515114	0.000811719	3.64205e-05	0.0063641764659611	14.0	9.0	6.0	43.0	29.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SEPT5-GP1BB	39.51262274774831	3.9477750768390636e-06	0.677159	0.758649	4.07702e-07	0.0125565	NA	35.0	5.0	16.0	92.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
P2RY10	30.127843924368072	4.609707847453327e-06	NA	NA	0.165804	1.73072e-06	NA	NA	NA	6.0	15.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
LRRK2	42.908278917244026	5.164355514878653e-06	0.0380867	0.72484	0.620023	0.0134108	2.09752736968216e-06	116.0	53.0	70.0	334.0	176.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SEPTIN5	38.753388499107075	5.461187303256172e-06	0.35482	0.758649	1.5395e-06	0.00927641	NA	20.0	5.0	8.0	53.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RPS20	33.7625729752025	7.476082935620193e-06	0.000102238	NA	NA	0.000609874	0.74764936165867	4.0	NA	NA	13.0	5.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
OR1G1	41.611699752517566	8.790401373821402e-06	0.808424	0.729023	1.08428e-06	0.031243	0.0461168466046115	15.0	10.0	12.0	43.0	19.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
OR2T8	40.83088845727466	1.2089117433766015e-05	0.00230144	0.0166115	0.121345	0.112891	0.0025977389864544	18.0	5.0	12.0	51.0	5.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
STK38L	35.59514262922158	2.0824198308047364e-05	0.165171	NA	0.188783	0.022298	2.68194825381318e-05	8.0	NA	6.0	33.0	11.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
DCAF15	39.0509586778346	2.4872143498677664e-05	0.0002336	0.282142	0.00982244	0.161699	0.0316464332096389	30.0	13.0	22.0	85.0	39.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
