GENE	TEST_STAT	META_PVAL	UKB_ALL_CASES_PVAL	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	49.37503741360101	4.876059643705971e-10	2.15206e-10	NA	0.0882048525585825	99.0	NA	19.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LRRK2	39.948370758222694	4.436153972886104e-08	0.00124626	NA	1.69712117903398e-06	433.0	NA	197.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TREML1	34.566773414429	5.701342999623498e-07	3.26102e-06	NA	0.0095624034259589	73.0	NA	38.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF274	27.600471688991682	1.5028040603287128e-05	3.27264e-06	NA	0.310266930720787	115.0	NA	55.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PHC2-AS1	20.2300672309096	4.0466600000000044e-05	4.04666e-05	NA	NA	33.0	NA	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAP1A	24.7472114830712	5.6553543397800835e-05	4.34357e-05	NA	0.0973563941555602	29.0	NA	9.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	19.521422056295847	5.7673600000000064e-05	5.76736e-05	NA	NA	22.0	NA	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEPT5-GP1BB	19.425869927637827	6.049590000000005e-05	6.04959e-05	NA	NA	112.0	NA	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS14	19.046147242589644	7.314450000000005e-05	7.31445e-05	NA	NA	18.0	NA	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RNF114	23.794314822176396	8.782621902651452e-05	0.0359557	NA	0.000189392352175	41.0	NA	23.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SEPTIN5	17.95403362643239	0.0001262789999999999	0.000126279	NA	NA	68.0	NA	NA	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TUBA1B	22.315982590159752	0.00017338350556877694	2.20268e-05	NA	0.647432569298679	18.0	NA	8.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OR5K3	22.19510024807701	0.00018327053544448855	0.00203816	NA	0.0074328769709104	83.0	NA	34.0	SkatO	ALL_MODERATE_HIGH_IMPACT_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
