COHORT: GNE_AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 1 for SkatO
GENE	TEST_STAT	META_PVAL	UKB_ALL_CASES_PVAL	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	59.67706075876353	5.234855324295197e-11	2.15204e-10	0.0222411	0.0229765228840815	83.0	15.0	16.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LRRK2	40.69825686578015	3.3202280879800467e-07	0.000956172	0.72484	2.09752736968216e-06	393.0	53.0	176.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	26.153222312896695	2.0936300000000023e-06	2.09363e-06	NA	NA	19.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TREML1	32.985204973347166	1.055478998280448e-05	2.09753e-05	0.515114	0.0063641764659611	49.0	9.0	29.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
STK38L	30.732411739559275	2.8511888293820247e-05	0.0171276	0.461737	2.68194825381318e-05	37.0	2.0	11.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF274	29.71313645942805	4.456425700265492e-05	3.04324e-06	0.299026	0.38799778185608	104.0	9.0	53.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
H2BC21	23.52738135065497	9.932768726527638e-05	0.00315405	0.00246732	NA	13.0	2.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FBXW7-AS1	18.328803778070036	0.00010470100000000003	0.000104701	NA	NA	1.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PSIP1	27.65060527515988	0.00010931907984544823	0.00202806	0.00102319	0.477210803967632	81.0	7.0	35.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PLEKHA1	27.337183101976862	0.00012518914552129109	0.362715	0.119543	2.67126176176635e-05	85.0	12.0	46.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS14	22.2393817964194	0.00017958544953292844	5.38495e-05	0.275168	NA	17.0	1.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAP1A	25.94803218839379	0.00022766026943719548	3.4806e-05	0.724107	0.0920448597787588	19.0	1.0	6.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LURAP1L	25.886213615054665	0.00023377465748942165	0.246177	0.000258705	0.0375688444773247	48.0	9.0	26.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ATP1A1-AS1	21.51222529139751	0.0002505782489365232	2.57131e-05	0.828944	NA	33.0	2.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LEMD1-AS1	21.408668809962464	0.000262732233022645	0.153679	0.000146067	NA	19.0	1.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MVD	25.26377594577861	0.00030510799346243086	8.8527e-05	0.0999069	0.369291682944901	130.0	27.0	69.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ADRA2B	25.090084423229577	0.0003285858312066041	0.208604	0.0680616	0.0002509184557883	100.0	9.0	57.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
DCAF1	25.070225789921494	0.00033138097763235613	0.0446135	0.473686	0.0001702600650022	98.0	10.0	66.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	24.60025109759971	0.0004048116849915638	0.000909873	0.219323	0.0228064869013536	107.0	12.0	49.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EIF3CL	15.61863501940369	0.0004059349999999998	0.000405935	NA	NA	7.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MRRF	24.572430347923117	0.00040962875538818537	0.000149418	0.479467	0.0644173575734297	57.0	4.0	22.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
OR5K3	24.448570616867755	0.0004317686030029454	0.00074992	1.0	0.0065470462539274	73.0	14.0	30.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	1	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
