COHORT: GNE_AMP_NIH_UKB_CASE_PROXIES_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_SIBLING_PROXY_BETA	UKB_SIBLING_PROXY_SE	UKB_SIBLING_PROXY_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_SIBLING_PROXY_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	16.723114733766263	8.8946511839222e-63	1.05079	0.287591	0.000258426	0.87011	0.352526	0.013579	0.944174	0.372615	0.0112797	0.843321	0.146211	8.03039e-09	1.08402952257042	0.471443072375037	0.0214830395852572	30.0	15.0	22.0	74.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
IRX6	8.408485159609866	4.153399508447456e-17	0.488481	0.31145	0.116786	0.522463	0.364466	0.151714	0.42349	0.405939	0.296839	0.425088	0.139171	0.00225489	0.283929940875569	0.216921171358496	0.190565384718304	39.0	12.0	24.0	90.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
IPO4	-8.310256985655462	9.549503804343086e-17	-0.668747	0.374474	0.074127	-0.463429	0.308956	0.133618	-2.27202	1.01107	0.0246311	-0.352661	0.141546	0.0127209	-0.0511178901738051	0.178855913159381	0.775027581507583	61.0	27.0	43.0	185.0	127.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
RBM26	8.263347901624567	1.4164264652232182e-16	0.563326	0.278854	0.0433685	0.20345	0.298641	0.495712	0.808211	0.311217	0.00940593	0.158815	0.12966	0.22063	0.380434925785374	0.218621423733429	0.0818319958156027	36.0	13.0	30.0	105.0	35.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TRMT12	8.109668641173803	5.075798867766192e-16	0.777248	0.346621	0.0249384	0.78984	0.370821	0.0331734	0.651785	0.44271	0.14095	0.298159	0.17548	0.0892997	0.174548865418295	0.308407551784547	0.571415401452678	17.0	10.0	18.0	58.0	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SEPTIN5	7.929851333708075	2.194083841487258e-15	0.561456	0.477071	0.239243	0.173201	0.482624	0.71969	2.55837	0.692512	0.000220466	0.589523	0.218361	0.00693884	NA	NA	NA	20.0	5.0	8.0	53.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
STK38L	7.853426459103991	4.048222196513862e-15	0.967559	0.715213	0.176111	NA	NA	NA	1.0959	0.733668	0.135247	0.367667	0.295979	0.21416	2.70889872077252	0.719558784846649	0.0001667716361832	8.0	NA	6.0	33.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CFAP52	-7.813445751413868	5.564537023904825e-15	-0.337974	0.407825	0.407261	-0.852688	0.351345	0.0152275	-0.108956	0.542674	0.840874	-0.404448	0.192519	0.0356564	-0.6231134543155	0.276178267504769	0.0240580978725804	31.0	13.0	23.0	79.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
MET	-7.811118748795504	5.668257818190564e-15	0.0929547	0.257187	0.717779	-0.52554	0.237313	0.0267918	-0.289378	0.407529	0.477655	-0.476785	0.146805	0.00116326	-0.362638804910361	0.181303048169148	0.0454807865751501	52.0	24.0	44.0	165.0	97.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
SEPT5-GP1BB	7.7606124109539305	8.452025136023333e-15	0.177633	0.375866	0.636501	0.173201	0.482624	0.71969	1.99127	0.467218	2.02636e-05	0.439563	0.164805	0.00764949	NA	NA	NA	35.0	5.0	16.0	92.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
USP25	7.757034409446049	8.69383474370158e-15	0.235804	0.260523	0.365403	0.0803228	0.28756	0.779995	0.959243	0.330575	0.00371097	0.260417	0.126152	0.0389881	0.324086094521993	0.201729359345169	0.108155520796869	48.0	14.0	27.0	120.0	66.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
KIF2C	7.693121864399683	1.4358763002298466e-14	0.8481	0.312543	0.00665668	1.22484	0.468176	0.00889171	0.45399	0.434968	0.296609	0.235711	0.153844	0.125488	-0.0705574869300618	0.332042618764483	0.831720665163501	33.0	7.0	20.0	85.0	44.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
FDFT1	-7.627385789471142	2.395618777401596e-14	-0.732739	0.430101	0.0884479	-0.526836	0.424923	0.215035	-0.797779	0.603756	0.186381	-0.272333	0.173117	0.115693	-0.548544015584039	0.306547168351678	0.0735459504879885	43.0	10.0	32.0	126.0	67.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
TRRAP	7.487334023798059	7.028666264095893e-14	0.152999	0.206398	0.458521	0.0579565	0.254614	0.819938	0.470641	0.213584	0.0275569	0.148676	0.0839438	0.0765381	0.367962852481556	0.144653713810494	0.0109669615330286	116.0	32.0	92.0	372.0	190.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
CEP85L	7.479927787762386	7.436346138846519e-14	0.686677	0.317443	0.0305296	0.547077	0.291944	0.0609427	0.860456	0.384706	0.0253088	0.172165	0.160507	0.283437	0.0359251168505121	0.268949899318176	0.893738259963688	39.0	17.0	25.0	121.0	56.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
ENDOU	-7.442268491244282	9.89708080072884e-14	-0.6123	0.530729	0.248625	-1.13946	0.477393	0.0169943	-0.0366927	0.491127	0.940444	-0.508177	0.226722	0.0249996	-0.540327449537089	0.340768930797856	0.112827256736117	21.0	13.0	18.0	60.0	35.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
USP6NL	7.385734772577658	1.516137544197643e-13	0.626346	0.277659	0.0240822	-0.0196546	0.323173	0.951505	0.348661	0.32827	0.288184	0.104812	0.127513	0.411096	0.693741186822514	0.209801532491436	0.0009441725856261	42.0	19.0	40.0	145.0	66.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PROXIES_2021
