COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 2 for SkatO
GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
KIF9	33.94284927940915	6.900515712314006e-06	7.45786e-08	0.712456	0.80173649703787	48.0	25.0	82.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LRRK2	33.328891654539184	9.063225179478645e-06	0.0380867	0.72484	2.09752736968216e-06	116.0	53.0	176.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
OR2T8	32.24998830056022	1.4612121034164067e-05	0.00230144	0.0166115	0.0025977389864544	18.0	5.0	5.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SLC6A14	27.39699940655811	1.652304845527301e-05	1.61599e-06	NA	0.695630314370337	8.0	NA	14.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GBA	31.703809021453075	1.8595159944106703e-05	0.000255367	0.0222411	0.0229765228840815	30.0	15.0	16.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
CSNK1A1P1	20.138361854043588	4.23653e-05	4.23653e-05	NA	NA	5.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
JADE1	27.83870338264824	0.0001007671622900892	0.000153236	0.0575336	0.102239804963478	25.0	6.0	43.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
S100B	23.47155924288837	0.00010191572658969164	0.000187978	NA	0.0425704895985266	4.0	NA	3.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DIAPH2	23.318780713952727	0.00010934625093002942	0.0493665	NA	0.0001749680565859	29.0	NA	12.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RAP1A	23.142527137127708	0.00011858862003935975	0.000102486	NA	0.0920448597787588	7.0	NA	6.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SBF2-AS1	22.897969424871427	0.00013270981678904152	1.38708e-05	0.768542	NA	26.0	3.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ADI1	26.803406049574868	0.0001576162194980139	0.00388708	0.691168	0.0005629984854172	23.0	17.0	34.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GPC1	26.78606759827101	0.00015879813684742717	1.75488e-05	0.777289	0.111853448697971	52.0	33.0	74.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
VCX	17.363345730894498	0.00016966700000000008	0.000169667	NA	NA	44.0	NA	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
