GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
CAPN10	3.950081071321536	7.812472660793461e-05	3.37192	1.10577	0.00229306	NA	NA	NA	2.09947867433774	0.827585633303507	0.0111847897236652	4.0	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
B3GNT3	3.505879203534955	0.00045510171254698807	NA	NA	NA	NA	NA	NA	3.74312143465989	1.06766982470067	0.0004551017125469	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ANGEL2	3.4159081523932353	0.0006356968442059248	1.32646	0.592432	0.0251551	NA	NA	NA	1.38373707704974	0.533887159501172	0.0095470924663894	2.0	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RP11-400G3.5	3.1128996324130664	0.001852590086223532	NA	NA	NA	NA	NA	NA	1.43633195258633	0.461412869734226	0.0018525900862235	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PHKB	-3.0902445441321578	0.001999917588901715	-1.23742	0.731361	0.0906565	-0.902617	0.435521	0.038219	-0.552281175440779	0.347779796438713	0.112281879679084	16.0	5.0	14.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NOC2L	3.056221764227844	0.0022414540542561086	NA	NA	NA	NA	NA	NA	1.26734113357892	0.414675776611752	0.0022414540542561	NA	NA	15.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SLC17A1	-3.042402310276703	0.002346979837439067	NA	NA	NA	NA	NA	NA	-1.69759772015894	0.557979368614319	0.002346979837439	NA	NA	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ZNF587B	3.0318646066294477	0.002430481939366744	NA	NA	NA	NA	NA	NA	2.31028989661085	0.762002990357548	0.0024304819393667	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SOAT2	3.009097473839894	0.002620250353101993	0.647054	0.32986	0.0498089	NA	NA	NA	0.709482890173676	0.309290499961594	0.0217959810802337	6.0	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SPINK4	2.9538173935838454	0.003138696669075228	NA	NA	NA	NA	NA	NA	0.749688767082974	0.253803355857886	0.0031386966690752	NA	NA	2.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LY6K	2.9354628482829033	0.0033305049089437312	NA	NA	NA	NA	NA	NA	2.69839708249393	0.919240754170115	0.0033305049089437	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
USP13	2.910664026056153	0.00360661604781899	NA	NA	NA	NA	NA	NA	2.61132224112706	0.897156874771737	0.0036066160478189	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	2	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
