COHORT: GNE_AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 2
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
GBA	6.835495266214789	8.17221975674843e-12	0.867041	0.122605	1.52885e-12	0.87011	0.352526	0.013579	1.08402952257042	0.471443072375037	0.0214830395852572	83.0	15.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	4.135326419882734	3.5445044892598045e-05	1.51214	0.365664	3.54451e-05	NA	NA	NA	NA	NA	NA	19.0	NA	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MET	-4.098580332974745	4.156919643690463e-05	-0.349222	0.12108	0.00392371	-0.52554	0.237313	0.0267918	-0.362638804910361	0.181303048169148	0.0454807865751501	190.0	24.0	97.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CFAP52	-3.978775451257067	6.92711253137519e-05	-0.365452	0.165489	0.027222	-0.852688	0.351345	0.0152275	-0.6231134543155	0.276178267504769	0.0240580978725804	93.0	13.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
H2BC21	3.958969974767373	7.527369825022631e-05	1.17313	0.40873	0.00410243	1.83914	0.674012	0.00635946	NA	NA	NA	13.0	2.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
STK38L	3.9023338881736325	9.526961690979588e-05	0.528891	0.254033	0.0373442	1.22117	1.33842	0.36156	2.70889872077252	0.719558784846649	0.0001667716361832	37.0	2.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
NOP53	3.6875022732927283	0.00022646607109129286	0.242409	0.0891543	0.00654824	0.554177	0.222032	0.0125628	NA	NA	NA	131.0	28.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENDOU	-3.6866507208946175	0.00022722488668900612	-0.461786	0.191373	0.0158211	-1.13946	0.477393	0.0169943	-0.540327449537089	0.340768930797856	0.112827256736117	67.0	13.0	35.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	3.6587067722556483	0.0002534911745559799	0.434849	0.120971	0.000324811	0.522463	0.364466	0.151714	0.283929940875569	0.216921171358496	0.190565384718304	107.0	12.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LAT	3.5501249029716204	0.00038504841765601164	0.309832	0.149089	0.0376945	0.232223	0.384879	0.546265	1.07426120812588	0.309811928992314	0.0005253972822846	54.0	11.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SDR16C5	-3.5491756287751475	0.0003864392442839968	-0.425907	0.222463	0.0555556	-1.1465	0.519255	0.0272457	-0.739828703929925	0.365370179635405	0.0428802683518319	57.0	6.0	38.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FAM163B	3.4374060960876243	0.0005873143270306784	0.470697	0.180332	0.00904981	0.875654	0.663983	0.187239	0.779833770623014	0.385140527547296	0.0428875769024872	58.0	4.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ADORA1	3.4250479977023653	0.0006146908150746759	0.331983	0.182339	0.0686536	0.336044	0.498973	0.500647	1.13607511914656	0.330427801492552	0.0005856064517807	44.0	6.0	26.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KCTD20	-3.391523382040241	0.000695052322509764	-0.231604	0.182705	0.204928	-1.53249	0.660337	0.0202996	-0.732246609873276	0.32033436262615	0.0222611524641467	67.0	8.0	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RASAL1	3.3891266718168227	0.0007011561229535197	0.192379	0.0973538	0.0481454	0.294965	0.221892	0.183743	0.456605215991804	0.178031729335	0.0103252945807353	160.0	23.0	85.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TMEM139	-3.3712928747830055	0.0007481627405909591	-0.772492	0.395721	0.050925	-0.673056	0.508628	0.185743	-0.492608227431826	0.19213536242079	0.0103515200383539	37.0	5.0	22.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
BOLA1	3.3410909032481544	0.0008344989585489205	0.285687	0.231053	0.216288	0.826028	0.617221	0.180798	1.09138563558828	0.339764698226677	0.0013173145056984	27.0	3.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FAM186B	3.294246183785626	0.000986860253381573	0.0355988	0.104355	0.733003	0.453466	0.209124	0.0301275	0.596224209227076	0.18653791903586	0.0013922024979948	147.0	29.0	81.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
C11orf63	3.2735006100423565	0.0010622416134898967	NA	NA	NA	NA	NA	NA	0.649373717273799	0.1983728719285	0.0010622416134898	NA	NA	68.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
BEAN1	-3.2704440806852966	0.0010737876967212916	-0.340189	0.214648	0.112995	-0.869665	0.340008	0.0105342	-0.313855769002453	0.206222471101135	0.128027102977151	68.0	19.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LOC340512	-3.2666972229728355	0.001088099864701388	-1.01583	0.463621	0.0284467	-2.75192	1.13307	0.0151515	NA	NA	NA	29.0	2.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RIPOR2	3.262540832795766	0.0011041826446497346	0.136822	0.0907394	0.131591	0.698913	0.225015	0.0018959	NA	NA	NA	160.0	28.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
C5orf38	-3.2340320634460906	0.0012205575190642403	-0.453745	0.208972	0.0299071	-0.505027	0.351873	0.151215	-0.944417049004787	0.473407519910169	0.0460500114739601	56.0	12.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	65543	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
