COHORT: GNE_AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 2
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_ALL_CASES_BETA	UKB_ALL_CASES_SE	UKB_ALL_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	11.839425095980562	2.4412058814310114e-32	0.867041	0.122605	1.52885e-12	0.87011	0.352526	0.013579	1.08402952257042	0.471443072375037	0.0214830395852572	83.0	15.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MET	-7.098949375614825	1.2570884300548716e-12	-0.349222	0.12108	0.00392371	-0.52554	0.237313	0.0267918	-0.362638804910361	0.181303048169148	0.0454807865751501	190.0	24.0	97.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
CFAP52	-6.891441233485027	5.52299375842076e-12	-0.365452	0.165489	0.027222	-0.852688	0.351345	0.0152275	-0.6231134543155	0.276178267504769	0.0240580978725804	93.0	13.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
STK38L	6.759040562414538	1.3890850546792101e-11	0.528891	0.254033	0.0373442	1.22117	1.33842	0.36156	2.70889872077252	0.719558784846649	0.0001667716361832	37.0	2.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ENDOU	-6.385466358349906	1.7087590746861364e-10	-0.461786	0.191373	0.0158211	-1.13946	0.477393	0.0169943	-0.540327449537089	0.340768930797856	0.112827256736117	67.0	13.0	35.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
IRX6	6.3370660195431165	2.3418166526994893e-10	0.434849	0.120971	0.000324811	0.522463	0.364466	0.151714	0.283929940875569	0.216921171358496	0.190565384718304	107.0	12.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
LAT	6.148996705162378	7.797459868405625e-10	0.309832	0.149089	0.0376945	0.232223	0.384879	0.546265	1.07426120812588	0.309811928992314	0.0005253972822846	54.0	11.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
SDR16C5	-6.147352514023773	7.878690040987497e-10	-0.425907	0.222463	0.0555556	-1.1465	0.519255	0.0272457	-0.739828703929925	0.365370179635405	0.0428802683518319	57.0	6.0	38.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FAM163B	5.953762004670751	2.620477986320357e-09	0.470697	0.180332	0.00904981	0.875654	0.663983	0.187239	0.779833770623014	0.385140527547296	0.0428875769024872	58.0	4.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ADORA1	5.932357150382549	2.986161675878073e-09	0.331983	0.182339	0.0686536	0.336044	0.498973	0.500647	1.13607511914656	0.330427801492552	0.0005856064517807	44.0	6.0	26.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KCTD20	-5.874290812751529	4.246573316751047e-09	-0.231604	0.182705	0.204928	-1.53249	0.660337	0.0202996	-0.732246609873276	0.32033436262615	0.0222611524641467	67.0	8.0	29.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RASAL1	5.870139588873549	4.354283706042405e-09	0.192379	0.0973538	0.0481454	0.294965	0.221892	0.183743	0.456605215991804	0.178031729335	0.0103252945807353	160.0	23.0	85.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TMEM139	-5.839250546319105	5.243616380436184e-09	-0.772492	0.395721	0.050925	-0.673056	0.508628	0.185743	-0.492608227431826	0.19213536242079	0.0103515200383539	37.0	5.0	22.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
BOLA1	5.786939197131996	7.168050958241622e-09	0.285687	0.231053	0.216288	0.826028	0.617221	0.180798	1.09138563558828	0.339764698226677	0.0013173145056984	27.0	3.0	15.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
FAM186B	5.705801762956586	1.157967066951155e-08	0.0355988	0.104355	0.733003	0.453466	0.209124	0.0301275	0.596224209227076	0.18653791903586	0.0013922024979948	147.0	29.0	81.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
BEAN1	-5.664575311059823	1.4738911857479818e-08	-0.340189	0.214648	0.112995	-0.869665	0.340008	0.0105342	-0.313855769002453	0.206222471101135	0.128027102977151	68.0	19.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
C5orf38	-5.601507847195443	2.1249516618452685e-08	-0.453745	0.208972	0.0299071	-0.505027	0.351873	0.151215	-0.944417049004787	0.473407519910169	0.0460500114739601	56.0	12.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
H2BC21	5.598829031343888	2.1580449354015696e-08	1.17313	0.40873	0.00410243	1.83914	0.674012	0.00635946	NA	NA	NA	13.0	2.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	2	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
