COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 3
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
GBA	7.0946008568124155	1.2972534077345979e-12	1.05079	0.287591	0.000258426	0.87011	0.352526	0.013579	0.843321	0.146211	8.03039e-09	1.08402952257042	0.471443072375037	0.0214830395852572	30.0	15.0	74.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
NOP53	4.074615166273171	4.609050024672931e-05	0.560229	0.216617	0.00970228	0.554177	0.222032	0.0125628	0.202569	0.102554	0.0482396	NA	NA	NA	47.0	28.0	119.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CFAP52	-3.8063347974131516	0.0001410414275708996	-0.337974	0.407825	0.407261	-0.852688	0.351345	0.0152275	-0.404448	0.192519	0.0356564	-0.6231134543155	0.276178267504769	0.0240580978725804	31.0	13.0	79.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
P2RY10	3.785388468606289	0.0001534686529379944	NA	NA	NA	NA	NA	NA	1.62322	0.428812	0.000153462	NA	NA	NA	NA	NA	15.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DSEL	3.766271991217539	0.00016570327080467906	0.714092	0.223904	0.00142626	0.669373	0.267761	0.0124232	-0.0390379	0.123528	0.751983	0.411615758897442	0.190615684119216	0.030819045993025	61.0	22.0	166.0	77.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ENDOU	-3.683778632919113	0.00022980182998053768	-0.6123	0.530729	0.248625	-1.13946	0.477393	0.0169943	-0.508177	0.226722	0.0249996	-0.540327449537089	0.340768930797856	0.112827256736117	21.0	13.0	60.0	35.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
IRX6	3.6826247997936505	0.0002308447940581559	0.488481	0.31145	0.116786	0.522463	0.364466	0.151714	0.425088	0.139171	0.00225489	0.283929940875569	0.216921171358496	0.190565384718304	39.0	12.0	90.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
STK38L	3.6717739590982905	0.00024087268472816568	0.967559	0.715213	0.176111	NA	NA	NA	0.367667	0.295979	0.21416	2.70889872077252	0.719558784846649	0.0001667716361832	8.0	NA	33.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SDR16C5	-3.65176773239528	0.0002604413885942133	-0.562522	1.04824	0.591521	-1.1465	0.519255	0.0272457	-0.712475	0.28116	0.0112752	-0.739828703929925	0.365370179635405	0.0428802683518319	10.0	6.0	52.0	38.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MET	-3.5505196103564196	0.00038447149129700823	0.0929547	0.257187	0.717779	-0.52554	0.237313	0.0267918	-0.476785	0.146805	0.00116326	-0.362638804910361	0.181303048169148	0.0454807865751501	52.0	24.0	165.0	97.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	61412	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
