COHORT: AMP_NIH_UKB_ALL_PD_PHENO_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 2 for SkatO
GENE	TEST_STAT	META_PVAL	UKB_ALL_CASES_PVAL	AMP_NIH_PVAL	UKB_ALL_CASES_NUMVAR	AMP_NIH_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	52.13049610168859	1.2954439103231917e-10	2.15204e-10	0.0222411	83.0	15.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
P2RY10	26.153222312896695	2.0936300000000023e-06	2.09363e-06	NA	19.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ZNF274	27.819625146946095	1.3568046994401168e-05	3.04324e-06	0.299026	104.0	9.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
PSIP1	26.171011377799587	2.922870202040785e-05	0.00202806	0.00102319	81.0	7.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RAP1A	20.531441544504585	3.480599999999998e-05	3.4806e-05	NA	19.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS14	19.6586348789121	5.384950000000006e-05	5.38495e-05	NA	17.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
H2BC21	23.52738135065497	9.932768726527638e-05	0.00315405	0.00246732	13.0	2.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
KNOP1	23.40069027716365	0.0001052980171779785	0.000424409	0.0195353	90.0	17.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
MVD	23.27143898875447	0.00011175609209004926	8.8527e-05	0.0999069	130.0	27.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
TREML1	22.871064093126733	0.00013436182854593281	2.09753e-05	0.515114	49.0	9.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
VPS37B	22.070945083975175	0.00019400740926466656	3.72967e-05	0.4322	75.0	7.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
RPS20	16.615461603715815	0.00024660299999999986	0.000246603	NA	16.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
ATP1A1-AS1	21.512225291397513	0.0002505782489365227	2.57131e-05	0.828944	33.0	2.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
EIF3C	15.61863501940369	0.0004059349999999998	0.000405935	NA	7.0	NA	SkatO	ALL_MISSENSE_SNPEFF	0.001	2	meta_AMP_NIH_noRelateds_UKB_EXOM_ALL_PD_PHENOTYPES_CONTROL_2021
