ALL_MISSENSE_SNPEFF
GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
ADI1	26.803406049574868	0.0001576162194980139	0.00388708	0.691168	0.0005629984854172	23.0	17.0	34.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DSEL	28.841023271699882	6.519908086995508e-05	0.00142626	0.0124232	0.030819045993025	61.0	22.0	77.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
EEA1	33.0893019730281	1.0079000136200533e-05	2.80507e-06	0.605938	0.0384040900142764	50.0	27.0	84.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GBA	75.3411823847627	3.265066740238263e-14	0.000314406	1.05348e-05	1.31750719223334e-08	32.0	17.0	18.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GDF9	27.443806788010413	0.0001195501724484247	0.476441	0.112354	2.05142388890467e-05	24.0	9.0	44.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
GPC1	26.78606759827101	0.00015879813684742717	1.75488e-05	0.777289	0.111853448697971	52.0	33.0	74.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
IDUA	26.285762993529147	0.0001969385485037986	0.00028152	0.336791	0.0206656637346275	144.0	95.0	53.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
JADE1	27.83870338264824	0.0001007671622900892	0.000153236	0.0575336	0.102239804963478	25.0	6.0	43.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
KIF9	33.94284927940915	6.900515712314006e-06	7.45786e-08	0.712456	0.80173649703787	48.0	25.0	82.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LRRK2	39.00097178603059	7.154462945449525e-07	0.371834	1.96111e-07	0.0465795758379102	120.0	56.0	179.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
OR2T8	32.24998830056022	1.4612121034164067e-05	0.00230144	0.0166115	0.0025977389864544	18.0	5.0	5.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PLEKHA1	26.378966392792172	0.00018920606569107902	0.585652	0.119543	2.67126176176635e-05	27.0	12.0	46.0	SkatO	ALL_MISSENSE_SNPEFF	0.001	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PXYLP1	27.552349098903115	0.00011406752454236743	0.159534	9.52418e-05	0.0684545882222868	29.0	12.0	37.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RAP1GDS1	26.724661558904806	0.0001630548207383205	0.0044127	0.000804792	0.443022133046199	32.0	17.0	33.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RNF114	26.187964386261235	0.00020538753356219935	0.0475803	0.168915	0.0002560120421331	14.0	9.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RPUSD1	29.226865879203892	5.510758567134372e-05	0.892608	1.28091e-05	0.039381052741897	40.0	31.0	78.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SLC6A14	27.39699940655811	1.652304845527301e-05	1.61599e-06	NA	0.695630314370337	8.0	NA	14.0	SkatO	ALL_MISSENSE_SNPEFF	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
 
ALL_LOF_HC_LOFTEE
GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
