GENE,META_PVAL,AMP_NIH_PVAL,GNE_PVAL,UKB_CASE_PVAL,UKB_SIBLING_PROXY_PVAL,UKB_PARENT_PROXY_PVAL,MAF,AMP_NIH_SIG,GNE_SIG,UKB_CASE_SIG,UKB_SIBLING_PROXY_SIG,UKB_PARENT_PROXY_SIG,SIG_DATASET
LRRK2,2.651091989644383e-06,0.727242,6.15428540129415e-07,0.0439313,0.771153,0.0141661,0.001,0,1,1,0,1,3
DCAF15,1.698266028734789e-05,0.0998232,0.0385732571711362,0.000508878,0.00372909,0.282861,0.001,0,1,1,1,0,3
KIR2DS3,0.0014692516347986,0.0432279,,0.00273293,0.0428509,0.684825,0.001,1,0,1,1,0,3
ANKRD37,0.0015115497205077,0.761472,0.0122301457427664,0.00944988,0.0083335,0.891727,0.001,0,1,1,1,0,3
NTMT1,0.0025567913989147,0.00602185,0.0425196908239288,0.22512,0.0443988,0.522322,0.001,1,1,0,1,0,3
CPA1,0.0026938667497644,0.025746,0.233029302672239,0.0267905,0.035139,0.254269,0.001,1,0,1,1,0,3
FCRL4,0.0028693622606343,0.0427037,0.013465515013791,0.0216171,0.202023,0.623741,0.001,1,1,1,0,0,3
ADAMTS17,0.0035024458840758,0.00887741,0.0213587017567642,0.5544,0.6538,0.0300215,0.001,1,1,0,0,1,3
ZNF34,0.0038945369665074,0.033612,0.915297778242083,,0.00962427,0.0414639,0.001,1,0,0,1,1,3
EPPIN-WFDC6,0.0040979286631023,1.0,0.0117371487498638,0.52727,0.0338776,0.0122439,0.001,0,1,0,1,1,3
SCLY,0.0048331796408121,0.503047,0.0210625259485644,0.42838,0.0167289,0.0425923,0.001,0,1,0,1,1,3
NECAP1,0.0057018384748165,0.0393246,0.0042519224546142,0.0491168,0.739946,0.671755,0.001,1,1,1,0,0,3
KLHL25,0.012178742627547,0.0393673,0.639268872711851,0.049695,0.024591,0.395414,0.001,1,0,1,1,0,3
TRRAP,0.0166721926153365,1.0,0.0233674089307723,0.709923,0.0299468,0.0389352,0.001,0,1,0,1,1,3
