COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	14.18920171362483	1.0686832624582905e-45	1.05079	0.287591	0.000258426	0.87011	0.352526	0.013579	0.843321	0.146211	8.03039e-09	1.08402952257042	0.471443072375037	0.0214830395852572	30.0	15.0	74.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CFAP52	-7.612669594826302	2.684915351556179e-14	-0.337974	0.407825	0.407261	-0.852688	0.351345	0.0152275	-0.404448	0.192519	0.0356564	-0.6231134543155	0.276178267504769	0.0240580978725804	31.0	13.0	79.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DSEL	7.532543982435078	4.976115615800927e-14	0.714092	0.223904	0.00142626	0.669373	0.267761	0.0124232	-0.0390379	0.123528	0.751983	0.411615758897442	0.190615684119216	0.030819045993025	61.0	22.0	166.0	77.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ENDOU	-7.367557265838227	1.7378279454252078e-13	-0.6123	0.530729	0.248625	-1.13946	0.477393	0.0169943	-0.508177	0.226722	0.0249996	-0.540327449537089	0.340768930797856	0.112827256736117	21.0	13.0	60.0	35.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
IRX6	7.3652495995873	1.7681572271987692e-13	0.488481	0.31145	0.116786	0.522463	0.364466	0.151714	0.425088	0.139171	0.00225489	0.283929940875569	0.216921171358496	0.190565384718304	39.0	12.0	90.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SDR16C5	-7.303535464790558	2.8030294901670153e-13	-0.562522	1.04824	0.591521	-1.1465	0.519255	0.0272457	-0.712475	0.28116	0.0112752	-0.739828703929925	0.365370179635405	0.0428802683518319	10.0	6.0	52.0	38.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
MET	-7.10103922071284	1.2382222824281373e-12	0.0929547	0.257187	0.717779	-0.52554	0.237313	0.0267918	-0.476785	0.146805	0.00116326	-0.362638804910361	0.181303048169148	0.0454807865751501	52.0	24.0	165.0	97.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
NOP53	7.057440489275841	1.6959735809516004e-12	0.560229	0.216617	0.00970228	0.554177	0.222032	0.0125628	0.202569	0.102554	0.0482396	NA	NA	NA	47.0	28.0	119.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PPIP5K2	6.89256810415161	5.479404423194928e-12	0.619841	0.305804	0.0426705	0.0611586	0.291612	0.833882	0.211527	0.136807	0.122063	0.671300887867552	0.215869810952671	0.0018724650652228	32.0	15.0	115.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
BEAN1	-6.844746849599514	7.661122591358699e-12	-1.00692	0.735726	0.171122	-0.869665	0.340008	0.0105342	-0.335697	0.240396	0.162584	-0.313855769002453	0.206222471101135	0.128027102977151	18.0	19.0	63.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LAT	6.826850088532083	8.679931353416188e-12	0.0387162	0.45163	0.931685	0.232223	0.384879	0.546265	0.44587	0.166974	0.00757858	1.07426120812588	0.309811928992314	0.0005253972822846	20.0	11.0	47.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KIF2C	6.649389911704312	2.9431038268651015e-11	0.8481	0.312543	0.00665668	1.22484	0.468176	0.00889171	0.235711	0.153844	0.125488	-0.0705574869300618	0.332042618764483	0.831720665163501	33.0	7.0	85.0	44.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TRMT12	6.6374068896886325	3.1924949382165985e-11	0.777248	0.346621	0.0249384	0.78984	0.370821	0.0331734	0.298159	0.17548	0.0892997	0.174548865418295	0.308407551784547	0.571415401452678	17.0	10.0	58.0	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LIG3	6.554441465452968	5.585051653755317e-11	0.276857	0.283825	0.329338	0.737653	0.278599	0.00810369	0.380579	0.127858	0.00291481	-0.0094545535920954	0.20867826959866	0.963862733139362	43.0	15.0	143.0	70.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
GPR162	-6.518438144242113	7.104322215241411e-11	-0.498013	0.32251	0.122544	-0.375515	0.278523	0.177582	-0.304823	0.134172	0.0230931	-0.288759071046398	0.213241610491489	0.175691602216517	46.0	21.0	128.0	76.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RASAL1	6.502340403464736	7.907990148345889e-11	0.124666	0.289023	0.666225	0.294965	0.221892	0.183743	0.237864	0.109265	0.0294847	0.456605215991804	0.178031729335	0.0103252945807353	50.0	23.0	135.0	85.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DPYSL4	6.501443789602471	7.955276213615137e-11	0.44199	0.253752	0.0815406	0.732753	0.300019	0.0145918	0.119296	0.137731	0.386407	0.380798798775031	0.262417609407676	0.146747130032951	55.0	18.0	121.0	55.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
CDH15	-6.493142480709917	8.406411455768093e-11	-1.10757	0.423493	0.00891427	-0.324335	0.23704	0.171226	-0.161232	0.128827	0.21074	-0.259306285615891	0.206123899766342	0.208387510811504	70.0	33.0	174.0	103.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ATP8B2	6.4769547102745495	9.359226964746176e-11	0.227656	0.254231	0.370536	0.346879	0.25032	0.165826	0.229812	0.114483	0.0447081	0.334259296976928	0.152744643980097	0.0286438527755737	43.0	21.0	148.0	81.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PARP9	6.424264695416596	1.3250845675292004e-10	0.348521	0.269971	0.196718	0.265965	0.241315	0.270396	0.199909	0.121965	0.101199	0.454820581867328	0.190135206803651	0.016752720582394	45.0	26.0	123.0	78.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KIF9	6.411735729172445	1.438720792175912e-10	1.12026	0.225877	7.06372e-07	0.16534	0.236676	0.484807	0.0251172	0.129924	0.846707	0.103496311210861	0.184742460733185	0.575329793399795	48.0	25.0	122.0	82.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KLHL25	-6.393916471487051	1.6168977856426624e-10	-0.667175	0.335882	0.0469958	-0.888159	0.317403	0.00513874	-0.117156	0.116484	0.314527	-0.120094337307224	0.198962159657969	0.546107013332219	55.0	21.0	139.0	96.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
METRNL	6.385980962980607	1.7030218803427714e-10	0.819194	0.325846	0.0119353	0.283886	0.353123	0.421437	0.126352	0.139976	0.366701	0.607021979312394	0.280336965987088	0.0303624397724364	21.0	10.0	73.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
STK38L	6.359699051066568	2.0214941604497086e-10	0.967559	0.715213	0.176111	NA	NA	NA	0.367667	0.295979	0.21416	2.70889872077252	0.719558784846649	0.0001667716361832	8.0	NA	33.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.01; NUMVAR >= 4
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	19.759393558057162	6.6600086748004815e-87	0.612334	0.169851	0.000312011	0.567902	0.129786	1.21058e-05	0.527896	0.081331	8.54366e-11	0.690006718764457	0.130488388603738	1.23743257136136e-07	32.0	17.0	76.0	18.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
NUP210	7.683516864169609	1.5477957943910922e-14	0.258292	0.114357	0.0239062	0.165424	0.0915671	0.0708268	0.0610155	0.051529	0.236374	0.219716494616765	0.0902629415717801	0.0149254576408459	119.0	59.0	324.0	199.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
EEA1	7.649605299600243	2.015971360848163e-14	0.587934	0.125504	2.80507e-06	0.0578216	0.112084	0.605938	0.0236056	0.062345	0.704963	0.262995525418615	0.127019342380937	0.0384040900142764	50.0	27.0	149.0	84.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ZNF184	7.612461173285444	2.6892499612826557e-14	0.133833	0.265291	0.613928	0.380108	0.191578	0.047245	0.284738	0.120238	0.0178785	0.506065190243633	0.183638063616392	0.0058553254772467	18.0	5.0	74.0	33.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LSR	7.602074325589166	2.914212667622982e-14	0.495307	0.167506	0.00310709	0.373314	0.190697	0.050274	0.0247394	0.0807165	0.759226	0.288528324303496	0.121179626371041	0.0172658535488151	44.0	25.0	125.0	72.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
UMODL1	-7.366616735884493	1.7501269656011648e-13	-0.160542	0.122394	0.189626	-0.235628	0.0976252	0.0157957	-0.0780795	0.0522508	0.135092	-0.214663105618905	0.0999821152577038	0.0317920839346485	136.0	68.0	294.0	180.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
IRX6	7.3652495995873	1.7681572271987692e-13	0.488481	0.31145	0.116786	0.522463	0.364466	0.151714	0.425088	0.139171	0.00225489	0.283929940875569	0.216921171358496	0.190565384718304	39.0	12.0	90.0	49.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
RNF114	7.187263713268003	6.610266061277319e-13	0.520745	0.262857	0.0475803	0.268103	0.194885	0.168915	0.0224801	0.128974	0.86163	0.759777852904681	0.207807061135968	0.0002560120421331	14.0	9.0	36.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PARP9	7.10643965860813	1.1907468246760632e-12	0.106831	0.190538	0.575016	0.255248	0.155686	0.101108	0.210839	0.0838605	0.0119313	0.454820581867328	0.190135206803651	0.016752720582394	46.0	27.0	124.0	78.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SDR16C5	-6.88278621142932	5.869308045952706e-12	-0.0632773	0.546033	0.907743	-1.1465	0.519255	0.0272457	-0.712475	0.28116	0.0112752	-0.739828703929925	0.365370179635405	0.0428802683518319	11.0	6.0	52.0	38.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ASPSCR1	6.731183581739848	1.6828847120901366e-11	0.303396	0.195351	0.120404	0.0650107	0.149067	0.662753	0.24771	0.0829356	0.00281938	0.27140244960989	0.154626802644263	0.0792234611149891	61.0	41.0	180.0	92.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TRMT12	6.6374068896886325	3.1924949382165985e-11	0.777248	0.346621	0.0249384	0.78984	0.370821	0.0331734	0.298159	0.17548	0.0892997	0.174548865418295	0.308407551784547	0.571415401452678	17.0	10.0	58.0	41.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
PEBP4	-6.635193457097158	3.2407720696907075e-11	-0.279313	0.24368	0.251701	-0.395828	0.290004	0.172283	-0.282024	0.107701	0.0088294	-0.458683552833302	0.304676649351212	0.132201599735495	8.0	5.0	50.0	20.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KBTBD13	-6.579228270702521	4.728962853698177e-11	-0.122279	0.190257	0.520414	-0.477905	0.184575	0.00961947	-0.207192	0.0822031	0.0117191	-0.173691956887367	0.210073145352447	0.408341038379032	43.0	14.0	113.0	23.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
INTU	6.573079024980665	4.928528304579011e-11	0.347283	0.225209	0.123063	0.351032	0.158024	0.0263252	0.10149	0.0963244	0.292055	0.291334056735018	0.165905868326115	0.0790849588137064	38.0	24.0	111.0	72.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LAT	6.553302548488964	5.6278331455829836e-11	-0.0730671	0.389023	0.851016	0.232223	0.384879	0.546265	0.44587	0.166974	0.00757858	1.07426120812588	0.309811928992314	0.0005253972822846	21.0	11.0	47.0	24.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
EMP1	6.520941714805421	6.986733266261003e-11	0.684074	0.282683	0.0155234	0.174762	0.213002	0.41195	0.310005	0.136251	0.0228909	0.216903055498909	0.215762125360535	0.314758236240871	13.0	10.0	32.0	17.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
GPR162	-6.518438144242113	7.104322215241411e-11	-0.498013	0.32251	0.122544	-0.375515	0.278523	0.177582	-0.304823	0.134172	0.0230931	-0.288759071046398	0.213241610491489	0.175691602216517	46.0	21.0	128.0	76.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
L3HYPDH	-6.496224540633596	8.236070475004352e-11	-1.23547	0.462065	0.00749955	0.166068	0.246656	0.50077	-0.182196	0.125231	0.145704	-1.08250439733786	0.35599075973804	0.0023593356577296	25.0	10.0	67.0	35.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DZANK1	6.463773236896265	1.0212387592286062e-10	0.511067	0.172786	0.00309844	0.0550261	0.166617	0.741207	0.122314	0.0844365	0.147452	0.253895272739234	0.147004710523162	0.0841455072429115	51.0	21.0	104.0	67.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
STK38L	6.359699051066568	2.0214941604497086e-10	0.967559	0.715213	0.176111	NA	NA	NA	0.367667	0.295979	0.21416	2.70889872077252	0.719558784846649	0.0001667716361832	8.0	NA	33.0	11.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
OR51I1	6.358412793303028	2.038490588871728e-10	0.216724	0.189876	0.253705	0.104057	0.118341	0.379239	0.144559	0.0797775	0.0699817	0.421587853593874	0.166919867007667	0.011547129402261	20.0	14.0	52.0	36.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
DDRGK1	6.357355556031469	2.052565234301028e-10	0.591253	0.336111	0.0785605	0.964239	0.53228	0.0700597	0.241146	0.154019	0.117421	0.355017324078219	0.290750119972297	0.222071138779621	25.0	7.0	62.0	37.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
JUP	-6.338477910488467	2.3204610101631082e-10	-0.647972	0.373506	0.0827701	-0.434828	0.326531	0.182971	-0.381603	0.144996	0.0084932	-0.1375709543261	0.214899417624058	0.522065731849281	58.0	17.0	146.0	72.0	CMCWald	ALL_MISSENSE_SNPEFF	0.01	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
 
COHORT: GNE_AMP_NIH_UKB_CASE_PARENT_PROXY_META; VARIANT GROUP: ALL_LOF_HC_LOFTEE; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_SUMMEDZ	META_PVAL	UKB_CASE_BETA	UKB_CASE_SE	UKB_CASE_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	UKB_PARENT_PROXY_BETA	UKB_PARENT_PROXY_SE	UKB_PARENT_PROXY_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	UKB_PARENT_PROXY_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
TRPM2	5.680959646278773	1.3394107946373231e-08	0.903114	0.386882	0.0195778	0.314673	0.444494	0.478986	0.52464	0.220115	0.01715	0.0958901214098854	0.375740131743981	0.798566082725867	18.0	5.0	31.0	16.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
KIF19	5.643951498315018	1.6619090989647203e-08	0.863902	0.410864	0.0354965	NA	NA	NA	0.544006	0.230051	0.0180441	0.585036417332245	0.497232486373117	0.239361081394202	12.0	NA	15.0	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
TRAPPC3L	5.050617821598083	4.4038337891553203e-07	NA	NA	NA	NA	NA	NA	0.915604	0.464424	0.0486686	1.93465590208608	0.628311518023376	0.0020760267795094	NA	NA	11.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ING1	4.669901006574495	3.013449146998769e-06	0.678852	1.17347	0.562926	NA	NA	NA	1.53514	0.708235	0.0301918	1.30060170852165	0.676043240737701	0.0543741447748026	4.0	NA	7.0	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
SCPEP1	4.57825985645041	4.688600202564857e-06	1.28914	0.770649	0.0943676	1.42377	0.661801	0.0314481	0.105195	0.556518	0.850074	0.599394333816046	1.06072139183965	0.572018139634863	5.0	4.0	6.0	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
ULK4	4.498867859890299	6.83163025886962e-06	1.71504	0.524055	0.00106552	NA	NA	NA	0.0261239	0.305449	0.931843	0.242552046574523	0.212632890028757	0.253991440943902	12.0	NA	26.0	17.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
LIPE	4.464048130191417	8.04254858056532e-06	1.08247	0.482303	0.0248084	NA	NA	NA	0.245708	0.291592	0.399429	0.299571310935429	0.217549259967976	0.168503749515612	9.0	NA	18.0	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.001	4	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_PARENT_PROXY_2021
