gene_name	Coordinates
LILRA3	19:270964-275379
KIR2DS3	19:150177-164532
KIR3DS1	19:58332-72919
HLA-DRB4	6:3840427-3855395
KIR2DL5A	19:46835-5629
KIR2DS1	19:13877-27891
KIR2DL2	19:106541-121079
KIR2DS5	19:29858-44878
KIR2DS2	19:122955-137265
OR8U9	11:193979-194908
GSTT1	22:270308-278486 
HLA-DRB3	6:3934021-3947089
A1BG	19:58345177-58353492
A1BG-AS1	19:58347717-58355455
A1CF	10:50799408-50885675
A2M	12:9067663-9116229
A2M-AS1	12:9065162-9068689
A2ML1	12:8822620-8887001
A2MP1	12:9228532-9275817
A3GALT2	1:33306765-33321098
A4GALT	22:42692120-42721298
A4GNT	3:138123712-138132390
AA06	17:33529786-33533760
AAAS	12:53307455-53324864
AACS	12:125065433-125143333
AACSP1	5:178764860-178818435
AADAC	3:151814072-151828488
AADACL2-AS1	3:151751442-151928175
AADACL3	1:12716109-12728760
AADACL4	1:12644546-12667086
AADACP1	3:151770427-151784894
AADAT	4:170060221-170091699
AAGAB	15:67200666-67255195
AAK1	2:69457996-69674349
AAMDC	11:77821108-77918432
AAMP	2:218264122-218270257
AANAT	17:76453350-76470117
AAR2	20:36236458-36270918
AARD	8:116938206-116944487
AARS1	16:70252297-70289506
AARS2	6:44298730-44313347
AARSD1	17:42950525-42964498
AASDH	4:56338286-56387508
AASDHPPT	11:106075500-106098699
AASS	7:122073548-122144255
AATBC	21:43805757-43812567
AATF	17:36948953-37056871
AATK	17:81110486-81166221
ABALON	20:31721506-31723409
ABAT	16:8674595-8784575
ABCA1	9:104781005-104928155
ABCA10	17:69147213-69244846
ABCA11P	4:425434-474129
ABCA12	2:214931541-215138626
ABCA13	7:48171457-48647497
ABCA17P	16:2339149-2426699
ABCA2	9:137007233-137028922
ABCA3	16:2275880-2340746
ABCA4	1:93992833-94121148
ABCA5	17:69244310-69327244
ABCA6	17:69078701-69141895
ABCA7	19:1039996-1065572
ABCA8	17:68867288-68955392
ABCA9	17:68974487-69060949
ABCA9-AS1	17:68944530-69042784
ABCB1	7:87503016-87713323
ABCB10	1:229516581-229558707
ABCB11	2:168915497-169031324
ABCB4	7:87401695-87480435
ABCB5	7:20615206-20777038
ABCB6	2:219209771-219218994
ABCB7	X:75051047-75156732
ABCB8	7:151028421-151047782
ABCB9	12:122920950-122981649
ABCC1	16:15949576-16143074
ABCC10	6:43427365-43450427
ABCC11	16:48166909-48247568
ABCC12	16:48081005-48156018
ABCC13	21:14236205-14362754
ABCC2	10:99782639-99852594
ABCC3	17:50634776-50692253
ABCC4	13:95019834-95301475
ABCC5	3:183919933-184017939
ABCC5-AS1	3:184006337-184011419
ABCC6	16:16148927-16223522
ABCC6P1	16:18571161-18598328
ABCC8	11:17392497-17476879
ABCC9	12:21797400-21942529
ABCD1	X:153724855-153744755
ABCD2	12:39550032-39619803
ABCD3	1:94418388-94518666
ABCD4	14:74285268-74303055
ABCE1	4:145098287-145129524
ABCF2	7:151211483-151227205
ABCF2-H2BE1	7:151207837-151227166
ABCF3	3:184186022-184194012
ABCG1	21:42199688-42297244
ABCG2	4:88090149-88231628
ABCG4	11:119149051-119162653
ABCG5	2:43812471-43838865
ABCG8	2:43831941-43882988
ABHD1	2:27123788-27130812
ABHD10	3:111979009-111993368
ABHD11	7:73736093-73738867
ABHD11-AS1	7:73735037-73736158
ABHD12	20:25294741-25390835
ABHD12B	14:50872052-50904970
ABHD13	13:108218391-108234243
ABHD14A	3:51971425-51981199
ABHD14A-ACY1	3:51974705-51989183
ABHD14B	3:51968509-51983409
ABHD15	17:29560546-29567037
ABHD16B	20:63861497-63862988
ABHD17A	19:1876809-1885547
ABHD17B	9:71862451-71910931
ABHD17C	15:80679683-80755621
ABHD18	4:127965305-128039927
ABHD2	15:89087458-89202355
ABHD3	18:21650900-21704780
ABHD4	14:22598236-22613215
ABHD5	3:43690107-43734371
ABHD6	3:58237531-58295693
ABHD8	19:17292130-17310236
ABI1	10:26746592-26861087
ABI2	2:203328238-203447728
ABI3	17:49210410-49223225
ABI3BP	3:100749155-100993515
ABITRAM	9:108934399-108950744
ABL1	9:130713015-130887675
ABL2	1:179099329-179229684
ABLIM1	10:114431112-114768061
ABLIM2	4:7965309-8158832
ABLIM3	5:149141482-149260542
ABO	9:133250400-133276024
ABRA	8:106759482-106770244
ABRACL	6:139028744-139043302
ABRAXAS1	4:83459516-83523348
ABRAXAS2	10:124801818-124836667
ABT1	6:26596952-26600739
ABTB1	3:127672934-127680926
ABTB2	11:34150986-34358010
ACAA1	3:38103128-38137242
