COHORT: META-GROUP1; APPROACH: RESULTS_WEIGHTEDZ_CMCWALD; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 4
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	-log10	AMP_NIH_PVAL	GNE_PVAL	UKB_ALL_PVAL	AMP_NIH_NUMVAR	GNE_NUMVAR	UKB_ALL_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
GBA	6.835495266214789	8.17221975674843e-12	11.08765996339789	0.013579	0.0214830395852572	1.52885e-12	15.0	16.0	83.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
P2RY10	4.135326419882734	3.5445044892598045e-05	4.45044446925989	NA	NA	3.54451e-05	NA	NA	19.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
STK38L	4.134201517654256	3.561908393212491e-05	4.448317254113065	NA	0.0001667716361832	0.0373442	NA	11.0	37.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
MET	-4.098580332974745	4.156919643690463e-05	4.381228370643923	0.0267918	0.0454807865751501	0.00392371	24.0	97.0	190.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
CFAP52	-3.978775451257067	6.92711253137519e-05	4.159447757164905	0.0152275	0.0240580978725804	0.027222	13.0	57.0	93.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
NOP53	3.6875022732927283	0.00022646607109129286	3.644996854320354	0.0125628	NA	0.00654824	28.0	NA	131.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
ENDOU	-3.6866507208946175	0.00022722488668900612	3.6435441044759487	0.0169943	0.112827256736117	0.0158211	13.0	35.0	67.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
IRX6	3.6587067722556483	0.0002534911745559799	3.5960371562847233	0.151714	0.190565384718304	0.000324811	12.0	49.0	107.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
LAT	3.5501249029716204	0.00038504841765601164	3.414484656988301	0.546265	0.0005253972822846	0.0376945	11.0	24.0	54.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
SDR16C5	-3.5491756287751475	0.0003864392442839968	3.4129187758628103	0.0272457	0.0428802683518319	0.0555556	6.0	38.0	57.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
FAM163B	3.4374060960876243	0.0005873143270306784	3.2311294047853876	0.187239	0.0428875769024872	0.00904981	4.0	24.0	58.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
ADORA1	3.4250479977023653	0.0006146908150746759	3.211343276210828	0.500647	0.0005856064517807	0.0686536	6.0	26.0	44.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	4	META-GROUP1
