COHORT: GNE_AMP_NIH_UKB_CASE_CONTROL_META; VARIANT GROUP: ALL_MISSENSE_SNPEFF; MAF: 0.001; NUMVAR >= 1
GENE	TEST_STAT_WEIGHTEDZ	META_PVAL	UKB_CASES_BETA	UKB_CASES_SE	UKB_CASES_PVAL	AMP_NIH_BETA	AMP_NIH_SE	AMP_NIH_PVAL	GNE_BETA	GNE_SE	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	NTOTAL	META_ANALYSIS_GROUP
GBA	4.8620780357328375	1.1615980895924567e-06	1.05079	0.287591	0.000258426	0.87011	0.352526	0.013579	1.08402952257042	0.471443072375037	0.0214830395852572	30.0	15.0	16.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DSEL	4.531373245569185	5.860149481621163e-06	0.714092	0.223904	0.00142626	0.669373	0.267761	0.0124232	0.411615758897442	0.190615684119216	0.030819045993025	61.0	22.0	77.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DLEU7	4.076731036859296	4.567327223861598e-05	1.16724	0.427891	0.00637429	1.01878	0.394413	0.00979373	0.704243864496001	0.402382331691961	0.080086249114731	12.0	6.0	13.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
DLEU7-AS1	3.755387144317494	0.0001730737367217323	1.16724	0.427891	0.00637429	1.01878	0.394413	0.00979373	NA	NA	NA	12.0	6.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
PSG7	3.7318384702863043	0.0001900873822909939	0.642024	0.238358	0.00706998	0.656094	0.240531	0.00637805	0.174447643123349	0.167333360225358	0.297172683720856	48.0	22.0	85.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NOCT	3.654097414783522	0.00025808827245031325	0.650221	0.375183	0.0830815	0.511152	0.292447	0.0804903	1.01933026498216	0.357890733011607	0.0043972735851805	15.0	8.0	25.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ELN	3.636731619078935	0.0002761193598130274	0.573403	0.241758	0.0177015	0.353409	0.206784	0.0874368	0.41552404157689	0.187331209623415	0.0265463098548336	49.0	29.0	73.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
TAAR6	3.5981346257469387	0.0003205077134555873	0.640616	0.355119	0.0712393	0.708631	0.301031	0.0185719	0.553783734809898	0.2669877948231	0.0380615570903069	25.0	13.0	39.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NOP53	3.5936567949327847	0.0003260692790467861	0.560229	0.216617	0.00970228	0.554177	0.222032	0.0125628	NA	NA	NA	47.0	28.0	NA	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
KIF9	3.590202696172603	0.00033042091461357796	1.12026	0.225877	7.06372e-07	0.16534	0.236676	0.484807	0.103496311210861	0.184742460733185	0.575329793399795	48.0	25.0	82.0	CMCWald	ALL_MISSENSE_SNPEFF	0.001	1	26434	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
