GENE	TEST_STAT	META_PVAL	UKB_CASE_PVAL	AMP_NIH_PVAL	GNE_PVAL	UKB_CASE_NUMVAR	AMP_NIH_NUMVAR	GNE_NUMVAR	TEST	VARIANT_GROUP	MAF	MIN_NUMVAR	META_ANALYSIS_GROUP
CAPN10	21.142137185845225	0.00029676775432139156	0.00229306	NA	0.0111847897236652	4.0	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
B3GNT3	15.389979239872906	0.00045510171254690003	NA	NA	0.0004551017125469	NA	NA	3.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LONP2	21.05577761986136	0.001792756607642334	0.256535	0.260053	0.0004014093550155	7.0	4.0	11.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
RP11-400G3.5	12.582341144872117	0.0018525900862234996	NA	NA	0.0018525900862235	NA	NA	10.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
NOC2L	12.201260984690983	0.002241454054256101	NA	NA	0.0022414540542561	NA	NA	15.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
SLC17A1	12.109251905860592	0.002346979837439001	NA	NA	0.002346979837439	NA	NA	12.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
ZNF587B	12.039331424673556	0.002430481939366701	NA	NA	0.0024304819393667	NA	NA	7.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
LY6K	11.409262724352342	0.0033305049089436974	NA	NA	0.0033305049089437	NA	NA	4.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
USP13	11.24997065826215	0.0036066160478188994	NA	NA	0.0036066160478189	NA	NA	6.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
MEI1	11.179077724861209	0.003736750623543103	NA	NA	0.0037367506235431	NA	NA	9.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
KIN	10.59497797669016	0.0050041436070147015	NA	NA	0.0050041436070147	NA	NA	8.0	CMCWald	ALL_LOF_HC_LOFTEE	0.01	3	meta_GNE_AMP_NIH_noRelateds_UKB_EXOM_PD_CASE_CONTROL_2021
